# paper: 10.1126%2Fsciadv.aaq1636
# figure: Figure S10  panel: Figure_S10_0
# technique: pxrd  material: X-pcu-3-Zn-3i-γ
# series: X-pcu-3-Zn-3i-γ  (experimental)
# x: 2θ (theta)   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
6.73684,0.616788
6.76842,0.616788
6.80000,0.616788
6.83158,0.635036
6.86316,0.636253
6.89474,0.635036
6.92632,0.652676
6.95789,0.652676
7.40000,0.631387
7.43158,0.631387
7.46316,0.631387
7.49474,0.672141
7.52632,0.715328
7.55789,0.697689
7.58947,0.740876
7.62105,0.718978
7.65263,0.714112
7.68421,0.740876
7.71579,0.753041
7.74737,0.753041
7.93684,0.515815
12.67368,0.529805
12.70526,0.529805
12.70639,0.529805
12.73684,0.532847
12.76842,0.529805
12.80000,0.531022
12.83158,0.530414
12.86316,0.529197
12.89474,0.529805
12.92632,0.529805
12.93083,0.508516
12.95789,0.517032
13.26579,0.505474
13.81053,0.517640
13.84211,0.517640
13.87368,0.520073
13.90526,0.521898
13.93684,0.517640
13.96842,0.521898
14.00000,0.519465
14.03158,0.519465
14.31579,0.526156
14.34737,0.515815
14.37895,0.517032
14.41053,0.518856
14.44211,0.518856
14.47368,0.518856
14.50526,0.518856
14.53684,0.520073
14.56842,0.520681
14.79398,0.509559
15.10526,0.519465
15.13684,0.521290
15.16842,0.521290
15.20000,0.518248
15.23158,0.520681
15.26316,0.520681
15.29474,0.519465
15.32632,0.519465
15.35789,0.519465
19.14737,0.671533
19.17895,0.670925
19.21053,0.670925
19.24211,0.670925
19.27368,0.650852
19.30526,0.673966
19.33684,0.648418
19.36842,0.639294
19.40000,0.656934
19.43158,0.643552
19.46316,0.621046
19.49474,0.621046
