# paper: 10.1126%2Fsciadv.aaq1636
# figure: Figure S10  panel: Figure_S10_0
# technique: pxrd  material: X-pcu-3-Zn-3i-γ
# series: X-pcu-3-Zn-3i-γ  (calculated)
# x: 2θ (theta)   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
5.08684,0.510645
5.08684,0.503954
6.25813,0.509622
6.47922,0.521450
6.50000,0.528589
6.66015,0.541449
6.69624,0.535454
6.75628,0.847324
6.80000,0.871655
6.86632,0.676521
6.90066,0.911762
6.90877,0.863274
6.97368,0.620438
7.00526,0.568735
7.06842,0.559611
7.37474,0.556042
7.43158,0.580900
7.43644,0.569296
7.45414,0.863052
7.52632,0.875304
7.55789,0.886253
7.62556,0.896246
7.75709,0.514599
7.95579,0.523358
8.04737,0.509124
8.04737,0.518856
9.41095,0.510170
9.85188,0.506821
10.35439,0.501622
10.40451,0.506952
10.52237,0.507147
11.27820,0.504432
11.67988,0.509136
11.81474,0.518248
12.00399,0.518584
12.19368,0.527332
12.22601,0.536174
12.34211,0.531022
12.38000,0.515450
13.13158,0.506691
13.41053,0.509530
13.55395,0.509580
13.77895,0.512165
13.79158,0.506326
13.95263,0.509732
14.15027,0.514347
14.17368,0.522506
14.20526,0.509124
14.47368,0.513179
14.56842,0.528285
14.67623,0.516528
14.94737,0.513139
15.33099,0.511940
15.71380,0.500954
16.11128,0.505996
16.31856,0.500896
18.06667,0.501217
18.38331,0.506142
18.91684,0.502798
19.13979,0.508224
19.20316,0.522101
19.22632,0.582725
19.25113,0.577164
19.25789,0.641727
19.46316,0.549249
19.55322,0.528071
19.55395,0.537561
19.59274,0.513340
19.87276,0.508337
20.04211,0.502839
20.26605,0.504227
20.74342,0.503802
21.01717,0.503650
21.38947,0.504258
21.46526,0.500243
21.55329,0.505703
22.07895,0.501081
22.26105,0.506448
22.30040,0.501872
22.41579,0.507908
22.57368,0.506083
22.77053,0.502433
23.06029,0.507189
23.06603,0.501327
23.73895,0.500243
23.78390,0.505725
23.91579,0.506691
24.03759,0.506257
24.90175,0.498986
25.29710,0.503314
25.72974,0.504074
25.86105,0.514294
26.14823,0.507572
26.29605,0.519769
26.46316,0.518086
26.48947,0.506691
26.55263,0.511557
27.38947,0.504679
28.81361,0.501958
30.49150,0.505896
31.02500,0.498936
34.22071,0.498352
34.71022,0.504151
35.71053,0.498175
35.94441,0.499848
36.10526,0.506083
37.12153,0.503207
37.26737,0.498540
37.50622,0.498175
38.25506,0.502106
38.50921,0.502281
