# paper: 10.1126%2Fsciadv.aaq1636
# figure: Figure S10  panel: Figure_S10_0
# technique: pxrd  material: X-pcu-3-Zn-3i-γ
# series: X-pcu-3-Zn-3i-γ  (experimental)
# x: 2θ (theta)   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
5.07895,0.657999
5.08571,0.650852
6.16077,0.657819
6.38568,0.660730
6.63000,0.696796
6.65304,0.716919
6.74737,0.800329
6.79426,0.771787
6.80197,0.734565
6.84717,0.911177
6.86792,0.850342
6.98553,0.713371
6.99133,0.744776
7.49474,0.408531
7.57102,0.876971
7.67332,0.793481
7.77895,0.683090
7.93305,0.678735
8.10664,0.661182
8.54833,0.649746
9.50364,0.659274
9.62996,0.650477
11.16480,0.649293
11.44696,0.660771
11.85731,0.677300
12.12105,0.690887
12.38289,0.667224
12.61754,0.658692
12.82768,0.670226
12.99214,0.654124
13.84102,0.679294
14.22401,0.660565
14.33913,0.675923
14.57490,0.709651
14.63158,0.666058
14.71483,0.660031
14.80526,0.664494
15.20000,0.665016
15.39263,0.668978
15.44632,0.651703
15.61211,0.646168
16.13765,0.652162
16.54737,0.648581
16.58673,0.663440
16.67530,0.674715
16.84211,0.653476
17.47368,0.645134
18.08947,0.648418
18.40789,0.651190
18.62632,0.657847
19.12022,0.655248
19.28684,0.804643
19.32105,0.709854
19.47368,0.820073
19.56692,0.783803
19.68036,0.663106
20.22510,0.649323
20.88779,0.650507
21.47519,0.643987
22.12508,0.644984
22.32105,0.654501
22.76316,0.647202
22.86316,0.648621
22.93855,0.655751
23.22105,0.645377
23.91805,0.665189
24.98553,0.642488
25.18797,0.649809
25.39028,0.649729
25.78553,0.648216
25.95992,0.661800
26.24079,0.667427
26.54974,0.659590
26.81351,0.644841
27.17632,0.642488
27.53740,0.649699
28.07864,0.648633
28.41988,0.641119
29.48571,0.652590
29.68842,0.650770
30.08271,0.649809
30.40526,0.651206
31.03895,0.647364
31.84803,0.647278
32.31832,0.649878
32.77368,0.641119
33.29838,0.641587
33.65789,0.647296
33.82030,0.641467
34.28517,0.641230
35.87922,0.641760
36.02632,0.649635
36.18772,0.650446
36.54498,0.645027
37.07519,0.650852
37.22683,0.644416
38.28421,0.640090
39.33353,0.648418
