# paper: 10.1126%2Fsciadv.aaq1636
# figure: Figure S10  panel: Figure_S10_0
# technique: pxrd  material: X-pcu-3-Zn-3i-γ
# series: X-pcu-3-Zn-3i-γ  (experimental)
# x: 2θ (theta)   y: arb. units, 0 = bottom axis, 1 = top of plot box
# read by: pixels
x,y
6.89474,0.929440
6.92632,0.929440
6.95789,0.960462
6.98947,0.929440
7.02105,0.968978
7.05263,0.968978
7.08421,0.968978
7.11579,0.929440
7.14737,0.968978
7.17895,0.861922
7.21053,0.942214
7.24211,0.869221
7.27368,0.865572
7.30526,0.861922
7.33684,0.868005
7.36842,0.860097
7.40000,0.873479
7.43158,0.888078
7.46316,0.906326
7.49474,0.923966
7.52632,0.931265
7.55789,0.947689
7.58947,0.923358
7.62105,0.932482
7.65263,0.983577
7.68421,0.984793
7.71579,0.986010
7.74737,0.931873
7.77895,0.922749
7.81053,0.982360
7.84211,0.973844
7.87368,0.922749
7.90526,0.802920
7.93684,0.799270
7.96842,0.801703
8.00000,0.800487
8.03158,0.799878
8.06316,0.800487
8.09474,0.800487
8.12632,0.799878
8.15789,0.799270
8.18947,0.799270
8.22105,0.798054
8.25263,0.798054
8.28421,0.798054
8.31579,0.797445
8.34737,0.796837
8.37895,0.796229
8.41053,0.795620
8.44211,0.795620
8.47368,0.796229
8.50526,0.795620
8.53684,0.795620
8.56842,0.795012
8.60000,0.795012
8.63158,0.795012
8.66316,0.794404
8.69474,0.793796
8.72632,0.793187
8.75789,0.793187
8.78947,0.793796
8.82105,0.794404
8.85263,0.794404
8.88421,0.794404
8.91579,0.793796
8.94737,0.793796
8.97895,0.793187
9.01053,0.793187
9.04211,0.793187
9.07368,0.792579
9.10526,0.792579
9.13684,0.792579
9.16842,0.793187
9.20000,0.793187
9.23158,0.794404
9.26316,0.794404
9.29474,0.793796
9.32632,0.793796
9.35789,0.793187
9.38947,0.792579
9.42105,0.793187
9.45263,0.793796
9.48421,0.793796
9.51579,0.793796
9.54737,0.793796
9.57895,0.794404
9.61053,0.794404
9.64211,0.795620
9.67368,0.795620
9.70526,0.795620
9.73684,0.794404
9.76842,0.793796
9.80000,0.793187
9.83158,0.793187
9.86316,0.792579
9.89474,0.792579
9.92632,0.791971
9.95789,0.791971
9.98947,0.791971
10.02105,0.791971
10.05263,0.791971
10.08421,0.791971
10.11579,0.791971
10.14737,0.790754
10.17895,0.790754
10.21053,0.791363
10.24211,0.791363
10.27368,0.790754
10.30526,0.790146
10.33684,0.791363
10.36842,0.791363
10.40000,0.790754
10.43158,0.790754
10.46316,0.790754
10.49474,0.790754
10.52632,0.790754
10.55789,0.790754
10.58947,0.790146
10.62105,0.790146
10.65263,0.790146
10.68421,0.790146
10.71579,0.790146
10.74737,0.790146
10.77895,0.790146
10.81053,0.790146
10.84211,0.790146
10.87368,0.790146
10.90526,0.790146
10.93684,0.790146
10.96842,0.790146
11.00000,0.790146
11.03158,0.790754
11.06316,0.790754
11.09474,0.790754
11.12632,0.790754
11.15789,0.790754
11.18947,0.791363
11.22105,0.790754
11.25263,0.790754
11.28421,0.791363
11.31579,0.791971
11.34737,0.791363
11.37895,0.791363
11.41053,0.791363
11.44211,0.791363
11.47368,0.791363
11.50526,0.791363
11.53684,0.791971
11.56842,0.791971
11.60000,0.791971
11.63158,0.792579
11.66316,0.793187
11.69474,0.793187
11.72632,0.793796
11.75789,0.794404
11.78947,0.796229
11.82105,0.796837
11.85263,0.796837
11.88421,0.795620
11.91579,0.800487
11.94737,0.801703
11.97895,0.800487
12.01053,0.807178
12.04211,0.814477
12.07368,0.818127
12.10526,0.822993
12.13684,0.826642
12.16842,0.830292
12.20000,0.840633
12.23158,0.842457
12.26316,0.843066
12.29474,0.840633
12.32632,0.845499
12.35789,0.847932
12.38947,0.850973
12.42105,0.854623
12.45263,0.854623
12.48421,0.854623
12.51579,0.844282
12.54737,0.832117
12.57895,0.827251
12.61053,0.820560
12.64211,0.817518
12.67368,0.827859
12.70526,0.827859
12.73684,0.829075
12.76842,0.817518
12.80000,0.826642
12.83158,0.833333
12.86316,0.828467
12.89474,0.836983
12.92632,0.849757
12.95789,0.838808
12.98947,0.850973
13.02105,0.852190
13.05263,0.830292
13.08421,0.830292
13.11579,0.848540
13.14737,0.840024
13.17895,0.796837
13.21053,0.795012
13.24211,0.792579
13.27368,0.795620
13.30526,0.794404
13.33684,0.793187
13.36842,0.792579
13.40000,0.792579
13.43158,0.793187
13.46316,0.793796
13.49474,0.794404
13.52632,0.794404
13.55789,0.796229
13.58947,0.798054
13.62105,0.802311
13.65263,0.809611
13.68421,0.803528
13.71579,0.805961
13.74737,0.810827
13.77895,0.815693
13.81053,0.817518
13.84211,0.805353
13.87368,0.807786
13.90526,0.810827
13.93684,0.815085
13.96842,0.846107
14.00000,0.823601
14.03158,0.829075
14.06316,0.818127
14.09474,0.849757
14.12632,0.849757
14.15789,0.846107
14.18947,0.843674
14.22105,0.825426
14.25263,0.830292
14.28421,0.820560
14.31579,0.827251
14.34737,0.871655
14.37895,0.841241
14.41053,0.852798
14.44211,0.870438
14.47368,0.900852
14.50526,0.901460
14.53684,0.901460
14.56842,0.867397
14.60000,0.836375
14.63158,0.846715
14.66316,0.829075
14.69474,0.854623
14.72632,0.865572
14.75789,0.871655
14.78947,0.872871
14.82105,0.874088
14.85263,0.874088
14.88421,0.849757
14.91579,0.833333
14.94737,0.869221
14.97895,0.808394
15.01053,0.805961
15.04211,0.810827
15.07368,0.804745
15.10526,0.805961
15.13684,0.805961
15.16842,0.807786
15.20000,0.809002
15.23158,0.822993
15.26316,0.829075
15.29474,0.822993
15.32632,0.826642
15.35789,0.830900
15.38947,0.843674
15.42105,0.846107
15.45263,0.846107
15.48421,0.829684
15.51579,0.823601
15.54737,0.843674
15.57895,0.830292
15.61053,0.818127
15.64211,0.803528
15.67368,0.793187
15.70526,0.790146
15.73684,0.790146
15.76842,0.790146
15.80000,0.790754
15.83158,0.790754
15.86316,0.790754
15.89474,0.789538
15.92632,0.789538
15.95789,0.790146
15.98947,0.790146
16.02105,0.790754
16.05263,0.790754
16.08421,0.790754
16.11579,0.790754
16.14737,0.790754
16.17895,0.790146
16.21053,0.790754
16.24211,0.790754
16.27368,0.791363
16.30526,0.791363
16.33684,0.791363
16.36842,0.791363
16.40000,0.792579
16.43158,0.792579
16.46316,0.793187
16.49474,0.793796
16.52632,0.795620
16.55789,0.802311
16.58947,0.795620
16.62105,0.810827
16.65263,0.815693
16.68421,0.822993
16.71579,0.829075
16.74737,0.819343
16.77895,0.824209
16.81053,0.829075
16.84211,0.838808
16.87368,0.838808
16.90526,0.837591
16.93684,0.824818
16.96842,0.818735
17.00000,0.829075
17.03158,0.825426
17.06316,0.791363
17.09474,0.789538
17.12632,0.788321
17.15789,0.790754
17.18947,0.790754
17.22105,0.790146
17.25263,0.790146
17.28421,0.790146
17.31579,0.790146
17.34737,0.790146
17.37895,0.790754
17.41053,0.791363
17.44211,0.791363
17.47368,0.791971
17.50526,0.791971
17.53684,0.791971
17.56842,0.792579
17.60000,0.793187
17.63158,0.793796
17.66316,0.795012
17.69474,0.795012
17.72632,0.795620
17.75789,0.796837
17.78947,0.798054
17.82105,0.799270
17.85263,0.801095
17.88421,0.798054
17.91579,0.795620
17.94737,0.791971
17.97895,0.790146
18.01053,0.790754
18.04211,0.789538
18.07368,0.789538
18.10526,0.788929
18.13684,0.789538
18.16842,0.790146
18.20000,0.790146
18.23158,0.790146
18.26316,0.790146
18.29474,0.790146
18.32632,0.790146
18.35789,0.790754
18.38947,0.791363
18.42105,0.791971
18.45263,0.793796
18.48421,0.794404
18.51579,0.796837
18.54737,0.798662
18.57895,0.800487
18.61053,0.801703
18.64211,0.809611
18.67368,0.795620
18.70526,0.809611
18.73684,0.798054
18.76842,0.799878
18.80000,0.798662
18.83158,0.798054
18.86316,0.798054
18.89474,0.793796
18.92632,0.796837
18.95789,0.795012
18.98947,0.795620
19.02105,0.795012
19.05263,0.795620
19.08421,0.795620
19.11579,0.796229
19.14737,0.805961
19.17895,0.818127
19.21053,0.833942
19.24211,0.861922
19.27368,0.868005
19.30526,0.895985
19.33684,0.900852
19.36842,0.920316
19.40000,0.948297
19.43158,0.978710
19.46316,0.993309
19.49474,0.944039
19.52632,0.968370
19.55789,0.987226
19.58947,0.994526
19.62105,0.994526
19.65263,0.995742
19.68421,0.961679
19.71579,0.994526
19.74737,0.993309
19.77895,0.981144
19.81053,0.809611
19.84211,0.806569
19.87368,0.802920
19.90526,0.809611
19.93684,0.808394
19.96842,0.804136
20.00000,0.805353
20.03158,0.809611
20.06316,0.810827
20.09474,0.812044
20.12632,0.810219
20.15789,0.807786
20.18947,0.804136
20.22105,0.807178
20.25263,0.804745
20.28421,0.801095
20.31579,0.795620
20.34737,0.793796
20.37895,0.793187
20.41053,0.792579
20.44211,0.792579
20.47368,0.793187
20.50526,0.791971
20.53684,0.791363
20.56842,0.791363
20.60000,0.791363
20.63158,0.791363
20.66316,0.791363
20.69474,0.790754
20.72632,0.791363
20.75789,0.791363
20.78947,0.791363
20.82105,0.791363
20.85263,0.792579
20.88421,0.793187
20.91579,0.793796
20.94737,0.793796
20.97895,0.794404
21.01053,0.799270
21.04211,0.796837
21.07368,0.798054
21.10526,0.797445
21.13684,0.796229
21.16842,0.795620
21.20000,0.794404
21.23158,0.793796
21.26316,0.793187
21.29474,0.791971
21.32632,0.790754
21.35789,0.791363
21.38947,0.790754
21.42105,0.790754
21.45263,0.791363
21.48421,0.791971
21.51579,0.793187
21.54737,0.794404
21.57895,0.796229
21.61053,0.798054
21.64211,0.799270
21.67368,0.801095
21.70526,0.804745
21.73684,0.804745
21.76842,0.804745
21.80000,0.801703
21.83158,0.803528
21.86316,0.798662
21.89474,0.798662
21.92632,0.794404
21.95789,0.796229
21.98947,0.791363
22.02105,0.790754
22.05263,0.790146
22.08421,0.789538
22.11579,0.789538
22.14737,0.788929
22.17895,0.788929
22.21053,0.789538
22.24211,0.789538
22.27368,0.789538
22.30526,0.789538
22.33684,0.789538
22.36842,0.789538
22.40000,0.789538
22.43158,0.790146
22.46316,0.790754
22.49474,0.791363
22.52632,0.791363
22.55789,0.791363
22.58947,0.792579
22.62105,0.792579
22.65263,0.791971
22.68421,0.791363
22.71579,0.791363
22.74737,0.790754
22.77895,0.790754
22.81053,0.790754
22.84211,0.790754
22.87368,0.790754
22.90526,0.791363
22.93684,0.793187
22.96842,0.793796
23.00000,0.795620
23.03158,0.796229
23.06316,0.797445
23.09474,0.798662
23.12632,0.802311
23.15789,0.801095
23.18947,0.803528
23.22105,0.799270
23.25263,0.796837
23.28421,0.794404
23.31579,0.791971
23.34737,0.791363
23.37895,0.790754
23.41053,0.790146
23.44211,0.790754
23.47368,0.790146
23.50526,0.790146
23.53684,0.790146
23.56842,0.790146
23.60000,0.790754
23.63158,0.790754
23.66316,0.790754
23.69474,0.790146
23.72632,0.790146
23.75789,0.791363
23.78947,0.791971
23.82105,0.790754
23.85263,0.800487
23.88421,0.800487
23.91579,0.799878
23.94737,0.802311
23.97895,0.801095
24.01053,0.810827
24.04211,0.805961
24.07368,0.814477
24.10526,0.809002
24.13684,0.815693
24.16842,0.815693
24.20000,0.814477
24.23158,0.806569
24.26316,0.812044
24.29474,0.808394
24.32632,0.794404
24.35789,0.793187
24.38947,0.791971
24.42105,0.791363
24.45263,0.790754
24.48421,0.790754
24.51579,0.790146
24.54737,0.790146
24.57895,0.790146
24.61053,0.790754
24.64211,0.790754
24.67368,0.790754
24.70526,0.790146
24.73684,0.790146
24.76842,0.789538
24.80000,0.788929
24.83158,0.788321
24.86316,0.787713
24.89474,0.788321
24.92632,0.788929
24.95789,0.787713
24.98947,0.787713
25.02105,0.788929
25.05263,0.788929
25.08421,0.788929
25.11579,0.788929
25.14737,0.789538
25.17895,0.790146
25.21053,0.791363
25.24211,0.791971
25.27368,0.792579
25.30526,0.793187
25.33684,0.793796
25.36842,0.794404
25.40000,0.795012
25.43158,0.795012
25.46316,0.795012
25.49474,0.795012
25.52632,0.794404
25.55789,0.793796
25.58947,0.793187
25.62105,0.792579
25.65263,0.792579
25.68421,0.793187
25.71579,0.794404
25.74737,0.794404
25.77895,0.794404
25.81053,0.796837
25.84211,0.804745
25.87368,0.807178
25.90526,0.808394
25.93684,0.809002
25.96842,0.810827
26.00000,0.812652
26.03158,0.813869
26.06316,0.815693
26.09474,0.817518
26.12632,0.819951
26.15789,0.822384
26.18947,0.818127
26.22105,0.809002
26.25263,0.812652
26.28421,0.818127
26.31579,0.821776
26.34737,0.835158
26.37895,0.837591
26.41053,0.836983
26.44211,0.838808
26.47368,0.841241
26.50526,0.843066
26.53684,0.847324
26.56842,0.848540
26.60000,0.850973
26.63158,0.850973
26.66316,0.843674
26.69474,0.838808
26.72632,0.849757
26.75789,0.843674
26.78947,0.836375
26.82105,0.821776
26.85263,0.804745
26.88421,0.789538
26.91579,0.788321
26.94737,0.789538
26.97895,0.788929
27.01053,0.788321
27.04211,0.788321
27.07368,0.787713
27.10526,0.787713
27.13684,0.788321
27.16842,0.788321
27.20000,0.787713
27.23158,0.787713
27.26316,0.787713
27.29474,0.787713
27.32632,0.788321
27.35789,0.788929
27.38947,0.790146
27.42105,0.790146
27.45263,0.791971
27.48421,0.791971
27.51579,0.793187
27.54737,0.793187
27.57895,0.794404
27.61053,0.795012
27.64211,0.795012
27.67368,0.795012
27.70526,0.795012
27.73684,0.794404
27.76842,0.793187
27.80000,0.792579
27.83158,0.791363
27.86316,0.790754
27.89474,0.790146
27.92632,0.790146
27.95789,0.789538
27.98947,0.789538
28.02105,0.789538
28.05263,0.789538
28.08421,0.790146
28.11579,0.790146
28.14737,0.790754
28.17895,0.790754
28.21053,0.789538
28.24211,0.790754
28.27368,0.790754
28.30526,0.789538
28.33684,0.789538
28.36842,0.788929
28.40000,0.788929
28.43158,0.788929
28.46316,0.788929
28.49474,0.788321
28.52632,0.788321
28.55789,0.788929
28.58947,0.788321
28.62105,0.787713
28.65263,0.786496
28.68421,0.786496
28.71579,0.786496
28.74737,0.786496
28.77895,0.786496
28.81053,0.786496
28.84211,0.786496
28.87368,0.787105
28.90526,0.786496
28.93684,0.786496
28.96842,0.786496
29.00000,0.787105
29.03158,0.787105
29.06316,0.787713
29.09474,0.788321
29.12632,0.788321
29.15789,0.788321
29.18947,0.788321
29.22105,0.788321
29.25263,0.788321
29.28421,0.788321
29.31579,0.788929
29.34737,0.788929
29.37895,0.788929
29.41053,0.788929
29.44211,0.788929
29.47368,0.789538
29.50526,0.790146
29.53684,0.791363
29.56842,0.791971
29.60000,0.791971
29.63158,0.792579
29.66316,0.793796
29.69474,0.795012
29.72632,0.795620
29.75789,0.795620
29.78947,0.795620
29.82105,0.794404
29.85263,0.793187
29.88421,0.792579
29.91579,0.791363
29.94737,0.790754
29.97895,0.789538
30.01053,0.788929
30.04211,0.788321
30.07368,0.788321
30.10526,0.788321
30.13684,0.788321
30.16842,0.788929
30.20000,0.788321
30.23158,0.788929
30.26316,0.790146
30.29474,0.790754
30.32632,0.791363
30.35789,0.792579
30.38947,0.794404
30.42105,0.795620
30.45263,0.796229
30.48421,0.797445
30.51579,0.798662
30.54737,0.799270
30.57895,0.800487
30.61053,0.801095
30.64211,0.801703
30.67368,0.802311
30.70526,0.802311
30.73684,0.803528
30.76842,0.802920
30.80000,0.806569
30.83158,0.807786
30.86316,0.808394
30.89474,0.810219
30.92632,0.811436
30.95789,0.813869
30.98947,0.819343
31.02105,0.820560
31.05263,0.821776
31.08421,0.813869
31.11579,0.811436
31.14737,0.820560
31.17895,0.815693
31.21053,0.808394
31.24211,0.804745
31.27368,0.791971
31.30526,0.790754
31.33684,0.788929
31.36842,0.788321
31.40000,0.788321
31.43158,0.787713
31.46316,0.787713
31.49474,0.788321
31.52632,0.788929
31.55789,0.788929
31.58947,0.788321
31.62105,0.788929
31.65263,0.788929
31.68421,0.788321
31.71579,0.788929
31.74737,0.788929
31.77895,0.788929
31.81053,0.789538
31.84211,0.790146
31.87368,0.790146
31.90526,0.790146
31.93684,0.790146
31.96842,0.790146
32.00000,0.790146
32.03158,0.789538
32.06316,0.790146
32.09474,0.790146
32.12632,0.790146
32.15789,0.789538
32.18947,0.789538
32.22105,0.790754
32.25263,0.790754
32.28421,0.791971
32.31579,0.791971
32.34737,0.791363
32.37895,0.793187
32.41053,0.794404
32.44211,0.795620
32.47368,0.796229
32.50526,0.796837
32.53684,0.797445
32.56842,0.799270
32.60000,0.802311
32.63158,0.794404
32.66316,0.803528
32.69474,0.800487
32.72632,0.798662
32.75789,0.796837
32.78947,0.795620
32.82105,0.795012
32.85263,0.792579
32.88421,0.789538
32.91579,0.788929
32.94737,0.788929
32.97895,0.788929
33.01053,0.788321
33.04211,0.788929
33.07368,0.788929
33.10526,0.787713
33.13684,0.788321
33.16842,0.788929
33.20000,0.788929
33.23158,0.788929
33.26316,0.788929
33.29474,0.788929
33.32632,0.788929
33.35789,0.788929
33.38947,0.787713
33.42105,0.787713
33.45263,0.787713
33.48421,0.787713
33.51579,0.787713
33.54737,0.788321
33.57895,0.787713
33.61053,0.787713
33.64211,0.788929
33.67368,0.788929
33.70526,0.788929
33.73684,0.788929
33.76842,0.788929
33.80000,0.788321
33.83158,0.788321
33.86316,0.788929
33.89474,0.788929
33.92632,0.788929
33.95789,0.788929
33.98947,0.788321
34.02105,0.788321
34.05263,0.788321
34.08421,0.788321
34.11579,0.788321
34.14737,0.788321
34.17895,0.787713
34.21053,0.787713
34.24211,0.787105
34.27368,0.786496
34.30526,0.786496
34.33684,0.786496
34.36842,0.787105
34.40000,0.787105
34.43158,0.787713
34.46316,0.787713
34.49474,0.788321
34.52632,0.788929
34.55789,0.788929
34.58947,0.788929
34.62105,0.788929
34.65263,0.790754
34.68421,0.791363
34.71579,0.792579
34.74737,0.792579
34.77895,0.792579
34.81053,0.791363
34.84211,0.790146
34.87368,0.789538
34.90526,0.788321
34.93684,0.787713
34.96842,0.786496
35.00000,0.785888
35.03158,0.785888
35.06316,0.785888
35.09474,0.785888
35.12632,0.785888
35.15789,0.786496
35.18947,0.786496
35.22105,0.787105
35.25263,0.787105
35.28421,0.787105
35.31579,0.787713
35.34737,0.787713
35.37895,0.787713
35.41053,0.787713
35.44211,0.787713
35.47368,0.787713
35.50526,0.787105
35.53684,0.787105
35.56842,0.787105
35.60000,0.787713
35.63158,0.787713
35.66316,0.787713
35.69474,0.787105
35.72632,0.786496
35.75789,0.786496
35.78947,0.787105
35.82105,0.787105
35.85263,0.787713
35.88421,0.787713
35.91579,0.787713
35.94737,0.788321
35.97895,0.788321
36.01053,0.788929
36.04211,0.789538
36.07368,0.790146
36.10526,0.790754
36.13684,0.796229
36.16842,0.798662
36.20000,0.798054
36.23158,0.799270
36.26316,0.799878
36.29474,0.799270
36.32632,0.799270
36.35789,0.798662
36.38947,0.798662
36.42105,0.798054
36.45263,0.797445
36.48421,0.796229
36.51579,0.795620
36.54737,0.793796
36.57895,0.792579
36.61053,0.791971
36.64211,0.790754
36.67368,0.790146
36.70526,0.790146
36.73684,0.790754
36.76842,0.790754
36.80000,0.790146
36.83158,0.790754
36.86316,0.790754
36.89474,0.791971
36.92632,0.793796
36.95789,0.798662
36.98947,0.796837
37.02105,0.798054
37.05263,0.798662
37.08421,0.798662
37.11579,0.797445
37.14737,0.796837
37.17895,0.795620
37.21053,0.795012
37.24211,0.793187
37.27368,0.791363
37.30526,0.789538
37.33684,0.788929
37.36842,0.787713
37.40000,0.787105
37.43158,0.785888
37.46316,0.787713
37.49474,0.787105
37.52632,0.787713
37.55789,0.787713
37.58947,0.787713
37.62105,0.787713
37.65263,0.788321
37.68421,0.788929
37.71579,0.789538
37.74737,0.790146
37.77895,0.790146
37.81053,0.790754
37.84211,0.790146
37.87368,0.790146
37.90526,0.790146
37.93684,0.790146
37.96842,0.790146
38.00000,0.790146
38.03158,0.789538
38.06316,0.788929
38.09474,0.788929
38.12632,0.788929
38.15789,0.788929
38.18947,0.788321
38.22105,0.788321
38.25263,0.787713
38.28421,0.787713
38.31579,0.787713
38.34737,0.787105
38.37895,0.787105
38.41053,0.787105
38.44211,0.786496
38.47368,0.786496
38.50526,0.786496
38.53684,0.786496
38.56842,0.787105
38.60000,0.787105
38.63158,0.787713
38.66316,0.788321
38.69474,0.787713
38.72632,0.788321
38.75789,0.788321
38.78947,0.788929
38.82105,0.788929
38.85263,0.788929
38.88421,0.787713
38.91579,0.787713
38.94737,0.787713
38.97895,0.787713
39.01053,0.787105
39.04211,0.787105
39.07368,0.786496
39.10526,0.786496
39.13684,0.786496
39.16842,0.786496
39.20000,0.787713
39.23158,0.787713
39.26316,0.787713
39.29474,0.788929
39.32632,0.788929
39.35789,0.790754
39.38947,0.791363
39.42105,0.791971
39.45263,0.792579
39.48421,0.792579
39.51579,0.793187
39.54737,0.793187
39.57895,0.793187
39.61053,0.791971
39.64211,0.791971
39.67368,0.790754
39.70526,0.790754
39.73684,0.789538
39.76842,0.788929
39.80000,0.787713
39.83158,0.787713
39.86316,0.788321
39.89474,0.788321
39.92632,0.788321
39.95789,0.786496
39.98947,0.787105
40.02105,0.787105
40.05263,0.788321
