# paper: 10.1126%2Fsciadv.aaq1636
# figure: Figure S10  panel: Figure_S10_0
# technique: pxrd  material: X-pcu-3-Zn-3i-γ
# series: X-pcu-3-Zn-3i-γ  (calculated)
# x: 2θ (theta)   y: arb. units, 0 = bottom axis, 1 = top of plot box
# read by: pixels
x,y
5.06316,0.250608
5.09474,0.250608
5.12632,0.248783
5.15789,0.249392
5.18947,0.256083
5.22105,0.263382
5.25263,0.252433
5.28421,0.253041
5.31579,0.253650
5.34737,0.253650
5.37895,0.256691
5.41053,0.256691
5.44211,0.257299
5.47368,0.257299
5.50526,0.257908
5.53684,0.270073
5.56842,0.268856
5.60000,0.269465
5.63158,0.270073
5.66316,0.270073
5.69474,0.264599
5.72632,0.263990
5.75789,0.274331
5.78947,0.273723
5.82105,0.273114
5.85263,0.279197
5.88421,0.278589
5.91579,0.278589
5.94737,0.280414
5.97895,0.284063
6.01053,0.290146
6.04211,0.293796
6.07368,0.296229
6.10526,0.294404
6.13684,0.296837
6.16842,0.299878
6.20000,0.297445
6.23158,0.297445
6.26316,0.297445
6.29474,0.298662
6.32632,0.298662
6.35789,0.295012
6.38947,0.289538
6.42105,0.287713
6.45263,0.291363
6.48421,0.288321
6.51579,0.287105
6.54737,0.286496
6.57895,0.288321
6.61053,0.288929
6.64211,0.297445
6.67368,0.288321
6.70526,0.310827
6.73684,0.331509
6.76842,0.331509
6.80000,0.357056
6.83158,0.370438
6.86316,0.392336
6.89474,0.411192
6.92632,0.413625
6.95789,0.414234
6.98947,0.416058
7.02105,0.416058
7.05263,0.338808
7.08421,0.413017
7.11579,0.411800
7.14737,0.372871
7.17895,0.368005
7.21053,0.369830
7.24211,0.378954
7.27368,0.358273
7.30526,0.423966
7.33684,0.442214
7.36842,0.402068
7.40000,0.489659
7.43158,0.496959
7.46316,0.497567
7.49474,0.498175
7.52632,0.501825
7.55789,0.498175
7.58947,0.430657
7.62105,0.486010
7.65263,0.475061
7.68421,0.427616
7.71579,0.393552
7.74737,0.347324
7.77895,0.310827
7.81053,0.305961
7.84211,0.288321
7.87368,0.275547
7.90526,0.270681
7.93684,0.260341
7.96842,0.263990
8.00000,0.262165
8.03158,0.262774
8.06316,0.260341
8.09474,0.260341
8.12632,0.259124
8.15789,0.257908
8.18947,0.257299
8.22105,0.246350
8.25263,0.244526
8.28421,0.254866
8.31579,0.250608
8.34737,0.251217
8.37895,0.246350
8.41053,0.248175
8.44211,0.246350
8.47368,0.246350
8.50526,0.243917
8.53684,0.242701
8.56842,0.242701
8.60000,0.242701
8.63158,0.245134
8.66316,0.245134
8.69474,0.241484
8.72632,0.241484
8.75789,0.245134
8.78947,0.242701
8.82105,0.241484
8.85263,0.243917
8.88421,0.240268
8.91579,0.239051
8.94737,0.239051
8.97895,0.239051
9.01053,0.239051
9.04211,0.240268
9.07368,0.240268
9.10526,0.243917
9.13684,0.243917
9.16842,0.243917
9.20000,0.240268
9.23158,0.240268
9.26316,0.240268
9.29474,0.239051
9.32632,0.239051
9.35789,0.239051
9.38947,0.239051
9.42105,0.239051
9.45263,0.240268
9.48421,0.240268
9.51579,0.240268
9.54737,0.240268
9.57895,0.240268
9.61053,0.240268
9.64211,0.240268
9.67368,0.240268
9.70526,0.240876
9.73684,0.239659
9.76842,0.239051
9.80000,0.239051
9.83158,0.236618
9.86316,0.236618
9.89474,0.237835
9.92632,0.236618
9.95789,0.236618
9.98947,0.231144
10.02105,0.232968
10.05263,0.240876
10.08421,0.239051
10.11579,0.236618
10.14737,0.232360
10.17895,0.232360
10.21053,0.240268
10.24211,0.240268
10.27368,0.240268
10.30526,0.240268
10.33684,0.240268
10.36842,0.236618
10.40000,0.236618
10.43158,0.236618
10.46316,0.236618
10.49474,0.236618
10.52632,0.236618
10.55789,0.236618
10.58947,0.236618
10.62105,0.236618
10.65263,0.240268
10.68421,0.236618
10.71579,0.235401
10.74737,0.235401
10.77895,0.235401
10.81053,0.234185
10.84211,0.234185
10.87368,0.234185
10.90526,0.235401
10.93684,0.235401
10.96842,0.235401
11.00000,0.235401
11.03158,0.235401
11.06316,0.235401
11.09474,0.235401
11.12632,0.236618
11.15789,0.235401
11.18947,0.234185
11.22105,0.234185
11.25263,0.234185
11.28421,0.231752
11.31579,0.235401
11.34737,0.235401
11.37895,0.236618
11.41053,0.237835
11.44211,0.237835
11.47368,0.231144
11.50526,0.237835
11.53684,0.232360
11.56842,0.237835
11.60000,0.237835
11.63158,0.241484
11.66316,0.242092
11.69474,0.240268
11.72632,0.246350
11.75789,0.248783
11.78947,0.240268
11.82105,0.242092
11.85263,0.256083
11.88421,0.257299
11.91579,0.263382
11.94737,0.266423
11.97895,0.267032
12.01053,0.274331
12.04211,0.282847
12.07368,0.291363
12.10526,0.304745
12.13684,0.318127
12.16842,0.333942
12.20000,0.353406
12.23158,0.369221
12.26316,0.335766
12.29474,0.388078
12.32632,0.389903
12.35789,0.389294
12.38947,0.388686
12.42105,0.389294
12.45263,0.386861
12.48421,0.385645
12.51579,0.378954
12.54737,0.293187
12.57895,0.288321
12.61053,0.305961
12.64211,0.292579
12.67368,0.288929
12.70526,0.295012
12.73684,0.287713
12.76842,0.292579
12.80000,0.326642
12.83158,0.341849
12.86316,0.354015
12.89474,0.360097
12.92632,0.360706
12.95789,0.360706
12.98947,0.361314
13.02105,0.358881
13.05263,0.358881
13.08421,0.358881
13.11579,0.350365
13.14737,0.338808
13.17895,0.327859
13.21053,0.318127
13.24211,0.318127
13.27368,0.312044
13.30526,0.304136
13.33684,0.302311
13.36842,0.292579
13.40000,0.281630
13.43158,0.277981
13.46316,0.273114
13.49474,0.256083
13.52632,0.253650
13.55789,0.257908
13.58947,0.256691
13.62105,0.256691
13.65263,0.254866
13.68421,0.254866
13.71579,0.257299
13.74737,0.253650
13.77895,0.256083
13.81053,0.288321
13.84211,0.295012
13.87368,0.296229
13.90526,0.296837
13.93684,0.298054
13.96842,0.298662
14.00000,0.297445
14.03158,0.296837
14.06316,0.267032
14.09474,0.287713
14.12632,0.274331
14.15789,0.263382
14.18947,0.250000
14.22105,0.245134
14.25263,0.245134
14.28421,0.246350
14.31579,0.246350
14.34737,0.250000
14.37895,0.250608
14.41053,0.252433
14.44211,0.252433
14.47368,0.256083
14.50526,0.249392
14.53684,0.250608
14.56842,0.261557
14.60000,0.274331
14.63158,0.280414
14.66316,0.288929
14.69474,0.297445
14.72632,0.305961
14.75789,0.324209
14.78947,0.329075
14.82105,0.341241
14.85263,0.354623
14.88421,0.358273
14.91579,0.341241
14.94737,0.365572
14.97895,0.366788
15.01053,0.368005
15.04211,0.367397
15.07368,0.366788
15.10526,0.366788
15.13684,0.341241
15.16842,0.363139
15.20000,0.359489
15.23158,0.341241
15.26316,0.322993
15.29474,0.307178
15.32632,0.287713
15.35789,0.279805
15.38947,0.268248
15.42105,0.258516
15.45263,0.248783
15.48421,0.247567
15.51579,0.243309
15.54737,0.243309
15.57895,0.242092
15.61053,0.240268
15.64211,0.239659
15.67368,0.236618
15.70526,0.234185
15.73684,0.232968
15.76842,0.231752
15.80000,0.231752
15.83158,0.230535
15.86316,0.230535
15.89474,0.230535
15.92632,0.230535
15.95789,0.230535
15.98947,0.230535
16.02105,0.230535
16.05263,0.230535
16.08421,0.230535
16.11579,0.230535
16.14737,0.230535
16.17895,0.230535
16.21053,0.230535
16.24211,0.230535
16.27368,0.230535
16.30526,0.230535
16.33684,0.230535
16.36842,0.230535
16.40000,0.230535
16.43158,0.230535
16.46316,0.232360
16.49474,0.232360
16.52632,0.234185
16.55789,0.237226
16.58947,0.237835
16.62105,0.238443
16.65263,0.235401
16.68421,0.236010
16.71579,0.237226
16.74737,0.237835
16.77895,0.247567
16.81053,0.247567
16.84211,0.253650
16.87368,0.257299
16.90526,0.262165
16.93684,0.262774
16.96842,0.263382
17.00000,0.269465
17.03158,0.272506
17.06316,0.271898
17.09474,0.275547
17.12632,0.275547
17.15789,0.274331
17.18947,0.274331
17.22105,0.270681
17.25263,0.268856
17.28421,0.268248
17.31579,0.267032
17.34737,0.262774
17.37895,0.260341
17.41053,0.244526
17.44211,0.246350
17.47368,0.245134
17.50526,0.245134
17.53684,0.245134
17.56842,0.243917
17.60000,0.243917
17.63158,0.243309
17.66316,0.254866
17.69474,0.256083
17.72632,0.256083
17.75789,0.256083
17.78947,0.244526
17.82105,0.241484
17.85263,0.248783
17.88421,0.232968
17.91579,0.239051
17.94737,0.231752
17.97895,0.230535
18.01053,0.230535
18.04211,0.230535
18.07368,0.229319
18.10526,0.226886
18.13684,0.226886
18.16842,0.232968
18.20000,0.234185
18.23158,0.234793
18.26316,0.234793
18.29474,0.234185
18.32632,0.238443
18.35789,0.239659
18.38947,0.240268
18.42105,0.243917
18.45263,0.253650
18.48421,0.260949
18.51579,0.253041
18.54737,0.256083
18.57895,0.259124
18.61053,0.270681
18.64211,0.271290
18.67368,0.271290
18.70526,0.270681
18.73684,0.257299
18.76842,0.254258
18.80000,0.259732
18.83158,0.243309
18.86316,0.249392
18.89474,0.245134
18.92632,0.239659
18.95789,0.239051
18.98947,0.239051
19.02105,0.240268
19.05263,0.240876
19.08421,0.241484
19.11579,0.242092
19.14737,0.241484
19.17895,0.243309
19.21053,0.253650
19.24211,0.259732
19.27368,0.263382
19.30526,0.271898
19.33684,0.284063
19.36842,0.305961
19.40000,0.318127
19.43158,0.340024
19.46316,0.350973
19.49474,0.394769
19.52632,0.425182
19.55789,0.431265
19.58947,0.442214
19.62105,0.472628
19.65263,0.482968
19.68421,0.482360
19.71579,0.488443
19.74737,0.488443
19.77895,0.487835
19.81053,0.487226
19.84211,0.487226
19.87368,0.487226
19.90526,0.449513
19.93684,0.476277
19.96842,0.470195
20.00000,0.448297
20.03158,0.425182
20.06316,0.393552
20.09474,0.375304
20.12632,0.341241
20.15789,0.318127
20.18947,0.301095
20.22105,0.279197
20.25263,0.268248
20.28421,0.262165
20.31579,0.253650
20.34737,0.248783
20.37895,0.247567
20.41053,0.243917
20.44211,0.237226
20.47368,0.236010
20.50526,0.238443
20.53684,0.237835
20.56842,0.236618
20.60000,0.232968
20.63158,0.232968
20.66316,0.237226
20.69474,0.235401
20.72632,0.233577
20.75789,0.237835
20.78947,0.236010
20.82105,0.241484
20.85263,0.237226
20.88421,0.246350
20.91579,0.243917
20.94737,0.243917
20.97895,0.243917
21.01053,0.242701
21.04211,0.245134
21.07368,0.245134
21.10526,0.233577
21.13684,0.239051
21.16842,0.234185
21.20000,0.232968
21.23158,0.231144
21.26316,0.231752
21.29474,0.231752
21.32632,0.231752
21.35789,0.230535
21.38947,0.227494
21.42105,0.226886
21.45263,0.226886
21.48421,0.227494
21.51579,0.227494
21.54737,0.227494
21.57895,0.228102
21.61053,0.228102
21.64211,0.228102
21.67368,0.228102
21.70526,0.228710
21.73684,0.228710
21.76842,0.228710
21.80000,0.228102
21.83158,0.228102
21.86316,0.228710
21.89474,0.228710
21.92632,0.229927
21.95789,0.230535
21.98947,0.228102
22.02105,0.232360
22.05263,0.240268
22.08421,0.241484
22.11579,0.246350
22.14737,0.253650
22.17895,0.260949
22.21053,0.265815
22.24211,0.276764
22.27368,0.281630
22.30526,0.282847
22.33684,0.276764
22.36842,0.286496
22.40000,0.287713
22.43158,0.288929
22.46316,0.290146
22.49474,0.290146
22.52632,0.277981
22.55789,0.273114
22.58947,0.281630
22.62105,0.276764
22.65263,0.269465
22.68421,0.265815
22.71579,0.263382
22.74737,0.252433
22.77895,0.246350
22.81053,0.245134
22.84211,0.242701
22.87368,0.240876
22.90526,0.239659
22.93684,0.237226
22.96842,0.232968
23.00000,0.232360
23.03158,0.231144
23.06316,0.230535
23.09474,0.229927
23.12632,0.229319
23.15789,0.229319
23.18947,0.229319
23.22105,0.229319
23.25263,0.229319
23.28421,0.229319
23.31579,0.230535
23.34737,0.228102
23.37895,0.228710
23.41053,0.229319
23.44211,0.230535
23.47368,0.234793
23.50526,0.235401
23.53684,0.232968
23.56842,0.232968
23.60000,0.236618
23.63158,0.234185
23.66316,0.234185
23.69474,0.232968
23.72632,0.232968
23.75789,0.232968
23.78947,0.231752
23.82105,0.232968
23.85263,0.231144
23.88421,0.231752
23.91579,0.231752
23.94737,0.239051
23.97895,0.239659
24.01053,0.239659
24.04211,0.240268
24.07368,0.251217
24.10526,0.252433
24.13684,0.253650
24.16842,0.254258
24.20000,0.256691
24.23158,0.257908
24.26316,0.255474
24.29474,0.257299
24.32632,0.256083
24.35789,0.257908
24.38947,0.255474
24.42105,0.253041
24.45263,0.253650
24.48421,0.252433
24.51579,0.248783
24.54737,0.232968
24.57895,0.229927
24.61053,0.228710
24.64211,0.229927
24.67368,0.229927
24.70526,0.230535
24.73684,0.231144
24.76842,0.232360
24.80000,0.230535
24.83158,0.236618
24.86316,0.237835
24.89474,0.241484
24.92632,0.239051
24.95789,0.240268
24.98947,0.241484
25.02105,0.242701
25.05263,0.242701
25.08421,0.243917
25.11579,0.243917
25.14737,0.247567
25.17895,0.247567
25.21053,0.247567
25.24211,0.247567
25.27368,0.243917
25.30526,0.242701
25.33684,0.240268
25.36842,0.240268
25.40000,0.239051
25.43158,0.239051
25.46316,0.237835
25.49474,0.236618
25.52632,0.235401
25.55789,0.237835
25.58947,0.235401
25.62105,0.236010
25.65263,0.239051
25.68421,0.240268
25.71579,0.242701
25.74737,0.248783
25.77895,0.254866
25.81053,0.259732
25.84211,0.268248
25.87368,0.258516
25.90526,0.260949
25.93684,0.265815
25.96842,0.275547
26.00000,0.276764
26.03158,0.276764
26.06316,0.276764
26.09474,0.264599
26.12632,0.262165
26.15789,0.259124
26.18947,0.260949
26.22105,0.256691
26.25263,0.254866
26.28421,0.252433
26.31579,0.249392
26.34737,0.245134
26.37895,0.245134
26.41053,0.246350
26.44211,0.246350
26.47368,0.247567
26.50526,0.247567
26.53684,0.247567
26.56842,0.248783
26.60000,0.248783
26.63158,0.250000
26.66316,0.250000
26.69474,0.251217
26.72632,0.251217
26.75789,0.254866
26.78947,0.257299
26.82105,0.258516
26.85263,0.260949
26.88421,0.264599
26.91579,0.267032
26.94737,0.267032
26.97895,0.268248
27.01053,0.273114
27.04211,0.273114
27.07368,0.274331
27.10526,0.271898
27.13684,0.271898
27.16842,0.275547
27.20000,0.273114
27.23158,0.274331
27.26316,0.273114
27.29474,0.273114
27.32632,0.270681
27.35789,0.269465
27.38947,0.261557
27.42105,0.262165
27.45263,0.259732
27.48421,0.244526
27.51579,0.251217
27.54737,0.248783
27.57895,0.247567
27.61053,0.246350
27.64211,0.244526
27.67368,0.243309
27.70526,0.232360
27.73684,0.240268
27.76842,0.234185
27.80000,0.235401
27.83158,0.234185
