# paper: 10.1126%2Fsciadv.aaq1636
# figure: Figure S10  panel: Figure_S10_0
# technique: pxrd  material: X-pcu-3-Zn-3i-γ
# series: X-pcu-3-Zn-3i-γ  (unknown)
# x: 2θ (theta)   y: arb. units, 0 = bottom axis, 1 = top of plot box
# read by: pixels
x,y
5.06316,0.071168
5.09474,0.071168
5.12632,0.069951
5.15789,0.069951
5.18947,0.069951
5.22105,0.069951
5.25263,0.069951
5.28421,0.069951
5.31579,0.069951
5.34737,0.069951
5.37895,0.069951
5.41053,0.069951
5.44211,0.071168
5.47368,0.071168
5.50526,0.071168
5.53684,0.071168
5.56842,0.071168
5.60000,0.071168
5.63158,0.071168
5.66316,0.071168
5.69474,0.071168
5.72632,0.071168
5.75789,0.071168
5.78947,0.071168
5.82105,0.071168
5.85263,0.071168
5.88421,0.071168
5.91579,0.071168
5.94737,0.071168
5.97895,0.071168
6.01053,0.071168
6.04211,0.071168
6.07368,0.071168
6.10526,0.071168
6.13684,0.072384
6.16842,0.072384
6.20000,0.072384
6.23158,0.072384
6.26316,0.072384
6.29474,0.072384
6.32632,0.072384
6.35789,0.072384
6.38947,0.073601
6.42105,0.073601
6.45263,0.073601
6.48421,0.074818
6.51579,0.076034
6.54737,0.076034
6.57895,0.077251
6.61053,0.079684
6.64211,0.083333
6.67368,0.086983
6.70526,0.099148
6.73684,0.336983
6.76842,0.337591
6.80000,0.336983
6.83158,0.298662
6.86316,0.302311
6.89474,0.325426
6.92632,0.330292
6.95789,0.331509
6.98947,0.331509
7.02105,0.319343
7.05263,0.215937
7.08421,0.158759
7.11579,0.129562
7.14737,0.128345
7.17895,0.128345
7.21053,0.127129
7.24211,0.119830
7.27368,0.105231
7.30526,0.089416
7.33684,0.085766
7.36842,0.089416
7.40000,0.101582
7.43158,0.107664
7.46316,0.412409
7.49474,0.292579
7.52632,0.309611
7.55789,0.309611
7.58947,0.309611
7.62105,0.308394
7.65263,0.295012
7.68421,0.271898
7.71579,0.269465
7.74737,0.211071
7.77895,0.152676
7.81053,0.100365
7.84211,0.094282
7.87368,0.084550
7.90526,0.080900
7.93684,0.078467
7.96842,0.077251
8.00000,0.076034
8.03158,0.074818
8.06316,0.074818
