# paper: 10.1126%2Fsciadv.aaq1636
# figure: Figure S15  panel: Figure_S15_0
# technique: gas_adsorption_isotherm  material: X-pcu-3-Zn-3i (β and γ phases)
# series: X-pcu-3-Zn-3i (experimental CO2 desorption)  (experimental)
# x: Pressure (atm)   y: data units from y ticks
x,y
0.13729,2.827601
0.17696,2.913208
0.21677,2.983474
0.24797,3.079731
0.28366,3.553960
0.31647,4.352814
0.36310,5.341990
0.39807,5.788879
0.43247,6.054056
0.47340,6.261519
0.51676,6.429193
0.53894,6.498659
0.58172,6.657143
0.72976,6.997928
0.79790,7.106905
0.80057,2.597431
0.84120,7.162961
0.87516,7.186815
0.91690,7.233305
0.98891,7.297256
