# paper: 10.1126%2Fsciadv.aaq1636
# figure: Figure S15  panel: Figure_S15_0
# technique: gas_adsorption_isotherm  material: X-pcu-3-Zn-3i (β and γ phases)
# series: simulated CO2 isotherm, X-pcu-3-Zn-3i phase (model a2)  (simulated)
# x: Pressure (atm)   y: data units from y ticks
x,y
0.00199,3.411429
0.00199,0.971429
0.00359,5.194286
0.00390,2.195429
0.00511,2.382381
0.00598,2.868571
0.00598,2.691429
0.00598,2.497143
0.00598,2.925714
0.00651,1.644762
0.00706,0.964898
0.00791,3.413878
0.00896,3.519184
0.00916,3.668571
0.00996,1.565714
0.01008,1.925789
0.01076,3.977143
0.01595,2.144000
0.02394,2.373846
0.02632,2.242746
0.05232,2.551681
0.10449,5.307278
0.10707,2.768819
0.14577,5.532912
0.19668,5.764770
0.24065,5.948756
0.28834,6.125976
0.33500,6.268200
0.37911,6.401451
0.42778,6.520823
0.47182,6.625956
0.51776,6.705257
0.56565,6.789439
0.61560,6.810159
0.65573,6.888188
0.69418,6.950694
0.72518,0.666286
0.72523,2.848762
0.76038,7.054291
0.80063,2.180052
0.80401,1.753286
0.80648,1.850390
0.81201,1.723516
0.81671,2.551709
0.81721,2.124651
0.81850,1.706939
0.82379,1.712584
0.82382,2.113668
0.82555,2.557215
0.82944,1.711720
0.83002,2.164490
0.85100,2.531429
0.85107,1.681345
0.85211,2.182857
0.85677,1.709524
0.85918,2.588975
0.86343,2.157426
0.86633,2.550714
0.87168,2.175584
0.87558,2.580377
0.87756,2.149524
0.90372,0.666667
0.90372,2.841905
0.95742,7.268879
0.99657,3.593143
0.99721,7.405714
0.99721,7.817143
