# paper: 10.1126%2Fsciadv.aaq1636
# figure: Figure S15  panel: Figure_S15_0
# technique: gas_adsorption_isotherm  material: X-pcu-3-Zn-3i (β and γ phases)
# series: X-pcu-3-Zn-3i simulated isotherm (model a1)  (simulated)
# x: Pressure (atm)   y: data units from y ticks
x,y
0.00598,2.537143
0.00677,2.531429
0.00757,2.531429
0.00837,2.537143
0.00916,2.542857
0.00996,2.542857
0.01076,2.548571
0.01155,2.554286
0.01235,2.560000
0.01315,5.451429
0.01394,5.497143
0.01474,5.508571
0.01554,5.577143
0.01633,5.622857
0.01713,5.622857
0.01793,5.691429
0.01873,5.760000
0.01952,5.771429
0.02032,5.817143
0.02112,5.874286
0.02191,5.897143
0.02271,5.954286
0.02351,6.000000
0.02430,6.011429
0.02510,6.080000
0.02590,6.137143
0.02669,6.148571
0.02749,6.205714
0.02829,6.262857
0.02908,6.274286
0.02988,6.342857
0.03068,6.388571
0.03147,6.400000
0.03227,6.457143
0.03307,6.525714
0.03386,6.537143
0.03466,6.582857
0.03546,6.640000
0.03625,6.651429
0.03705,6.720000
0.03785,6.765714
0.03865,6.777143
0.03944,6.845714
0.04024,6.857143
0.04104,6.925714
0.04183,6.971429
0.04263,6.982857
0.04343,7.040000
0.04422,7.108571
0.04502,7.120000
0.04582,7.291429
0.04661,7.348571
0.04741,7.211429
0.04821,7.348571
0.04900,7.382857
0.04980,7.360000
0.05060,7.291429
0.05139,7.360000
0.05219,7.188571
0.05299,7.382857
0.05378,7.205714
0.05458,7.417143
0.05538,7.342857
0.05618,7.451429
0.05697,7.285714
0.05777,7.474286
0.05857,7.508571
0.05936,7.531429
0.06016,7.542857
0.06096,7.554286
0.06175,7.565714
0.06255,7.588571
0.06335,7.594286
0.06414,7.634286
0.06494,7.645714
0.06574,7.657143
0.06653,7.645714
0.06733,7.702857
0.06813,7.697143
0.06892,7.737143
0.06972,7.748571
0.07052,7.760000
0.07131,7.725714
0.07211,7.805714
0.07291,7.817143
0.07371,7.840000
0.07450,7.851429
0.07530,7.885714
0.07610,7.897143
0.07689,7.908571
0.07769,7.931429
0.07849,7.954286
0.07928,7.954286
0.08008,7.988571
0.08088,8.000000
0.08167,8.011429
0.08247,8.022857
0.08327,8.057143
0.08406,8.022857
0.08486,8.091429
0.08566,8.102857
0.08645,8.114286
0.08725,8.125714
0.08805,8.160000
0.08884,8.125714
0.08964,8.194286
0.09044,8.205714
0.09124,8.217143
0.09203,8.251429
0.09283,8.262857
0.09363,8.285714
0.09442,8.422857
0.09522,8.371429
0.09602,8.445714
0.09681,8.348571
0.09761,8.468571
0.09841,8.485714
0.09920,8.468571
0.10000,8.365714
0.10080,8.394286
0.10159,8.491429
0.10239,8.468571
0.10319,8.400000
0.10398,8.457143
0.10478,8.360000
0.10558,8.400000
0.10637,8.400000
0.10717,8.422857
0.10797,8.422857
0.10876,8.434286
0.10956,8.434286
0.11036,8.434286
0.11116,8.434286
0.11195,8.434286
0.11275,8.434286
0.11355,8.445714
0.11434,8.457143
0.11514,8.457143
0.11594,8.457143
0.11673,8.457143
0.11753,8.457143
0.11833,8.462857
0.11912,8.462857
0.11992,8.468571
0.12072,8.468571
0.12151,8.468571
0.12231,8.468571
0.12311,8.468571
0.12390,8.474286
0.12470,8.485714
0.12550,8.491429
0.12629,8.491429
0.12709,8.491429
0.12789,8.491429
0.12869,8.491429
0.12948,8.502857
0.13028,8.502857
0.13108,8.508571
0.13187,8.508571
0.13267,8.508571
0.13347,8.508571
0.13426,8.514286
0.13506,8.514286
0.13586,8.525714
0.13665,8.525714
0.13745,8.525714
0.13825,8.525714
0.13904,8.525714
0.13984,8.531429
0.14064,8.537143
0.14143,8.542857
