# paper: 10.1126%2Fsciadv.aaq1636
# figure: Figure S15  panel: Figure_S15_0
# technique: gas_adsorption_isotherm  material: X-pcu-3-Zn-3i (β and γ phases)
# series: simulated CO2 isotherm, X-pcu-3-Zn-3i phase (model a3)  (simulated)
# x: Pressure (atm)   y: data units from y ticks
x,y
0.00359,1.451429
0.00438,1.457143
0.00518,2.154286
0.00598,2.297143
0.00677,2.308571
0.00757,2.222857
0.00837,2.365714
0.00916,2.274286
0.00996,2.365714
0.01076,2.154286
0.01155,2.365714
0.01235,2.251429
0.01315,2.297143
0.01394,2.337143
0.01474,2.320000
0.01554,2.211429
0.01633,2.297143
0.01713,2.257143
0.01793,2.285714
0.01873,2.297143
0.01952,2.308571
0.02032,2.302857
0.02112,2.354286
0.02191,2.285714
0.02271,2.365714
0.02351,2.297143
0.02430,2.365714
0.02510,2.337143
0.02590,2.365714
0.02669,2.331429
0.02749,2.331429
0.02829,2.331429
0.02908,2.348571
0.02988,2.348571
0.03068,2.348571
0.03147,2.354286
0.03227,2.354286
0.03307,2.354286
0.03386,2.354286
0.03466,2.354286
0.03546,2.365714
0.03625,2.371429
0.03705,2.371429
0.03785,2.371429
0.03865,2.377143
0.03944,2.382857
0.04024,2.388571
0.04104,2.388571
0.04183,2.388571
0.04263,2.388571
0.04343,2.434286
0.04422,2.491429
0.04502,2.502857
0.04582,2.440000
0.04661,2.548571
0.04741,2.354286
0.04821,2.560000
0.04900,2.502857
0.04980,2.434286
0.05060,2.400000
0.05139,2.411429
0.05219,2.422857
0.05299,2.571429
0.05378,2.491429
0.05458,2.434286
0.05538,2.354286
0.05618,2.560000
0.05697,2.428571
0.05777,2.537143
0.05857,2.428571
0.05936,2.462857
0.06016,2.462857
0.06096,2.468571
0.06175,2.474286
0.06255,2.474286
0.06335,2.485714
0.06414,2.485714
0.06494,2.491429
0.06574,2.491429
0.06653,2.491429
0.06733,2.497143
0.06813,2.502857
0.06892,2.508571
0.06972,2.508571
0.07052,2.508571
