# paper: 10.1126%2Fsciadv.aaq1636
# figure: Figure S15  panel: Figure_S15_0
# technique: gas_adsorption_isotherm  material: X-pcu-3-Zn-3i (β and γ phases)
# series: X-pcu-3-Zn-3i  (experimental)
# x: Pressure (atm)   y: data units from y ticks
x,y
0.01713,5.017143
0.01793,5.040000
0.01873,5.051429
0.01952,5.062857
0.02032,5.108571
0.02112,5.142857
0.02191,5.154286
0.02271,5.188571
0.02351,5.234286
0.02430,5.245714
0.02510,5.268571
0.02590,5.314286
0.02669,5.325714
0.02749,5.360000
0.02829,5.405714
0.02908,5.417143
0.02988,5.451429
0.03068,5.474286
0.03147,5.485714
0.03227,5.531429
0.03307,5.565714
0.03386,5.577143
0.03466,5.622857
0.03546,5.645714
0.03625,5.657143
0.03705,5.691429
0.03785,5.725714
0.03865,5.748571
0.03944,5.771429
0.04024,5.794286
0.04104,5.828571
0.04183,5.862857
0.04263,5.885714
0.04343,5.897143
0.04422,5.942857
0.04502,6.114286
0.04582,6.068571
0.04661,6.137143
0.04741,6.011429
0.04821,6.137143
0.04900,6.171429
0.04980,6.148571
0.05060,6.062857
0.05139,6.160000
0.05219,6.154286
0.05299,6.148571
0.05378,5.994286
0.05458,6.137143
0.05538,6.034286
0.05618,6.160000
0.05697,6.091429
0.05777,6.171429
0.05857,6.171429
0.05936,6.177143
0.06016,6.188571
0.06096,6.200000
0.06175,6.205714
0.06255,6.217143
0.06335,6.222857
0.06414,6.234286
0.06494,6.234286
0.06574,6.245714
0.06653,6.257143
0.06733,6.268571
0.06813,6.274286
0.06892,6.280000
0.06972,6.291429
0.07052,6.302857
0.07131,6.308571
0.07211,6.320000
0.07291,6.325714
0.07371,6.331429
0.07450,6.337143
0.07530,6.348571
0.07610,6.360000
0.07689,6.365714
0.07769,6.371429
0.07849,6.382857
0.07928,6.388571
0.08008,6.400000
0.08088,6.405714
0.08167,6.411429
0.08247,6.422857
0.08327,6.428571
0.08406,6.440000
0.08486,6.451429
0.08566,6.462857
0.08645,6.468571
0.08725,6.474286
0.08805,6.485714
0.08884,6.491429
0.08964,6.502857
0.09044,6.508571
0.09124,6.514286
0.09203,6.525714
0.09283,6.542857
0.09363,6.525714
0.09442,6.651429
0.09522,6.594286
0.09602,6.674286
0.09681,6.697143
0.09761,6.685714
0.09841,6.714286
0.09920,6.560000
0.10000,6.594286
0.10080,6.640000
0.10159,6.720000
0.10239,6.697143
0.10319,6.617143
0.10398,6.628571
0.10478,6.582857
0.10558,6.662857
0.10637,6.640000
0.10717,6.651429
0.10797,6.651429
0.10876,6.651429
0.10956,6.651429
0.11036,6.662857
0.11116,6.668571
0.11195,6.668571
0.11275,6.668571
0.11355,6.674286
0.11434,6.685714
0.11514,6.685714
0.11594,6.691429
0.11673,6.691429
0.11753,6.697143
0.11833,6.702857
0.11912,6.708571
0.11992,6.714286
0.12072,6.714286
0.12151,6.720000
0.12231,6.720000
0.12311,6.725714
0.12390,6.725714
0.12470,6.737143
0.12550,6.737143
0.12629,6.742857
0.12709,6.742857
0.12789,6.748571
0.12869,6.754286
0.12948,6.754286
0.13028,6.760000
0.13108,6.760000
0.13187,6.765714
0.13267,6.771429
0.13347,6.777143
0.13426,6.777143
0.13506,6.782857
0.13586,6.788571
0.13665,6.788571
0.13745,6.794286
0.13825,6.800000
0.13904,6.805714
0.13984,6.805714
0.14064,6.811429
0.14143,6.811429
0.14223,6.822857
0.14303,6.822857
0.14382,6.822857
0.14462,6.828571
0.14542,6.834286
0.14622,6.840000
0.14701,6.840000
0.14781,6.845714
0.14861,6.845714
0.14940,6.857143
0.15020,6.857143
0.15100,6.857143
0.15179,6.857143
0.15259,6.868571
0.15339,6.874286
0.15418,6.880000
0.15498,6.880000
0.15578,6.880000
0.15657,6.891429
0.15737,6.891429
0.15817,6.891429
0.15896,6.891429
0.15976,6.902857
0.16056,6.908571
0.16135,6.914286
0.16215,6.914286
0.16295,6.914286
0.16375,6.925714
0.16454,6.925714
