# paper: 10.1126%2Fsciadv.aaq1636
# figure: Figure S3  panel: Figure_S3_0
# technique: gas_adsorption_isotherm  material: X-pcu-3-Zn-3i
# series: X-pcu-3-Zn-3i-β (first cycle)  (experimental)
# x: RelativePressure(p/p°)   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
0.00000,0.715870
5.00000,0.694539
16.00000,0.695392
39.00000,0.711604
40.00000,0.710751
57.00000,0.705631
104.00000,0.724403
112.00000,0.744881
113.00000,0.744881
114.00000,0.744881
115.00000,0.744881
131.00000,0.732935
132.00000,0.736348
140.00000,0.750000
141.00000,0.750000
142.00000,0.750000
150.00000,0.736348
331.00000,0.424061
331.00000,0.484642
331.00000,0.351536
331.00000,0.499147
332.00000,0.499147
332.00000,0.350683
332.00000,0.484642
332.00000,0.424061
333.00000,0.351536
333.00000,0.423208
333.00000,0.484642
333.00000,0.498294
334.00000,0.423208
334.00000,0.351536
334.00000,0.498294
334.00000,0.484642
335.00000,0.366894
335.00000,0.390785
335.00000,0.424915
335.00000,0.453925
335.00000,0.481229
335.00000,0.496587
335.00000,0.320819
335.00000,0.348123
336.00000,0.496587
336.00000,0.479522
336.00000,0.453925
336.00000,0.390785
336.00000,0.421502
336.00000,0.346416
336.00000,0.320819
336.00000,0.367747
337.00000,0.483788
337.00000,0.453925
337.00000,0.423208
337.00000,0.390785
337.00000,0.355802
337.00000,0.320819
338.00000,0.320819
338.00000,0.355802
338.00000,0.391638
338.00000,0.453925
338.00000,0.423208
338.00000,0.482935
339.00000,0.405290
340.00000,0.488908
340.00000,0.465870
340.00000,0.443686
340.00000,0.384812
340.00000,0.360922
340.00000,0.326792
340.00000,0.411263
341.00000,0.360068
341.00000,0.403584
341.00000,0.424061
341.00000,0.453925
341.00000,0.489761
341.00000,0.326792
341.00000,0.383106
342.00000,0.489761
342.00000,0.453925
342.00000,0.424061
342.00000,0.366894
342.00000,0.325939
342.00000,0.404437
343.00000,0.372867
343.00000,0.453925
343.00000,0.489761
343.00000,0.351536
343.00000,0.325939
343.00000,0.404437
343.00000,0.424061
343.53642,0.592484
344.00000,0.489761
344.00000,0.447952
344.00000,0.424061
344.00000,0.404437
344.00000,0.375427
344.00000,0.351536
344.00000,0.325085
344.00000,0.469283
345.00000,0.325939
345.00000,0.367747
345.00000,0.403584
345.00000,0.424061
345.00000,0.442833
345.00000,0.465870
345.00000,0.488908
346.00000,0.361775
346.00000,0.441126
346.00000,0.482935
347.00000,0.390785
347.00000,0.430034
347.00000,0.453925
347.00000,0.408703
347.00000,0.483788
347.00000,0.343857
348.00000,0.483788
348.00000,0.453925
348.00000,0.429181
348.00000,0.408703
348.00000,0.390785
348.00000,0.366894
348.00000,0.344710
348.00000,0.321672
349.00000,0.390785
349.00000,0.367747
349.00000,0.496587
349.00000,0.453925
349.00000,0.429181
349.00000,0.408703
349.00000,0.321672
349.00000,0.478669
349.00000,0.345563
350.00000,0.496587
351.00000,0.497440
352.00000,0.498294
353.00000,0.499147
354.00000,0.499147
666.97382,0.252091
688.48418,0.349339
729.35987,0.249120
729.80564,0.345919
759.62075,0.345142
766.33581,0.249756
783.49561,0.350428
795.00000,0.812287
810.86688,0.249180
832.88997,0.250097
833.89251,0.347111
836.00000,0.812287
863.00000,0.805461
865.00000,0.809727
868.00000,0.806314
868.17536,0.923661
894.00000,0.813140
895.00000,0.810580
896.00000,0.816553
896.07258,0.925217
903.90809,0.223455
904.16974,0.320693
916.00000,0.813140
917.00000,0.815700
918.00000,0.814846
923.00000,0.813993
924.93133,0.925764
933.68978,0.260301
933.99636,0.357809
954.17986,0.260755
954.61511,0.357705
955.05442,0.925484
977.19654,0.255302
977.36207,0.352433
1010.00000,0.819966
1020.00000,0.817406
1021.00000,0.817406
1022.00000,0.819113
1076.00000,0.823379
