# paper: 10.1126%2Fsciadv.aaq1636
# figure: Figure S3  panel: Figure_S3_0
# technique: gas_adsorption_isotherm  material: X-pcu-3-Zn-3i
# series: X-pcu-3-Zn-3i-β  (experimental)
# x: RelativePressure(p/p°)   y: arb. units, 0 = bottom axis, 1 = top of plot box
# read by: pixels
x,y
3.00000,0.716724
4.00000,0.716724
5.00000,0.715870
6.00000,0.714164
6.00000,0.694539
7.00000,0.696246
7.00000,0.713311
8.00000,0.704778
9.00000,0.703925
10.00000,0.703072
11.00000,0.701365
12.00000,0.701365
13.00000,0.702218
14.00000,0.702218
15.00000,0.697099
15.00000,0.707338
16.00000,0.708191
17.00000,0.708191
18.00000,0.708191
19.00000,0.704778
20.00000,0.703072
21.00000,0.701365
22.00000,0.703925
23.00000,0.704778
24.00000,0.704778
25.00000,0.720137
25.00000,0.697099
26.00000,0.720990
26.00000,0.696246
27.00000,0.694539
27.00000,0.722696
28.00000,0.723549
28.00000,0.693686
29.00000,0.724403
29.00000,0.693686
30.00000,0.724403
30.00000,0.694539
31.00000,0.724403
31.00000,0.694539
32.00000,0.724403
32.00000,0.695392
33.00000,0.696246
33.00000,0.723549
34.00000,0.722696
34.00000,0.697099
35.00000,0.698805
35.00000,0.720990
36.00000,0.720137
36.00000,0.701365
37.00000,0.711604
38.00000,0.711604
41.00000,0.710751
42.00000,0.710751
43.00000,0.710751
44.00000,0.709898
45.00000,0.710751
46.00000,0.710751
47.00000,0.710751
48.00000,0.710751
49.00000,0.711604
50.00000,0.712457
51.00000,0.726962
51.00000,0.704778
52.00000,0.727816
52.00000,0.703925
53.00000,0.730375
53.00000,0.703925
54.00000,0.703925
54.00000,0.730375
55.00000,0.731229
55.00000,0.703925
56.00000,0.731229
56.00000,0.704778
57.00000,0.731229
58.00000,0.731229
59.00000,0.706485
59.00000,0.730375
60.00000,0.729522
60.00000,0.707338
61.00000,0.727816
61.00000,0.709044
62.00000,0.710751
62.00000,0.726109
63.00000,0.718430
64.00000,0.718430
65.00000,0.719283
66.00000,0.718430
67.00000,0.719283
68.00000,0.719283
69.00000,0.718430
70.00000,0.718430
71.00000,0.718430
72.00000,0.718430
73.00000,0.719283
74.00000,0.719283
75.00000,0.719283
76.00000,0.718430
77.00000,0.718430
78.00000,0.719283
79.00000,0.719283
80.00000,0.720990
81.00000,0.723549
82.00000,0.734642
82.00000,0.716724
83.00000,0.715870
83.00000,0.736348
84.00000,0.737201
84.00000,0.714164
85.00000,0.737201
85.00000,0.714164
86.00000,0.738908
86.00000,0.713311
87.00000,0.713311
87.00000,0.738908
88.00000,0.713311
88.00000,0.738908
89.00000,0.738908
89.00000,0.713311
90.00000,0.737201
90.00000,0.714164
91.00000,0.737201
91.00000,0.715017
92.00000,0.735495
92.00000,0.715017
93.00000,0.724403
94.00000,0.724403
95.00000,0.724403
96.00000,0.724403
97.00000,0.724403
98.00000,0.724403
99.00000,0.724403
100.00000,0.724403
101.00000,0.724403
102.00000,0.725256
103.00000,0.724403
105.00000,0.731229
106.00000,0.732935
107.00000,0.732935
108.00000,0.724403
108.00000,0.740614
109.00000,0.742321
109.00000,0.722696
110.00000,0.720990
110.00000,0.744027
111.00000,0.744881
111.00000,0.720137
112.00000,0.719283
113.00000,0.719283
114.00000,0.719283
115.00000,0.719283
116.00000,0.718430
116.00000,0.744881
117.00000,0.743174
117.00000,0.719283
118.00000,0.743174
118.00000,0.720990
119.00000,0.721843
119.00000,0.740614
120.00000,0.730375
121.00000,0.730375
122.00000,0.730375
123.00000,0.730375
124.00000,0.730375
125.00000,0.731229
126.00000,0.733788
127.00000,0.733788
128.00000,0.733788
129.00000,0.733788
130.00000,0.733788
133.00000,0.737201
134.00000,0.736348
135.00000,0.736348
136.00000,0.726962
136.00000,0.746587
137.00000,0.748294
137.00000,0.726109
138.00000,0.749147
138.00000,0.724403
139.00000,0.749147
139.00000,0.724403
140.00000,0.723549
141.00000,0.723549
142.00000,0.723549
143.00000,0.749147
143.00000,0.724403
144.00000,0.724403
144.00000,0.749147
145.00000,0.726109
145.00000,0.748294
146.00000,0.745734
146.00000,0.726962
147.00000,0.736348
148.00000,0.736348
149.00000,0.736348
174.02451,0.742279
217.00494,0.749568
