# paper: 10.1126%2Fsciadv.aaq1636
# figure: Figure S4  panel: Figure_S4_1
# technique: gas_adsorption_isotherm  material: X-pcu-3-Zn-3i-γ (shape-memory phase)
# series: X-pcu-3-Zn-3i-γ (shape-memory phase)  (experimental)
# x: Pressure (kPa)   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
-1.25448,0.282230
-1.11111,0.348432
-0.96774,0.372822
-0.82437,0.395470
-0.68100,0.419861
-0.53763,0.451220
-0.39427,0.451220
-0.25090,0.465157
-0.10753,0.484321
0.03584,0.484321
0.17921,0.508711
0.32258,0.503484
0.46595,0.506969
0.60932,0.536585
0.75269,0.536585
0.89606,0.533101
1.03943,0.545296
1.18280,0.548780
1.32616,0.555749
1.46953,0.559233
1.61290,0.560976
1.75627,0.562718
1.89964,0.562718
2.04301,0.574913
2.18638,0.576655
2.32975,0.580139
2.47312,0.581882
2.61649,0.583624
2.75986,0.585366
2.90323,0.587108
3.04659,0.586237
3.18996,0.594077
3.33333,0.594077
3.47670,0.597561
3.62007,0.597561
3.76344,0.599303
3.90681,0.601045
4.05018,0.600174
4.19355,0.601045
4.33692,0.601045
4.48029,0.609756
4.62366,0.609756
4.76703,0.611498
4.91039,0.611498
5.05376,0.609756
5.19713,0.609756
5.34050,0.608014
5.48387,0.608014
5.62724,0.606272
5.77061,0.611498
5.91398,0.616725
6.05735,0.608014
6.20072,0.628920
6.34409,0.630662
6.48746,0.632404
6.63082,0.632404
6.77419,0.634146
6.91756,0.635889
7.06093,0.635889
7.20430,0.635889
7.34767,0.635889
7.49104,0.635889
7.63441,0.634146
7.77778,0.632404
7.92115,0.632404
8.06452,0.628920
8.20789,0.627178
8.35125,0.627178
8.49462,0.641115
8.63799,0.639373
8.78136,0.648084
8.92473,0.653310
9.06810,0.653310
9.21147,0.653310
9.35484,0.656794
9.49821,0.656794
9.64158,0.656794
9.78495,0.656794
9.92832,0.656794
10.07168,0.656794
10.21505,0.655052
10.35842,0.653310
10.50179,0.656794
10.64516,0.656794
10.78853,0.648084
10.93190,0.649826
11.07527,0.667247
11.21864,0.667247
11.36201,0.670732
11.50538,0.670732
11.64875,0.670732
11.79211,0.670732
11.93548,0.670732
12.07885,0.670732
12.22222,0.670732
12.36559,0.670732
12.50896,0.670732
12.65233,0.670732
12.79570,0.668990
12.93907,0.670732
13.08244,0.663763
13.22581,0.674216
13.36918,0.681185
13.51254,0.682927
13.65591,0.684669
13.79928,0.684669
13.94265,0.684669
14.08602,0.686411
14.22939,0.686411
14.37276,0.686411
14.51613,0.686411
14.65950,0.684669
14.80287,0.684669
14.94624,0.684669
15.08961,0.684669
15.23297,0.681185
15.37634,0.670732
15.51971,0.672474
15.66308,0.674216
15.80645,0.681185
15.94982,0.681185
16.09319,0.681185
16.23656,0.682927
16.37993,0.682927
16.52330,0.684669
16.66667,0.684669
16.81004,0.684669
16.95341,0.686411
17.09677,0.688153
17.24014,0.688153
17.38351,0.688153
17.52688,0.691638
17.67025,0.695122
17.81362,0.698606
17.95699,0.700348
18.10036,0.700348
