# paper: 10.1126%2Fsciadv.aaq1636
# figure: Figure S4  panel: Figure_S4_1
# technique: gas_adsorption_isotherm  material: X-pcu-3-Zn-3i-γ (shape-memory phase)
# series: X-pcu-3-Zn-3i-γ (shape-memory phase)  (experimental)
# x: Pressure (kPa)   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
-1.39785,0.071429
-1.39785,0.041812
-1.25448,0.184669
-1.25448,0.157666
-1.25448,0.129791
-1.25448,0.101045
-1.25448,0.071429
-1.25448,0.041812
-1.11111,0.040941
-1.11111,0.070557
-1.11111,0.101916
-1.11111,0.130662
-1.11111,0.158537
-1.11111,0.209930
-1.11111,0.233449
-1.11111,0.281359
-1.11111,0.303136
-1.11111,0.184669
-0.96774,0.184669
-0.96774,0.041812
-0.96774,0.071429
-0.96774,0.101045
-0.96774,0.209930
-0.96774,0.143728
-0.96774,0.261324
-0.96774,0.282230
-0.96774,0.303136
-0.96774,0.325784
-0.96774,0.347561
-0.96774,0.233449
-0.82437,0.394599
-0.82437,0.371951
-0.82437,0.304878
-0.82437,0.135017
-0.68100,0.356272
-0.68100,0.292683
-0.68100,0.150697
-0.53763,0.149826
-0.53763,0.292683
-0.53763,0.337979
-0.53763,0.394599
-0.53763,0.315331
-0.39427,0.453833
-0.39427,0.417247
-0.39427,0.385017
-0.39427,0.361498
-0.39427,0.337979
-0.39427,0.315331
-0.39427,0.295296
-0.39427,0.148084
-0.25090,0.316202
-0.25090,0.147213
-0.25090,0.295296
-0.25090,0.338850
-0.25090,0.408537
-0.25090,0.385889
-0.25090,0.361498
-0.25090,0.445993
-0.10753,0.147213
-0.10753,0.297038
-0.10753,0.317944
-0.10753,0.361498
-0.10753,0.340592
-0.10753,0.408537
-0.10753,0.446864
-0.10753,0.484321
-0.10753,0.385889
0.03584,0.340592
0.03584,0.146341
0.03584,0.297038
0.03584,0.317944
0.03584,0.363240
0.03584,0.465157
0.03584,0.409408
0.03584,0.437282
0.03584,0.484321
0.03584,0.385889
0.17921,0.340592
0.17921,0.297038
0.17921,0.146341
0.17921,0.318815
0.17921,0.364111
0.17921,0.479094
0.17921,0.410279
0.17921,0.436411
0.17921,0.508711
0.17921,0.386760
0.32258,0.146341
0.32258,0.297909
0.32258,0.318815
0.32258,0.340592
0.32258,0.364111
0.32258,0.386760
0.32258,0.432056
0.32258,0.440767
0.32258,0.471254
0.32258,0.503484
