# paper: 10.1126%2Fsciadv.aaq1636
# figure: Figure S4  panel: Figure_S4_1
# technique: gas_adsorption_isotherm  material: X-pcu-3-Zn-3i-γ (shape-memory phase)
# series: X-pcu-3-Zn-3i-γ (shape-memory phase)  (experimental)
# x: Pressure (kPa)   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
-1.39785,0.129791
-1.25448,0.129791
-1.11111,0.130662
-0.96774,0.143728
-0.82437,0.135017
-0.68100,0.148084
-0.53763,0.148084
-0.39427,0.148084
-0.25090,0.147213
-0.10753,0.147213
0.03584,0.146341
0.17921,0.146341
0.32258,0.146341
0.46595,0.146341
0.60932,0.147213
0.75269,0.148084
0.89606,0.148955
1.03943,0.179443
1.18280,0.208188
1.32616,0.222125
1.46953,0.287456
1.61290,0.336237
1.75627,0.337979
1.89964,0.338850
1.97133,0.425087
2.04301,0.339721
2.18638,0.342334
2.32975,0.349303
2.47312,0.359756
2.61649,0.360627
2.75986,0.361498
2.90323,0.362369
3.04659,0.364983
3.18996,0.366725
3.33333,0.368467
3.47670,0.371080
3.62007,0.372822
3.76344,0.375436
3.90681,0.376307
4.05018,0.378049
4.19355,0.378920
4.33692,0.380662
4.48029,0.383275
4.62366,0.384146
4.76703,0.385889
4.91039,0.385889
5.05376,0.385889
5.19713,0.386760
5.34050,0.387631
5.48387,0.388502
5.62724,0.388502
5.77061,0.388502
5.91398,0.389373
6.05735,0.388502
6.20072,0.388502
6.34409,0.389373
6.48746,0.396341
6.63082,0.406794
6.77419,0.407666
6.91756,0.406794
7.06093,0.406794
7.20430,0.406794
7.34767,0.405923
7.49104,0.405923
7.63441,0.405923
7.77778,0.406794
7.92115,0.406794
8.06452,0.405923
8.20789,0.405923
8.35125,0.405923
8.49462,0.405923
8.63799,0.406794
8.78136,0.405923
8.92473,0.406794
9.06810,0.410279
9.21147,0.413763
9.35484,0.419861
9.49821,0.421603
9.64158,0.420732
9.78495,0.421603
9.92832,0.421603
10.07168,0.421603
10.21505,0.420732
10.35842,0.421603
10.50179,0.421603
10.64516,0.421603
10.78853,0.421603
10.93190,0.420732
11.07527,0.421603
11.21864,0.421603
11.36201,0.421603
11.50538,0.420732
11.64875,0.421603
11.79211,0.424216
11.93548,0.427700
12.07885,0.432056
12.22222,0.432927
12.36559,0.432927
12.50896,0.432927
12.65233,0.432927
12.79570,0.432927
12.93907,0.432927
13.08244,0.432927
13.22581,0.432927
13.36918,0.432927
13.51254,0.432927
13.65591,0.432927
13.79928,0.432927
13.94265,0.432927
14.08602,0.432927
14.22939,0.432927
14.37276,0.432927
14.51613,0.437282
14.65950,0.439895
14.80287,0.443380
14.94624,0.443380
15.08961,0.443380
15.23297,0.443380
15.37634,0.442509
15.51971,0.442509
15.66308,0.442509
15.80645,0.442509
15.94982,0.442509
16.09319,0.442509
16.23656,0.442509
16.37993,0.443380
16.52330,0.442509
16.66667,0.443380
16.81004,0.443380
16.95341,0.442509
17.09677,0.443380
17.24014,0.443380
17.38351,0.441638
17.89555,0.450722
19.10394,0.462544
19.24731,0.461672
19.39068,0.460801
19.53405,0.460801
19.67742,0.459930
19.82079,0.460801
19.96416,0.459930
20.10753,0.460801
20.25090,0.459930
20.39427,0.460801
20.53763,0.460801
20.68100,0.460801
20.82437,0.459930
