# paper: 10.1126%2Fsciadv.aaq1636
# figure: Figure S5  panel: Figure_S5_0
# technique: gas_adsorption_isotherm  material: X-pcu-3-Zn-3i
# series: X-pcu-3-Zn-3i  (experimental)
# x: P (bar)   y: data units from y ticks
# read by: pixels
x,y
0.22059,34.393593
0.25210,34.393593
0.28361,34.393593
0.31513,34.485126
0.34664,34.302059
0.37815,34.393593
0.40966,34.485126
0.44118,33.386728
0.44118,36.132723
0.47269,32.562929
0.47269,36.132723
0.50420,33.661327
0.53571,33.569794
0.85084,41.533181
0.88235,41.533181
0.91387,42.082380
0.94538,42.448513
0.97689,42.814645
1.00840,42.997712
1.03992,44.553776
1.07143,45.469108
1.10294,46.384439
1.13445,46.475973
1.16597,47.574371
1.19748,48.489703
1.22899,49.130435
1.26050,49.679634
1.29202,50.594966
1.32353,51.327231
1.35504,51.510297
1.38655,52.883295
1.41807,53.615561
1.44958,54.530892
1.48109,54.897025
1.51261,55.537757
1.54412,56.453089
1.57563,57.276888
1.60714,57.734554
1.63866,58.375286
1.70168,68.718535
1.73319,68.993135
1.76471,69.450801
1.79622,69.816934
1.82773,70.000000
1.85924,70.366133
1.89076,64.141876
1.89076,70.274600
1.92227,64.508009
1.92227,70.640732
1.92227,67.894737
1.95378,70.732265
1.95378,67.894737
1.98529,68.901602
2.01681,68.901602
2.04832,68.901602
2.07983,68.901602
2.11134,68.901602
2.14286,68.901602
2.17437,68.901602
2.20588,68.901602
2.23739,68.901602
2.26891,68.993135
2.30042,68.901602
2.33193,68.810069
2.36345,68.810069
2.39496,68.810069
2.42647,68.901602
2.45798,68.901602
4.02440,83.886154
7.17517,94.359268
9.16759,98.111975
11.14551,101.428778
13.14650,104.024152
15.15524,105.733260
17.12330,107.682997
19.12664,109.619849
20.98127,110.925046
22.66209,111.789813
24.83998,113.350169
26.80724,113.977507
28.77167,114.431250
30.68149,115.584343
