# paper: 10.1126%2Fsciadv.aaq1636
# figure: Figure S5  panel: Figure_S5_0
# technique: gas_adsorption_isotherm  material: X-pcu-3-Zn-3i
# series: adsorption_CO2_288K_2nd cycle  ()
# x: P (bar)   y: data units from y ticks
# read by: llm (claude-opus-5)
x,y
0.50000,40.500000
2.00000,77.500000
4.00000,92.000000
7.00000,103.500000
9.10000,107.000000
11.00000,110.000000
13.00000,113.000000
15.00000,115.000000
17.00000,118.000000
19.00000,119.500000
21.00000,121.500000
22.80000,122.500000
24.80000,124.500000
26.80000,125.000000
28.80000,125.500000
30.60000,126.000000
