# paper: 10.1126%2Fsciadv.aaq1636
# figure: Figure S5  panel: Figure_S5_0
# technique: gas_adsorption_isotherm  material: X-pcu-3-Zn-3i
# series: adsorption_CO2_298K_3rd cycle  ()
# x: P (bar)   y: data units from y ticks
# read by: llm (claude-opus-5)
x,y
0.50000,34.500000
2.00000,68.500000
4.00000,83.500000
7.00000,94.000000
9.10000,98.000000
11.00000,101.000000
13.00000,103.500000
15.00000,105.500000
17.00000,107.500000
19.00000,109.500000
21.00000,111.000000
22.80000,111.500000
24.80000,113.500000
26.80000,114.000000
28.80000,114.500000
30.60000,115.500000
