# paper: 10.1126%2Fsciadv.aaq1636
# figure: Figure S5  panel: Figure_S5_0
# technique: gas_adsorption_isotherm  material: X-pcu-3-Zn-3i
# series: X-pcu-3-Zn-3i  (experimental)
# x: P (bar)   y: data units from y ticks
x,y
0.34747,27.653860
0.86160,31.051515
0.91190,27.580092
1.81197,58.375286
2.15672,57.690618
2.44686,61.277426
2.45273,58.527841
3.99351,72.829207
4.38503,74.707024
6.96594,84.076840
7.50000,84.905008
8.82178,88.906687
9.46800,90.106045
10.87703,94.412710
11.07353,93.447140
11.39459,91.138780
11.42278,94.713959
12.98494,92.954488
13.06252,35.791841
13.45588,35.766590
13.46639,93.685300
13.77649,35.742712
14.09028,37.541852
14.24190,36.462243
15.01751,95.100432
15.39027,95.748988
15.49561,98.708134
15.61328,35.851083
17.20627,96.935313
17.44107,100.250600
18.71324,101.670481
18.84454,99.893660
19.34158,99.606823
19.51891,100.938215
20.68307,101.874469
21.27889,102.910537
22.26261,103.672006
22.45798,102.565472
22.99101,104.497366
24.56218,104.409153
24.87920,103.582507
25.19908,106.075696
26.60014,104.348674
26.91176,104.050343
27.16552,105.235457
30.64042,108.172289
30.93326,109.816934
