# paper: 10.1126%2Fsciadv.aaq1636
# figure: Figure S5  panel: Figure_S5_0
# technique: gas_adsorption_isotherm  material: X-pcu-3-Zn-3i
# series: adsorption_CO2_305K_4th cycle  ()
# x: P (bar)   y: data units from y ticks
# read by: llm (claude-opus-5)
x,y
0.50000,29.000000
2.00000,60.000000
4.00000,75.000000
7.00000,86.000000
9.10000,90.000000
11.00000,93.000000
13.00000,95.000000
15.00000,97.500000
17.00000,99.000000
19.00000,102.000000
21.00000,103.000000
22.80000,105.000000
24.80000,105.500000
26.80000,106.500000
28.80000,107.000000
30.60000,108.000000
