# paper: 10.1126%2Fsciadv.aaq1636
# figure: Figure S5  panel: Figure_S5_0
# technique: gas_adsorption_isotherm  material: X-pcu-3-Zn-3i
# series: X-pcu-3-Zn-3i  (experimental)
# x: P (bar)   y: data units from y ticks
x,y
0.56168,34.178885
0.99440,42.906178
1.11264,46.468932
1.21166,48.681922
1.36937,52.458914
1.81197,62.585812
2.11478,68.565670
3.57668,80.129672
4.09915,83.655564
4.98950,86.720061
7.22654,94.211008
9.21209,97.754213
11.19436,101.142094
13.20908,103.752079
15.19868,105.434836
17.16266,107.372016
19.16199,109.287788
21.03617,110.550742
22.72545,111.677384
24.90948,113.154305
26.86059,113.654216
28.85186,114.170527
30.74669,115.187529
