# paper: 10.1126%2Fsciadv.aaq1636
# figure: Figure S6  panel: Figure_S6_0
# technique: pxrd  material: X-pcu-3-Zn-3i
# series: X-pcu-3-Zn-3i-α  (experimental)
# x: 2θ (theta)   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
5.06116,0.635494
5.09174,0.634963
5.12232,0.634963
5.15291,0.634963
5.18349,0.634963
5.21407,0.634963
5.24465,0.634963
5.27523,0.634963
5.30581,0.634963
5.33639,0.634963
5.36697,0.635494
5.39755,0.635494
5.42813,0.635494
5.45872,0.635494
5.48930,0.635494
5.51988,0.635494
5.55046,0.634963
5.58104,0.634963
5.61162,0.635494
5.64220,0.635494
5.67278,0.635494
5.70336,0.635494
5.73394,0.634963
5.76453,0.634431
5.79511,0.634431
5.82569,0.634963
5.85627,0.635494
5.88685,0.635494
5.91743,0.635494
5.94801,0.635494
5.97859,0.635494
6.00917,0.636026
6.03976,0.636026
6.07034,0.636026
6.10092,0.635494
6.13150,0.635494
6.16208,0.635494
6.19266,0.635494
6.22324,0.636026
6.25382,0.635494
6.28440,0.635494
6.31498,0.635494
6.34557,0.635494
6.37615,0.635494
6.40673,0.635494
6.43731,0.636026
6.46789,0.636026
6.49847,0.636026
6.52905,0.636557
6.55963,0.636557
6.59021,0.637088
6.62080,0.637088
6.65138,0.637088
6.68196,0.637088
6.71254,0.637088
6.74312,0.637088
6.77370,0.638151
6.80428,0.638151
6.83486,0.638151
6.86544,0.639745
6.89602,0.640808
6.92661,0.640808
6.95719,0.640808
6.98777,0.641339
7.01835,0.641339
7.04893,0.641339
7.07951,0.639745
7.11009,0.641339
7.14067,0.643464
7.17125,0.668969
7.20183,0.672157
7.23242,0.669501
7.26300,0.673751
7.29358,0.677471
7.32416,0.681722
7.35474,0.682784
7.38532,0.675345
7.41590,0.668969
7.44648,0.679596
7.47706,0.667906
7.50765,0.662593
7.53823,0.651966
7.56881,0.647715
7.59939,0.642933
7.62997,0.642402
7.66055,0.641339
7.69113,0.640808
7.72171,0.640276
7.75229,0.640808
7.78287,0.640808
7.81346,0.641339
7.84404,0.641339
7.87462,0.642402
7.90520,0.641339
7.93578,0.641339
7.96636,0.639214
7.99694,0.637088
8.02752,0.636557
8.05810,0.635494
8.08869,0.635494
8.11927,0.635494
8.14985,0.635494
8.18043,0.634963
8.21101,0.634963
8.24159,0.635494
8.27217,0.634963
8.30275,0.634963
8.33333,0.634963
8.36391,0.634963
8.39450,0.634431
8.42508,0.633900
8.45566,0.633900
8.48624,0.633900
8.51682,0.634431
8.54740,0.634431
8.57798,0.634431
8.60856,0.634431
8.63914,0.634963
8.66972,0.634431
8.70031,0.633900
8.73089,0.634431
8.76147,0.634431
8.79205,0.634431
8.82263,0.633900
8.85321,0.633900
8.88379,0.634431
8.91437,0.634431
8.94495,0.635494
8.97554,0.636026
9.00612,0.636557
9.03670,0.636026
9.06728,0.635494
9.09786,0.635494
9.12844,0.635494
9.15902,0.635494
9.18960,0.634963
9.22018,0.634963
9.25076,0.635494
9.28135,0.636026
9.31193,0.636557
9.34251,0.637088
9.37309,0.637620
9.40367,0.638682
9.43425,0.639745
9.46483,0.640276
9.49541,0.639745
9.52599,0.640808
9.55657,0.639214
9.58716,0.638151
9.61774,0.637088
9.64832,0.634431
9.67890,0.633900
9.70948,0.633900
9.74006,0.633900
9.77064,0.633900
9.80122,0.633900
9.83180,0.633900
9.86239,0.633900
9.89297,0.633900
9.92355,0.633900
9.95413,0.633900
9.98471,0.633900
10.01529,0.633900
10.04587,0.633900
10.07645,0.633900
10.10703,0.633900
10.13761,0.633900
10.16820,0.634431
10.19878,0.634431
10.22936,0.633900
10.25994,0.633900
10.29052,0.633900
10.32110,0.633900
10.35168,0.633900
10.38226,0.633900
10.41284,0.633900
10.44343,0.633900
10.47401,0.633900
10.50459,0.633900
10.53517,0.633900
10.56575,0.633900
10.59633,0.633900
10.62691,0.633900
10.65749,0.633900
10.68807,0.633900
10.71865,0.633900
10.74924,0.633900
10.77982,0.633900
10.81040,0.634431
10.84098,0.634963
10.87156,0.634963
10.90214,0.634963
10.93272,0.635494
10.96330,0.636026
10.99388,0.636557
11.02446,0.638151
11.05505,0.642402
11.08563,0.640808
11.11621,0.643464
11.14679,0.643464
11.17737,0.643464
11.20795,0.640808
11.23853,0.638151
11.26911,0.637620
11.29969,0.637088
11.33028,0.636557
11.36086,0.636557
11.39144,0.637620
11.42202,0.636557
11.45260,0.640808
11.48318,0.642933
11.51376,0.643464
11.54434,0.642402
11.57492,0.636557
11.60550,0.642402
11.63609,0.645590
11.66667,0.646121
11.69725,0.648247
11.72783,0.641339
11.75841,0.643996
11.78899,0.647715
11.81957,0.648247
11.85015,0.654623
11.88073,0.658874
11.91131,0.657279
11.94190,0.648247
11.97248,0.650372
12.00306,0.654091
12.03364,0.663124
12.06422,0.682253
12.09480,0.698193
12.12538,0.721041
12.15596,0.721041
12.18654,0.681190
12.21713,0.662062
12.24771,0.696599
12.27829,0.640808
12.30887,0.644527
12.33945,0.640276
12.37003,0.637620
12.40061,0.638151
12.43119,0.638151
12.46177,0.637088
12.49235,0.637620
12.52294,0.638151
12.55352,0.638682
12.58410,0.638151
12.61468,0.638151
12.64526,0.637620
12.67584,0.638151
12.70642,0.638151
12.73700,0.638682
12.76758,0.638151
12.79817,0.637620
12.82875,0.637088
12.85933,0.637088
12.88991,0.637088
12.92049,0.636557
12.95107,0.636557
12.98165,0.636026
13.01223,0.636026
13.04281,0.636026
13.07339,0.636026
13.10398,0.636026
13.13456,0.636026
13.16514,0.636026
13.19572,0.636026
13.22630,0.636026
13.25688,0.636557
13.28746,0.637088
13.31804,0.636557
13.34862,0.636026
13.37920,0.635494
13.40979,0.636026
13.44037,0.636557
13.47095,0.637088
13.50153,0.637088
13.53211,0.638151
13.56269,0.641339
13.59327,0.640276
13.62385,0.642933
13.65443,0.641870
13.68502,0.641339
13.71560,0.642402
13.74618,0.640276
13.77676,0.639745
13.80734,0.638682
13.83792,0.637620
13.86850,0.637620
13.89908,0.637088
13.92966,0.637088
13.96024,0.637088
13.99083,0.637088
14.02141,0.637088
14.05199,0.637088
14.08257,0.637620
14.11315,0.638151
14.14373,0.638682
14.17431,0.638682
14.20489,0.638151
14.23547,0.637088
14.26606,0.637088
14.29664,0.637088
14.32722,0.637088
14.35780,0.637620
14.38838,0.641339
14.41896,0.645590
14.44954,0.649841
14.48012,0.659405
14.51070,0.661530
14.54128,0.657811
14.57187,0.663656
14.60245,0.663656
14.63303,0.661530
14.66361,0.659405
14.69419,0.655685
14.72477,0.649309
14.75535,0.655154
14.78593,0.649841
14.81651,0.649309
14.84709,0.642933
14.87768,0.641339
14.90826,0.641339
14.93884,0.639745
14.96942,0.639745
15.00000,0.639745
15.03058,0.639214
15.06116,0.638151
15.09174,0.638151
15.12232,0.637088
15.15291,0.637088
15.18349,0.637088
15.21407,0.637088
15.24465,0.637620
15.27523,0.638151
15.30581,0.638151
15.33639,0.638682
15.36697,0.638682
15.39755,0.638682
15.42813,0.638682
15.45872,0.637620
15.48930,0.636557
15.51988,0.636026
15.55046,0.635494
15.58104,0.634963
15.61162,0.635494
15.64220,0.635494
15.67278,0.635494
15.70336,0.635494
15.73394,0.635494
15.76453,0.635494
15.79511,0.635494
15.82569,0.635494
15.85627,0.636026
15.88685,0.635494
15.91743,0.635494
15.94801,0.635494
15.97859,0.635494
16.00917,0.635494
16.03976,0.634963
16.07034,0.634963
16.10092,0.634963
16.13150,0.635494
16.16208,0.634963
16.19266,0.633900
16.22324,0.633900
16.25382,0.634431
