# paper: 10.1126%2Fsciadv.aaq1636
# figure: Figure S6  panel: Figure_S6_0
# technique: pxrd  material: X-pcu-3-Zn-3i
# series: X-pcu-3-Zn-3i-α  (experimental)
# x: 2θ (theta)   y: arb. units, 0 = bottom axis, 1 = top of plot box
# read by: pixels
x,y
5.06116,0.545165
5.09174,0.545165
5.12232,0.545165
5.15291,0.545165
5.18349,0.545165
5.21407,0.545165
5.24465,0.545165
5.27523,0.545165
5.30581,0.545165
5.33639,0.545165
5.36697,0.545165
5.39755,0.545165
5.42813,0.545165
5.45872,0.545165
5.48930,0.545165
5.51988,0.545165
5.55046,0.545165
5.58104,0.544633
5.61162,0.545165
5.64220,0.545165
5.67278,0.545165
5.70336,0.545696
5.73394,0.545696
5.76453,0.546227
5.79511,0.546227
5.82569,0.546227
5.85627,0.545696
5.88685,0.545696
5.91743,0.545696
5.94801,0.545696
5.97859,0.546227
6.00917,0.547290
6.03976,0.547290
6.07034,0.546759
6.10092,0.546759
6.13150,0.546759
6.16208,0.546759
6.19266,0.546759
6.22324,0.545696
6.25382,0.546227
6.28440,0.546227
6.31498,0.545696
6.34557,0.545696
6.37615,0.545696
6.40673,0.546227
6.43731,0.546227
6.46789,0.546759
6.49847,0.546759
6.52905,0.546759
6.55963,0.546759
6.59021,0.547290
6.62080,0.547821
6.65138,0.547290
6.68196,0.547821
6.71254,0.547821
6.74312,0.548884
6.77370,0.549947
6.80428,0.550478
6.83486,0.550478
6.86544,0.551010
6.89602,0.552072
6.92661,0.549947
6.95719,0.549947
6.98777,0.551010
7.01835,0.551010
7.04893,0.552604
7.07951,0.553666
7.11009,0.569075
7.14067,0.586079
7.17125,0.568013
7.20183,0.575983
7.23242,0.590329
7.26300,0.590329
7.29358,0.575452
7.32416,0.568544
7.35474,0.564825
7.38532,0.568013
7.41590,0.562699
7.44648,0.555260
7.47706,0.550478
7.50765,0.551010
7.53823,0.549416
7.56881,0.549416
7.59939,0.547821
7.62997,0.547290
7.66055,0.547290
7.69113,0.547290
7.72171,0.547821
7.75229,0.547821
7.78287,0.548353
7.81346,0.549416
7.84404,0.549416
7.87462,0.549416
7.90520,0.548353
7.93578,0.548353
7.96636,0.547290
7.99694,0.546759
8.02752,0.546759
8.05810,0.546227
8.08869,0.546227
8.11927,0.546227
8.14985,0.545696
8.18043,0.545696
8.21101,0.545696
8.24159,0.545696
8.27217,0.545696
8.30275,0.545696
8.33333,0.545165
8.36391,0.545165
8.39450,0.545165
8.42508,0.544633
8.45566,0.544633
8.48624,0.545165
8.51682,0.545165
8.54740,0.545696
8.57798,0.545696
8.60856,0.545696
8.63914,0.545696
8.66972,0.545165
8.70031,0.545165
8.73089,0.545696
8.76147,0.545696
8.79205,0.545165
8.82263,0.545165
8.85321,0.545165
8.88379,0.545165
8.91437,0.546227
8.94495,0.546759
8.97554,0.547290
9.00612,0.547290
9.03670,0.547290
9.06728,0.547290
9.09786,0.547821
9.12844,0.547290
9.15902,0.547290
9.18960,0.547290
9.22018,0.546759
9.25076,0.546759
9.28135,0.546759
9.31193,0.547290
9.34251,0.547290
9.37309,0.550478
9.40367,0.549947
9.43425,0.550478
9.46483,0.549947
9.49541,0.549947
9.52599,0.547821
9.55657,0.546759
9.58716,0.545696
9.61774,0.544633
9.64832,0.544633
9.67890,0.544633
9.70948,0.545165
9.74006,0.544633
9.77064,0.544633
9.80122,0.545696
9.83180,0.545165
9.86239,0.544633
9.89297,0.544633
9.92355,0.544633
9.95413,0.544633
9.98471,0.544633
10.01529,0.544633
10.04587,0.544633
10.07645,0.545165
10.10703,0.545165
10.13761,0.544633
10.16820,0.545165
10.19878,0.544633
10.22936,0.544633
10.25994,0.544633
10.29052,0.544633
10.32110,0.545165
10.35168,0.545165
10.38226,0.544633
10.41284,0.545165
10.44343,0.544633
10.47401,0.544633
10.50459,0.545165
10.53517,0.545165
10.56575,0.545165
10.59633,0.545165
10.62691,0.545165
10.65749,0.545165
10.68807,0.545165
10.71865,0.545165
10.74924,0.545165
10.77982,0.545696
10.81040,0.545696
10.84098,0.545696
10.87156,0.546227
10.90214,0.546227
10.93272,0.546759
10.96330,0.554198
10.99388,0.550478
11.02446,0.554198
11.05505,0.549416
11.08563,0.564825
11.11621,0.555792
11.14679,0.552072
11.17737,0.547290
11.20795,0.547821
11.23853,0.546759
11.26911,0.546759
11.29969,0.546227
11.33028,0.546227
11.36086,0.547290
11.39144,0.547290
11.42202,0.549416
11.45260,0.552072
11.48318,0.552604
11.51376,0.552072
11.54434,0.553135
11.57492,0.551541
11.60550,0.557386
11.63609,0.557386
11.66667,0.561105
11.69725,0.552604
11.72783,0.553666
11.75841,0.555260
11.78899,0.558980
11.81957,0.562699
11.85015,0.566419
11.88073,0.569607
11.91131,0.569075
11.94190,0.560574
11.97248,0.563231
12.00306,0.564293
12.03364,0.570138
12.06422,0.589267
12.09480,0.603613
12.12538,0.631775
12.15596,0.631775
12.18654,0.586079
12.21713,0.616897
12.24771,0.600956
12.27829,0.562699
12.30887,0.557386
12.33945,0.553135
12.37003,0.548884
12.40061,0.547821
12.43119,0.547821
12.46177,0.547821
12.49235,0.547821
12.52294,0.548353
12.55352,0.548353
12.58410,0.548884
12.61468,0.548884
12.64526,0.547821
12.67584,0.548353
12.70642,0.548353
12.73700,0.548353
12.76758,0.548353
12.79817,0.547821
12.82875,0.547821
12.85933,0.547821
12.88991,0.547821
12.92049,0.547290
12.95107,0.546759
12.98165,0.546759
13.01223,0.546759
13.04281,0.546759
13.07339,0.546759
13.10398,0.546759
13.13456,0.547290
13.16514,0.547290
13.19572,0.547290
13.22630,0.547290
13.25688,0.547290
13.28746,0.548884
13.31804,0.553135
13.34862,0.550478
13.37920,0.554729
13.40979,0.556854
13.44037,0.556323
13.47095,0.556323
13.50153,0.555792
13.53211,0.556323
13.56269,0.554729
13.59327,0.550478
13.62385,0.551010
13.65443,0.549947
13.68502,0.549947
13.71560,0.547821
13.74618,0.547821
13.77676,0.546759
13.80734,0.546759
13.83792,0.546759
13.86850,0.546759
13.89908,0.546759
13.92966,0.546759
13.96024,0.547821
13.99083,0.547821
14.02141,0.547821
14.05199,0.548884
14.08257,0.549416
14.11315,0.549416
14.14373,0.550478
14.17431,0.550478
14.20489,0.551010
14.23547,0.551010
14.26606,0.551010
14.29664,0.557386
14.32722,0.552072
14.35780,0.562699
14.38838,0.562699
14.41896,0.565356
14.44954,0.563762
14.48012,0.564293
14.51070,0.563762
14.54128,0.563231
14.57187,0.564825
14.60245,0.562168
14.63303,0.562699
14.66361,0.560574
14.69419,0.552072
14.72477,0.550478
14.75535,0.552072
14.78593,0.550478
14.81651,0.549416
14.84709,0.549416
14.87768,0.549416
14.90826,0.548884
14.93884,0.548353
14.96942,0.547821
15.00000,0.547821
15.03058,0.547821
15.06116,0.548353
15.09174,0.547821
15.12232,0.547290
15.15291,0.546759
15.18349,0.546759
15.21407,0.546759
15.24465,0.547290
15.27523,0.546759
15.30581,0.546759
15.33639,0.546759
15.36697,0.546759
15.39755,0.547821
15.42813,0.548353
15.45872,0.548884
15.48930,0.548353
15.51988,0.547821
15.55046,0.547290
15.58104,0.547290
15.61162,0.546759
15.64220,0.546759
15.67278,0.546227
15.70336,0.545696
15.73394,0.545696
15.76453,0.545696
15.79511,0.546759
15.82569,0.546227
15.85627,0.546227
15.88685,0.545696
15.91743,0.545696
15.94801,0.545165
15.97859,0.545165
16.00917,0.545696
16.03976,0.545696
16.07034,0.545696
16.10092,0.545696
16.13150,0.545696
16.16208,0.545696
16.19266,0.545696
16.22324,0.545696
16.25382,0.545696
16.28440,0.545696
16.31498,0.545696
16.34557,0.545165
16.37615,0.545165
16.40673,0.545165
16.43731,0.545165
16.46789,0.545165
16.49847,0.545165
16.52905,0.545165
16.55963,0.545696
16.59021,0.545696
16.62080,0.545696
16.65138,0.545165
16.68196,0.545165
16.71254,0.545165
16.74312,0.545165
16.77370,0.545165
16.80428,0.544633
16.83486,0.544633
16.86544,0.544633
16.89602,0.545165
16.92661,0.545696
16.95719,0.545165
16.98777,0.545165
17.01835,0.545165
17.04893,0.545696
17.07951,0.545696
17.11009,0.545696
17.14067,0.545165
17.17125,0.545165
17.20183,0.545165
17.23242,0.545696
17.26300,0.545696
17.29358,0.545696
17.32416,0.545696
17.35474,0.545696
17.38532,0.545165
17.41590,0.545696
17.44648,0.546227
17.47706,0.546759
17.50765,0.546759
17.53823,0.546227
17.56881,0.545696
17.59939,0.546227
17.62997,0.546759
17.66055,0.547290
17.69113,0.548353
17.72171,0.549947
17.75229,0.551010
17.78287,0.553135
17.81346,0.554198
17.84404,0.553135
17.87462,0.553666
17.90520,0.552072
17.93578,0.550478
17.96636,0.549947
17.99694,0.547290
18.02752,0.546759
18.05810,0.546759
18.08869,0.546759
18.11927,0.546759
18.14985,0.546759
18.18043,0.546759
18.21101,0.547290
18.24159,0.547290
18.27217,0.547290
18.30275,0.546759
18.33333,0.546759
18.36391,0.546759
