# paper: 10.1126%2Fsciadv.aaq1636
# figure: Figure S7  panel: Figure_S7_0
# technique: pxrd  material: X-pcu-3-Zn-3i
# series: X-pcu-3-Zn-3i-β soaked in DMF (converted to X-pcu-3-Zn-3i-α)  (experimental)
# x: 2θ (theta)   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
5.24086,0.787908
5.26578,0.788388
5.29070,0.788868
5.31561,0.789347
5.34053,0.789347
5.36545,0.789347
5.39037,0.789347
5.41528,0.789347
5.44020,0.789827
5.46512,0.790307
5.49003,0.790787
5.51495,0.791747
5.53987,0.792706
5.56478,0.796065
5.58970,0.803743
5.61462,0.804702
5.63953,0.809501
5.66445,0.814299
5.68937,0.818138
5.71429,0.831574
5.73920,0.854607
5.76412,0.868042
5.78904,0.831574
5.81395,0.900672
5.83887,0.901631
5.86379,0.900672
5.88870,0.831574
5.91362,0.899712
5.93854,0.892994
5.96346,0.792706
5.98837,0.791267
6.01329,0.789347
6.03821,0.788868
6.06312,0.788868
6.08804,0.785988
6.11296,0.792706
6.13787,0.789827
6.16279,0.789827
6.18771,0.789347
6.21262,0.789347
6.23754,0.789827
6.26246,0.790307
6.28738,0.790787
6.31229,0.790787
6.33721,0.791267
6.36213,0.790307
6.38704,0.791747
6.41196,0.792706
6.43688,0.794146
6.46179,0.796545
6.48671,0.797505
6.51163,0.801823
6.53654,0.805662
6.56146,0.810461
6.58638,0.814299
6.61130,0.820058
6.63621,0.828695
6.66113,0.841171
6.68605,0.853647
6.71096,0.828215
6.73588,0.882438
6.76080,0.883397
6.78571,0.883397
6.81063,0.830614
6.83555,0.826296
6.86047,0.881478
6.88538,0.793186
6.91030,0.790787
6.93522,0.791267
6.96013,0.790307
6.98505,0.790307
7.00997,0.790307
7.03488,0.790307
7.05980,0.789827
7.08472,0.789347
7.10963,0.786948
7.13455,0.793186
7.15947,0.787908
7.18439,0.791747
7.20930,0.792226
7.23422,0.792226
7.25914,0.793186
7.28405,0.794146
7.30897,0.794626
7.33389,0.795106
7.35880,0.796545
7.38372,0.797025
7.40864,0.797505
7.43355,0.799904
7.45847,0.801823
7.48339,0.803743
7.50831,0.807582
7.53322,0.810461
7.55814,0.821017
7.58306,0.822937
7.60797,0.829655
7.63289,0.847889
7.65781,0.854607
7.68272,0.879559
7.70764,0.843090
7.73256,0.855086
7.75748,0.867562
7.78239,0.894914
7.80731,0.894914
7.83223,0.835413
7.85714,0.843570
7.88206,0.853647
7.90698,0.866603
7.93189,0.947697
7.95681,0.955374
7.98173,0.957294
8.00664,0.957294
8.03156,0.957294
8.05648,0.869482
8.08140,0.956334
8.10631,0.954415
8.13123,0.893954
8.15615,0.798464
8.18106,0.796545
8.20598,0.795106
8.23090,0.794626
8.25581,0.794626
8.28073,0.794626
8.30565,0.795106
8.33056,0.795585
8.35548,0.799904
8.38040,0.793666
8.40532,0.798944
8.43023,0.797505
8.45515,0.796545
8.48007,0.795106
8.50498,0.793666
8.52990,0.792226
8.55482,0.791747
8.57973,0.790787
8.60465,0.789827
8.62957,0.789827
8.65449,0.789827
8.67940,0.789827
8.70432,0.789347
8.72924,0.788868
8.75415,0.788388
8.77907,0.787908
8.80399,0.787908
8.82890,0.788388
8.85382,0.788868
8.87874,0.788868
8.90365,0.789347
8.92857,0.789347
8.95349,0.788388
8.97841,0.788388
9.00332,0.788388
9.02824,0.788388
9.05316,0.790307
9.07807,0.790307
9.10299,0.788868
9.12791,0.789347
9.15282,0.789347
9.17774,0.789347
9.20266,0.788868
9.22757,0.790307
9.25249,0.789347
9.27741,0.786948
9.30233,0.787428
9.32724,0.787428
9.35216,0.787428
9.37708,0.787428
9.40199,0.786948
9.42691,0.786948
9.45183,0.785988
9.47674,0.785988
9.50166,0.785988
9.52658,0.785509
9.55150,0.785988
9.57641,0.786948
9.60133,0.787428
