# paper: 10.1126%2Fsciadv.aaq1636
# figure: Figure S7  panel: Figure_S7_0
# technique: pxrd  material: X-pcu-3-Zn-3i
# series: X-pcu-3-Zn-3i (unlabeled additional pattern)  (unknown)
# x: 2θ (theta)   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
5.56478,0.220250
5.75581,0.028471
5.83887,0.031478
5.88455,0.035829
5.92193,0.040627
5.93023,0.029431
5.94684,0.055982
5.96346,0.070058
5.96761,0.033269
5.98837,0.069578
6.00332,0.037620
6.01329,0.052303
6.02159,0.140435
6.03821,0.053263
6.06312,0.053263
6.08804,0.070058
6.11296,0.075816
6.12126,0.057262
6.13787,0.120921
6.14618,0.041907
6.16279,0.121401
6.17110,0.036148
6.20432,0.076136
6.22647,0.044892
6.25831,0.039987
6.27907,0.036788
6.30399,0.028151
6.49502,0.028151
6.53239,0.035349
6.59468,0.045425
6.61130,0.052063
6.64452,0.075176
6.65282,0.038068
6.66944,0.110685
6.67774,0.040947
6.68605,0.154750
6.71096,0.069578
6.72757,0.063020
6.73588,0.069578
6.76080,0.080614
6.78571,0.096449
6.81063,0.077255
6.83555,0.077735
6.85216,0.214331
6.88538,0.150912
6.90199,0.117402
6.92691,0.068458
6.96013,0.053023
6.96844,0.031990
6.97674,0.046385
7.00166,0.039667
7.03904,0.035349
7.08887,0.026711
7.16777,0.029910
7.20100,0.025272
7.33389,0.028311
7.45847,0.029750
7.48339,0.029271
7.50831,0.029271
7.53322,0.029271
7.55814,0.029271
7.58306,0.029750
7.60797,0.030710
7.63289,0.030230
7.64120,0.026232
7.69103,0.032949
7.73256,0.036708
7.76578,0.041587
7.77409,0.031350
7.79070,0.051184
7.80731,0.061660
7.86545,0.132758
7.88206,0.043906
7.89867,0.049584
7.93189,0.094530
7.95681,0.094050
7.98173,0.103647
7.99003,0.169226
8.01772,0.190766
8.03987,0.124440
8.06478,0.114843
8.08140,0.088292
8.10631,0.088772
8.11462,0.061100
8.13953,0.048624
8.15615,0.043906
8.17110,0.114971
8.18937,0.037108
8.21429,0.034229
8.23090,0.053023
8.24751,0.049264
8.33264,0.035269
8.49668,0.025272
8.50498,0.029750
8.68771,0.030070
8.74419,0.034357
8.82475,0.029910
8.88704,0.028471
8.92546,0.035749
8.97010,0.030070
8.99502,0.023353
9.03654,0.027511
9.10922,0.026871
9.36640,0.028242
9.46429,0.035029
9.50789,0.026871
9.55150,0.030230
9.57641,0.029750
9.60133,0.028311
9.62625,0.026871
9.65116,0.026871
10.00831,0.022393
10.08721,0.026871
10.27132,0.029111
10.34053,0.023353
10.39511,0.027557
10.46927,0.023832
10.47342,0.029750
10.49834,0.029750
10.52326,0.029750
10.54817,0.029750
10.57309,0.028791
10.59801,0.028791
10.62292,0.028311
10.64784,0.028791
10.65615,0.031030
10.69767,0.025912
10.77243,0.027831
10.78281,0.036788
10.79734,0.026392
10.82226,0.024952
10.84718,0.023992
10.87209,0.023512
10.90532,0.027511
11.06312,0.027511
11.07973,0.023353
11.17110,0.024952
11.18889,0.034001
11.19601,0.025912
11.22093,0.026871
11.24585,0.028311
11.27076,0.029271
11.28738,0.032310
11.29568,0.039347
11.32060,0.041267
11.34551,0.042226
11.34801,0.068234
11.37043,0.031670
11.39535,0.031190
11.41196,0.062700
11.42027,0.029271
11.43688,0.049264
11.44518,0.028791
