# paper: 10.1126%2Fsciadv.aaq1636
# figure: Figure S7  panel: Figure_S7_0
# technique: pxrd  material: X-pcu-3-Zn-3i
# series: X-pcu-3-Zn-3i-α  (experimental)
# x: 2θ (theta)   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
5.29070,0.026871
5.31561,0.026871
5.34053,0.026871
5.36545,0.026871
5.39037,0.026871
5.41528,0.026871
5.44020,0.026871
5.46512,0.026871
5.49003,0.026871
5.51495,0.026871
5.53987,0.026871
5.56478,0.026871
5.58970,0.026871
5.61462,0.026871
5.63953,0.026871
5.66445,0.026871
5.68937,0.026871
5.71429,0.026871
5.73920,0.026871
5.76412,0.026871
5.78904,0.026871
5.81395,0.027351
5.83887,0.029271
5.86379,0.032150
5.88870,0.035029
5.91362,0.044626
5.93854,0.059021
5.96346,0.073417
5.98837,0.122361
6.01329,0.143474
6.03821,0.144434
6.06312,0.144434
6.08804,0.144434
6.11296,0.144434
6.13787,0.144434
6.16279,0.142514
6.18771,0.106046
6.21262,0.090691
6.23754,0.054223
6.26246,0.037908
6.28738,0.035988
6.31229,0.030230
6.33721,0.029271
6.36213,0.028311
6.38704,0.028311
6.41196,0.028311
6.43688,0.028311
6.46179,0.029271
6.48671,0.030230
6.51163,0.032150
6.53654,0.034069
6.56146,0.038868
6.58638,0.048464
6.61130,0.059021
6.63621,0.083973
6.66113,0.151152
6.68605,0.190499
6.71096,0.242322
6.73588,0.244242
6.76080,0.255758
6.78571,0.270154
6.81063,0.278791
6.83555,0.284549
6.86047,0.297985
6.88538,0.300864
6.91030,0.307582
6.93522,0.309501
6.96013,0.309501
6.98505,0.309501
7.00997,0.309501
7.03488,0.307582
7.05980,0.303743
7.08472,0.291267
7.10963,0.274952
7.13455,0.260557
7.15947,0.243282
7.18439,0.231766
7.20930,0.227927
7.23422,0.220250
7.25914,0.220250
7.28405,0.220250
7.30897,0.221209
7.33389,0.222169
7.35880,0.224088
7.38372,0.225048
7.40864,0.226967
7.43355,0.230806
7.45847,0.231766
7.48339,0.233685
7.50831,0.243282
7.53322,0.248081
7.55814,0.259597
7.58306,0.263436
7.60797,0.270154
7.63289,0.286468
7.65781,0.294146
7.68272,0.303743
7.70764,0.312380
7.73256,0.313340
7.75748,0.314299
7.78239,0.314299
7.80731,0.314299
7.83223,0.313340
7.85714,0.308541
7.88206,0.295106
7.90698,0.285509
7.93189,0.260557
7.95681,0.244242
7.98173,0.238484
8.00664,0.229846
8.03156,0.228887
8.05648,0.226008
8.08140,0.223129
8.10631,0.222169
8.13123,0.217370
8.15615,0.215451
8.18106,0.214491
8.20598,0.212572
8.23090,0.212572
8.25581,0.212572
8.28073,0.212572
8.30565,0.212572
8.33056,0.212572
8.35548,0.212572
8.38040,0.212572
8.40532,0.213532
8.43023,0.213532
8.45515,0.213532
8.48007,0.213532
8.50498,0.213532
8.52990,0.213532
8.55482,0.213532
8.57973,0.213532
8.60465,0.213532
8.62957,0.213532
8.65449,0.212572
8.67940,0.212572
8.70432,0.212572
8.72924,0.211612
8.75415,0.211612
8.77907,0.211612
8.80399,0.211612
8.82890,0.211612
8.85382,0.212572
8.87874,0.212572
8.90365,0.213532
8.92857,0.213532
8.95349,0.214491
8.97841,0.214491
9.00332,0.214491
9.02824,0.214491
9.05316,0.214491
9.07807,0.214491
9.10299,0.213532
9.12791,0.213532
9.15282,0.213532
9.17774,0.212572
9.20266,0.212572
9.22757,0.211612
9.25249,0.209693
9.27741,0.209693
9.30233,0.209693
9.32724,0.209693
9.35216,0.209693
9.37708,0.209693
9.40199,0.209693
9.42691,0.209693
9.45183,0.211612
9.47674,0.211612
9.50166,0.210653
9.52658,0.210653
9.55150,0.210653
9.57641,0.209693
9.60133,0.210653
9.62625,0.210653
9.65116,0.210653
9.67608,0.211612
9.70100,0.211612
9.72591,0.212572
9.75083,0.214491
9.77575,0.215451
9.80066,0.215451
9.82558,0.217370
9.85050,0.217370
