# paper: 10.1126%2Fsciadv.aaq1636
# figure: Figure S8  panel: Figure_S8_0
# technique: pxrd  material: X-pcu-3-Zn-3i-γ
# series: X-pcu-3-Zn-3i-γ  (unknown)
# x: 2θ (theta)   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
5.10638,0.031879
5.13540,0.031879
5.16441,0.031879
5.19342,0.031879
5.22244,0.275168
5.25145,0.035794
5.28046,0.032438
5.30948,0.031879
5.33849,0.034116
5.36750,0.034116
5.39652,0.034116
5.42553,0.034116
5.45455,0.034116
5.48356,0.033557
5.51257,0.034116
5.54159,0.034116
5.57060,0.034116
5.59961,0.034116
5.62863,0.034116
5.65764,0.033557
5.68665,0.032998
5.71567,0.267897
5.74468,0.267338
5.77369,0.266779
5.80271,0.267338
5.83172,0.267338
5.86074,0.275168
5.88975,0.275168
5.91876,0.275168
5.94778,0.275727
5.97679,0.275727
6.00580,0.275168
6.03482,0.271812
6.06383,0.272371
6.09284,0.272371
6.12186,0.035794
6.15087,0.035794
6.17988,0.035235
6.20890,0.035235
6.23791,0.034676
6.26692,0.034116
6.29594,0.034116
6.32495,0.034676
6.35397,0.032998
6.38298,0.279083
6.41199,0.284676
6.44101,0.281320
6.47002,0.284116
6.49903,0.281879
6.52805,0.283557
6.55706,0.298098
6.58607,0.298658
6.61509,0.289150
6.64410,0.045861
6.67311,0.048658
6.70213,0.051454
6.73114,0.054810
6.76015,0.064877
6.78917,0.081096
6.81818,0.049217
6.84720,0.050336
6.87621,0.098993
6.90522,0.100671
6.93424,0.079978
6.96325,0.109060
6.99226,0.112416
7.02128,0.111857
7.05029,0.114094
7.07930,0.100671
7.10832,0.074944
7.13733,0.068233
7.16634,0.056488
7.19536,0.051454
7.22437,0.047539
7.25338,0.046980
7.28240,0.050895
7.31141,0.050895
7.34043,0.052573
7.36944,0.051454
7.39845,0.049776
7.42747,0.049217
7.45648,0.049217
7.48549,0.050336
7.51451,0.052013
7.54352,0.085011
7.57253,0.074944
7.60155,0.079978
7.63056,0.093960
7.65957,0.115213
7.68859,0.059284
7.71760,0.057047
7.74662,0.054810
7.77563,0.054251
7.80464,0.054251
7.83366,0.050895
7.86267,0.050895
7.89168,0.051454
7.92070,0.277405
7.94971,0.039709
7.97872,0.038591
8.00774,0.036913
8.03675,0.038031
8.06576,0.035794
8.09478,0.037472
8.12379,0.034116
8.21083,0.279083
8.23985,0.278523
8.26886,0.278523
8.35590,0.035235
8.38491,0.035235
8.41393,0.035235
8.44294,0.031879
8.47195,0.032438
8.50097,0.032998
8.52998,0.032998
8.55899,0.032998
8.58801,0.032998
8.61702,0.032998
8.64603,0.032998
8.67505,0.032438
8.70406,0.032438
8.73308,0.032438
8.76209,0.032438
8.79110,0.032438
8.82012,0.032998
8.84913,0.032438
8.87814,0.032438
8.90716,0.032998
8.93617,0.033557
8.96518,0.034116
8.99420,0.034116
9.02321,0.034116
9.05222,0.034116
9.08124,0.034116
9.11025,0.034116
9.13926,0.034116
9.16828,0.030761
9.19729,0.030761
9.22631,0.030761
9.25532,0.030761
9.28433,0.030761
9.31335,0.030761
9.34236,0.030761
9.37137,0.030761
9.40039,0.030761
9.42940,0.030761
9.45841,0.031320
9.48743,0.031879
9.51644,0.031879
9.54545,0.031879
9.57447,0.031879
9.60348,0.031879
9.63250,0.031879
9.66151,0.031879
9.69052,0.031879
9.71954,0.031879
9.74855,0.031879
9.77756,0.031879
9.80658,0.031879
9.83559,0.031879
9.86460,0.031879
9.89362,0.031879
9.92263,0.031879
9.95164,0.031879
9.98066,0.031879
10.00967,0.031879
10.03868,0.031879
10.06770,0.031879
10.09671,0.031879
10.12573,0.031879
10.15474,0.031879
10.18375,0.031879
10.21277,0.031879
10.24178,0.031879
10.27079,0.031879
10.29981,0.031879
10.32882,0.031879
10.35783,0.031879
10.38685,0.031879
10.41586,0.031879
10.44487,0.031879
10.47389,0.031879
10.50290,0.031879
10.53191,0.031320
10.58994,0.261745
10.61896,0.261745
10.64797,0.261745
10.67698,0.261186
10.70600,0.260626
10.73501,0.260626
10.76402,0.261186
10.90909,0.034116
10.93810,0.034116
10.96712,0.034116
10.99613,0.034116
11.02515,0.034116
11.05416,0.034116
11.08317,0.034116
11.11219,0.034116
11.14120,0.034116
11.17021,0.034116
11.19923,0.034116
11.22824,0.034116
11.25725,0.033557
11.28627,0.032998
11.31528,0.032438
11.34429,0.032438
11.37331,0.032438
11.40232,0.032438
11.43133,0.032438
11.46035,0.032438
11.48936,0.032438
11.51838,0.032438
11.54739,0.032438
11.57640,0.032438
11.60542,0.032438
11.63443,0.032438
11.66344,0.032438
11.69246,0.032438
11.72147,0.032438
11.75048,0.032438
11.77950,0.032438
11.80851,0.032438
11.83752,0.032438
11.86654,0.032438
11.89555,0.032998
11.92456,0.032998
11.95358,0.034116
11.98259,0.034676
12.01161,0.035235
12.04062,0.034676
12.06963,0.034676
12.09865,0.034116
12.12766,0.034676
12.15667,0.034676
12.18569,0.043065
12.21470,0.042506
12.24371,0.065996
12.27273,0.067673
12.30174,0.067673
12.33075,0.043624
12.35977,0.043624
12.38878,0.045861
12.41779,0.048098
12.44681,0.048098
12.47582,0.035794
12.50484,0.036913
12.53385,0.040268
12.56286,0.040828
12.59188,0.038031
12.62089,0.035794
12.64990,0.035794
12.67892,0.034116
12.70793,0.296421
12.73694,0.042506
12.76596,0.042506
12.79497,0.041387
12.82398,0.042506
12.85300,0.057606
12.88201,0.058725
12.91103,0.040268
12.94004,0.040828
12.96905,0.033557
12.99807,0.036913
13.02708,0.034676
13.05609,0.034116
13.08511,0.034676
13.11412,0.035235
13.14313,0.034676
13.17215,0.036913
13.20116,0.266779
13.23017,0.266779
13.25919,0.270134
13.28820,0.269016
13.31721,0.268456
13.34623,0.267897
13.37524,0.264541
13.40426,0.263982
13.43327,0.263982
13.46228,0.263982
13.49130,0.264541
13.52031,0.268456
13.54932,0.036353
13.57834,0.035235
13.60735,0.036913
13.63636,0.036353
13.66538,0.036353
13.69439,0.036353
13.72340,0.278523
13.75242,0.279642
13.78143,0.043624
13.81044,0.045302
13.83946,0.045302
13.86847,0.045302
13.89749,0.043624
13.92650,0.042506
13.95551,0.041946
13.98453,0.041946
14.01354,0.039150
14.04255,0.039150
14.07157,0.038591
14.10058,0.038591
14.12959,0.039709
14.15861,0.287472
14.18762,0.041387
14.21663,0.043624
14.24565,0.043065
14.27466,0.043065
14.30368,0.040828
14.33269,0.040268
14.36170,0.040268
14.39072,0.063758
14.41973,0.046421
14.44874,0.047539
14.47776,0.043624
14.50677,0.040828
14.53578,0.039709
14.56480,0.038591
14.59381,0.038031
14.62282,0.038031
14.65184,0.071588
14.68085,0.071588
14.70986,0.040828
14.73888,0.041387
14.76789,0.042506
14.79691,0.042506
14.82592,0.043065
14.85493,0.043065
14.88395,0.296421
14.91296,0.281879
14.94197,0.032998
14.97099,0.034676
15.00000,0.034676
15.02901,0.034676
15.05803,0.034676
15.08704,0.035235
15.11605,0.037472
15.14507,0.038591
15.17408,0.039150
15.20309,0.039709
15.23211,0.040268
15.26112,0.041946
15.29014,0.041946
15.31915,0.069351
15.34816,0.068233
15.37718,0.046980
15.40619,0.033557
15.43520,0.032998
15.46422,0.033557
15.49323,0.034116
15.52224,0.032998
15.55126,0.032998
15.58027,0.033557
15.60928,0.032998
15.63830,0.032998
15.66731,0.032998
15.69632,0.032998
15.72534,0.032998
15.75435,0.032998
15.78337,0.032438
15.81238,0.032438
15.84139,0.032438
15.87041,0.032438
15.89942,0.032438
15.92843,0.032438
15.95745,0.032438
15.98646,0.032438
16.01547,0.032438
16.04449,0.032998
16.07350,0.032998
16.10251,0.032438
16.13153,0.032438
16.16054,0.032438
16.18956,0.032438
16.21857,0.032998
16.24758,0.032998
16.30561,0.267897
16.33462,0.268456
16.36364,0.266779
16.39265,0.263982
16.42166,0.263982
16.45068,0.032438
16.47969,0.032438
16.50870,0.031879
16.53772,0.031879
16.56673,0.031879
16.59574,0.279083
16.62476,0.045861
16.65377,0.041387
16.68279,0.040828
16.71180,0.050336
16.74081,0.051454
16.76983,0.035794
16.79884,0.034676
16.82785,0.034116
16.85687,0.033557
16.88588,0.034116
16.91489,0.034676
16.94391,0.283557
16.97292,0.271812
17.00193,0.269575
17.03095,0.032998
17.05996,0.032998
17.08897,0.032998
17.11799,0.032998
17.14700,0.032998
17.17602,0.032438
17.20503,0.032438
17.23404,0.032438
17.26306,0.032438
17.29207,0.032438
17.32108,0.032998
17.35010,0.032998
17.37911,0.032998
17.40812,0.032998
17.43714,0.268456
17.46615,0.269016
17.49516,0.269575
17.52418,0.037472
17.55319,0.035794
17.58221,0.036353
17.61122,0.035794
17.64023,0.033557
17.66925,0.035235
17.69826,0.034676
17.72727,0.034676
17.75629,0.034676
17.78530,0.269575
17.81431,0.270694
17.84333,0.280201
17.87234,0.271812
17.90135,0.265101
17.93037,0.264541
17.95938,0.264541
17.98839,0.265101
18.01741,0.261745
18.04642,0.261745
18.07544,0.261745
18.10445,0.262304
18.13346,0.263423
18.16248,0.263423
18.19149,0.263423
18.22050,0.263423
18.24952,0.263982
18.27853,0.263982
18.30754,0.263423
18.33656,0.264541
18.36557,0.266219
18.39458,0.038031
18.42360,0.036353
18.45261,0.036353
18.48162,0.035794
18.51064,0.035794
18.53965,0.036353
18.56867,0.035235
18.59768,0.036353
18.62669,0.040268
18.65571,0.038591
18.68472,0.037472
18.71373,0.035794
18.74275,0.033557
18.77176,0.030761
18.80077,0.031320
18.82979,0.031320
18.85880,0.030201
18.88781,0.270134
18.91683,0.267897
18.94584,0.268456
18.97485,0.269575
19.00387,0.269575
19.03288,0.269016
19.06190,0.268456
19.09091,0.270694
19.11992,0.271812
19.14894,0.276846
19.17795,0.277405
19.20696,0.277405
19.23598,0.279083
19.26499,0.299217
19.29400,0.316555
19.32302,0.045861
19.35203,0.045302
19.38104,0.043624
19.41006,0.043624
19.43907,0.044183
19.46809,0.044183
19.49710,0.044743
19.52611,0.044743
19.55513,0.038031
19.58414,0.037472
19.61315,0.045302
19.64217,0.040828
19.67118,0.040828
19.70019,0.041387
19.72921,0.326063
19.75822,0.034676
19.78723,0.032998
19.81625,0.032998
19.84526,0.295861
19.87427,0.040268
19.90329,0.039709
