# paper: 10.1126%2Fsciadv.aaq1636
# figure: Figure S8  panel: Figure_S8_0
# technique: pxrd  material: X-pcu-3-Zn-3i-γ
# series: X-pcu-3-Zn-3i-γ  (unknown)
# x: 2θ (theta)   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
6.81818,0.171141
6.84720,0.341163
6.87621,0.340604
6.90522,0.339485
6.93424,0.326622
6.96325,0.354586
6.99226,0.355145
7.02128,0.355705
7.05029,0.344519
7.07930,0.247204
7.10832,0.186801
7.13733,0.129754
7.16634,0.098993
7.19536,0.090045
7.22437,0.090045
7.25338,0.088926
7.28240,0.085570
7.31141,0.335011
7.34043,0.046980
7.36944,0.054810
7.39845,0.347875
7.42747,0.059284
7.45648,0.101230
7.48549,0.152685
7.51451,0.177852
7.54352,0.331655
7.57253,0.333333
7.60155,0.333333
7.63056,0.344519
7.65957,0.422260
7.68859,0.421700
7.71760,0.344519
7.74662,0.256711
7.77563,0.177852
7.80464,0.115772
7.83366,0.075503
11.98259,0.034676
12.18569,0.055928
12.21470,0.054251
12.24371,0.063758
12.27273,0.063758
12.30174,0.063758
12.33075,0.064318
12.35977,0.064877
12.38878,0.062081
12.41779,0.062081
12.44681,0.062081
12.47582,0.042506
12.50484,0.042506
12.76596,0.048658
12.79497,0.050336
12.82398,0.050336
12.85300,0.054810
12.88201,0.057047
12.91103,0.057047
12.94004,0.054810
12.96905,0.054810
12.99807,0.054810
13.02708,0.048098
13.81044,0.049217
13.83946,0.060403
13.86847,0.060403
13.89749,0.063199
13.92650,0.063758
13.95551,0.062081
13.98453,0.061521
14.01354,0.061521
14.04255,0.059284
14.07157,0.052013
14.10058,0.300336
14.12959,0.300895
14.24565,0.051454
14.27466,0.054810
14.30368,0.053132
14.33269,0.059843
14.36170,0.061521
14.39072,0.062640
14.41973,0.062640
14.44874,0.062640
14.47776,0.055369
14.50677,0.054251
14.53578,0.048658
14.56480,0.049776
14.59381,0.068792
14.62282,0.348993
14.65184,0.348993
14.68085,0.068792
14.70986,0.067114
14.73888,0.064877
14.76789,0.065436
14.79691,0.064877
14.82592,0.048658
14.85493,0.328859
15.17408,0.049776
15.20309,0.064318
15.23211,0.064877
15.26112,0.064877
15.29014,0.067114
15.31915,0.065996
15.34816,0.064318
15.37718,0.064318
15.40619,0.064318
15.43520,0.051454
16.62476,0.043624
16.65377,0.048098
16.68279,0.048098
16.71180,0.044743
16.74081,0.047539
16.76983,0.047539
16.79884,0.043065
18.01741,0.267338
18.04642,0.267897
18.07544,0.268456
18.42360,0.039150
18.45261,0.041946
18.48162,0.040268
18.51064,0.039709
18.53965,0.038031
18.56867,0.038031
18.59768,0.040268
18.62669,0.041387
18.65571,0.275727
19.29400,0.048658
19.32302,0.064877
19.35203,0.082215
19.38104,0.106264
19.41006,0.106264
19.43907,0.106264
19.46809,0.106264
19.49710,0.096756
19.52611,0.105145
19.55513,0.105145
19.58414,0.074944
19.61315,0.057606
20.83172,0.032998
20.86074,0.032998
20.88975,0.034676
20.91876,0.034116
20.94778,0.034116
20.97679,0.033557
21.00580,0.032998
21.03482,0.034676
21.06383,0.034116
21.58607,0.033557
21.61509,0.032998
21.64410,0.032438
23.93617,0.035794
23.96518,0.036353
23.99420,0.037472
24.02321,0.036913
24.28433,0.284116
24.31335,0.284676
25.85106,0.041387
25.88008,0.040268
25.90909,0.039709
25.93810,0.038031
25.96712,0.036353
25.99613,0.038591
26.02515,0.039709
26.05416,0.040828
26.08317,0.039150
26.11219,0.039150
26.14120,0.038031
26.17021,0.036353
26.19923,0.036353
26.22824,0.038031
26.34429,0.298658
26.37331,0.298098
26.40232,0.298658
26.43133,0.039150
26.46035,0.044743
26.48936,0.044743
26.51838,0.043065
26.54739,0.043065
26.57640,0.043065
26.60542,0.043624
32.55319,0.034676
32.58221,0.035235
34.46809,0.035794
34.49710,0.035235
34.52611,0.033557
34.55513,0.032998
34.58414,0.032998
34.61315,0.032438
36.20890,0.034676
36.23791,0.035794
36.26692,0.035794
39.37137,0.032998
39.40039,0.031879
39.42940,0.032438
