# paper: 10.1126%2Fsciadv.aaq1636
# figure: Figure S8  panel: Figure_S8_0
# technique: pxrd  material: X-pcu-3-Zn-3i-γ
# series: X-pcu-3-Zn-3i-γ  (experimental)
# x: 2θ (theta)   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
6.31860,0.279083
6.49359,0.288171
6.71541,0.314962
6.89877,0.351708
6.96061,0.312640
6.98081,0.284558
7.11570,0.089201
7.65104,0.178089
7.67698,0.340716
12.13854,0.297679
12.32034,0.056445
12.42418,0.331555
12.47220,0.039290
12.90507,0.050307
13.04340,0.321818
13.07682,0.301534
13.17795,0.270470
13.42521,0.267959
13.82616,0.287317
13.93252,0.055359
14.31354,0.294989
14.37671,0.056738
14.38544,0.315335
14.38825,0.335261
14.68375,0.060347
15.05020,0.275860
15.27157,0.297584
15.30689,0.057031
15.42202,0.316063
16.51203,0.268511
16.86930,0.314733
17.01161,0.281506
17.02128,0.275690
17.37806,0.265191
17.87400,0.276989
18.05170,0.266016
18.66372,0.280039
19.45330,0.086313
19.65163,0.554939
19.92608,0.276100
20.31500,0.267817
20.89239,0.268375
21.71703,0.279158
23.21383,0.275997
23.66202,0.265101
24.00614,0.277800
24.18158,0.287006
24.33120,0.269747
24.62799,0.264869
25.96712,0.040890
26.21451,0.292680
26.32785,0.303244
26.47002,0.042356
26.59750,0.323342
26.92819,0.260487
27.64642,0.269687
28.06015,0.263994
28.57710,0.261079
29.24746,0.260766
29.67102,0.267410
30.16864,0.260976
30.55756,0.274438
30.88201,0.283445
31.04512,0.295813
32.93177,0.262052
33.25242,0.265996
34.25708,0.259813
35.41401,0.260519
35.88975,0.261465
36.36351,0.274402
36.70324,0.265746
37.07608,0.272392
37.72165,0.263852
38.11219,0.261879
39.49941,0.265806
