# paper: 10.1126%2Fsciadv.aaq1636
# figure: Figure S8  panel: Figure_S8_0
# technique: pxrd  material: X-pcu-3-Zn-3i-γ
# series: X-pcu-3-Zn-3i-γ  (experimental)
# x: 2θ (theta)   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
15.52224,0.327181
15.55126,0.326063
15.58027,0.322707
15.60928,0.301454
15.63830,0.288031
15.66731,0.274609
15.69632,0.266779
15.72534,0.265660
15.75435,0.265660
15.78337,0.265660
15.81238,0.265660
15.84139,0.265660
15.87041,0.265660
15.89942,0.265660
15.92843,0.264541
15.95745,0.264541
15.98646,0.264541
16.01547,0.264541
16.04449,0.264541
16.07350,0.264541
16.10251,0.265660
16.13153,0.265660
16.16054,0.265660
16.18956,0.265660
16.21857,0.265660
16.24758,0.265660
16.27660,0.265660
16.30561,0.265660
16.33462,0.266779
16.36364,0.266779
16.39265,0.266779
16.42166,0.267897
16.45068,0.267897
16.47969,0.267897
16.50870,0.269016
16.53772,0.272371
16.56673,0.277964
16.59574,0.280201
16.62476,0.285794
16.65377,0.288031
16.68279,0.295861
16.71180,0.304810
16.74081,0.307047
16.76983,0.313758
16.79884,0.317114
16.82785,0.318233
16.85687,0.319351
16.88588,0.319351
16.91489,0.319351
16.94391,0.317114
16.97292,0.315996
17.00193,0.312640
17.03095,0.307047
17.05996,0.293624
17.08897,0.280201
17.11799,0.275727
17.14700,0.267897
17.17602,0.265660
17.20503,0.265660
17.23404,0.265660
17.26306,0.265660
17.29207,0.265660
17.32108,0.264541
17.35010,0.265660
17.37911,0.265660
17.40812,0.265660
17.43714,0.265660
17.46615,0.266779
17.49516,0.266779
17.52418,0.266779
17.55319,0.266779
17.58221,0.266779
17.61122,0.267897
17.64023,0.269016
17.66925,0.270134
17.69826,0.272371
17.72727,0.273490
17.75629,0.274609
17.78530,0.275727
17.81431,0.276846
17.84333,0.277964
17.87234,0.277964
17.90135,0.277964
17.93037,0.276846
17.95938,0.275727
17.98839,0.272371
18.01741,0.267897
18.04642,0.265660
18.07544,0.264541
18.10445,0.263423
18.13346,0.263423
18.16248,0.263423
18.19149,0.263423
18.22050,0.263423
18.24952,0.264541
18.27853,0.264541
18.30754,0.263423
18.33656,0.264541
18.36557,0.264541
18.39458,0.265660
18.42360,0.265660
18.45261,0.270134
18.48162,0.271253
18.51064,0.272371
18.53965,0.280201
18.56867,0.282438
18.59768,0.286913
18.62669,0.286913
18.65571,0.288031
18.68472,0.288031
18.71373,0.286913
18.74275,0.285794
18.77176,0.281320
