# paper: 10.1126%2Fsciadv.aaq1636
# figure: Figure S9  panel: Figure_S9_0
# technique: pxrd  material: X-pcu-3-Zn-3i
# series: X-pcu-3-Zn-3i-α  (calculated)
# x: 2θ (theta)   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
5.49419,0.841573
5.52326,0.841573
5.55233,0.841573
5.58140,0.841573
5.61047,0.841573
5.63953,0.841573
5.66860,0.841573
5.69767,0.841573
5.72674,0.841573
5.75581,0.842135
5.78488,0.842135
5.81395,0.842697
5.84302,0.843258
5.87209,0.843820
5.90116,0.845506
5.93023,0.856742
5.95930,0.863483
5.98837,0.892697
6.01744,0.864607
6.04651,0.881461
6.07558,0.926404
6.10465,0.927528
6.13372,0.892697
6.16279,0.876404
6.19186,0.862921
6.22093,0.885955
6.25000,0.860112
6.27907,0.843258
6.30814,0.843820
6.33721,0.842697
6.36628,0.841573
6.39535,0.841573
6.42442,0.841573
6.45349,0.841573
6.48256,0.842697
6.51163,0.843258
6.54070,0.844382
6.56977,0.845506
6.59884,0.854494
6.62791,0.872472
6.65698,0.898315
6.68605,0.958989
6.71512,0.892135
6.74419,0.932022
6.77326,0.992697
6.80233,0.992697
6.83140,0.946629
6.86047,0.906180
6.88953,0.973596
6.91860,0.905056
6.94767,0.869101
6.97674,0.856742
7.00581,0.851124
7.03488,0.846629
7.06395,0.843258
7.09302,0.842135
7.12209,0.841573
7.15116,0.841573
7.18023,0.840449
7.20930,0.840449
7.23837,0.840449
7.26744,0.839888
7.29651,0.839888
7.32558,0.839888
7.35465,0.839888
7.38372,0.839888
7.41279,0.839888
7.44186,0.840449
7.47093,0.840449
7.50000,0.840449
7.52907,0.840449
7.55814,0.840449
7.58721,0.840449
7.61628,0.841011
7.64535,0.841573
7.67442,0.842135
7.70349,0.843258
7.73256,0.843820
7.76163,0.843820
7.79070,0.861236
7.81977,0.878090
7.84884,0.914045
7.87791,0.926404
7.90698,0.913483
7.93605,0.923596
7.96512,0.930899
7.99419,0.933146
8.02326,0.913483
8.05233,0.962360
8.08140,0.962360
8.11047,0.929775
8.13953,0.917416
8.16860,0.950000
8.19767,0.921910
8.22674,0.875843
8.25581,0.856742
8.28488,0.844944
8.31395,0.844944
8.34302,0.844382
8.37209,0.843820
8.40116,0.843258
8.43023,0.842697
8.45930,0.842135
8.48837,0.841011
8.51744,0.840449
8.54651,0.840449
8.57558,0.839888
8.60465,0.839888
8.63372,0.839888
8.66279,0.839888
8.69186,0.840449
