# paper: 10.1126%2Fsciadv.aaq1636
# figure: Figure S9  panel: Figure_S9_0
# technique: pxrd  material: X-pcu-3-Zn-3i
# series: X-pcu-3-Zn-3i-γ soaked in acetonitrile  (experimental)
# x: 2θ (theta)   y: arb. units, 0 = bottom axis, 1 = top of plot box
# read by: pixels
x,y
5.08721,0.362360
5.11628,0.362360
5.14535,0.362921
5.17442,0.362921
5.20349,0.362921
5.23256,0.362921
5.26163,0.362921
5.29070,0.362360
5.31977,0.362360
5.34884,0.362921
5.37791,0.362921
5.40698,0.362360
5.43605,0.362360
5.46512,0.362360
5.49419,0.362360
5.52326,0.362360
5.55233,0.362360
5.58140,0.362360
5.61047,0.362360
5.63953,0.362360
5.66860,0.362360
5.69767,0.362921
5.72674,0.362921
5.75581,0.362921
5.78488,0.362360
5.81395,0.361798
5.84302,0.361798
5.87209,0.362921
5.90116,0.362921
5.93023,0.362921
5.95930,0.362921
5.98837,0.362921
6.01744,0.362921
6.04651,0.362921
6.07558,0.362921
6.10465,0.362921
6.13372,0.362921
6.16279,0.363483
6.19186,0.364045
6.22093,0.364607
6.25000,0.364607
6.27907,0.364607
6.30814,0.364607
6.33721,0.365169
6.36628,0.365730
6.39535,0.366292
6.42442,0.366854
6.45349,0.367416
6.48256,0.367416
6.51163,0.367978
6.54070,0.368539
6.56977,0.369663
6.59884,0.374719
6.62791,0.379213
6.65698,0.382584
6.68605,0.384831
6.71512,0.389326
6.74419,0.396067
6.77326,0.405056
6.80233,0.415169
6.83140,0.423034
6.86047,0.434270
6.88953,0.424719
6.91860,0.432022
6.94767,0.437640
6.97674,0.437640
7.00581,0.435393
7.03488,0.428090
7.06395,0.392697
7.09302,0.389888
7.12209,0.409551
7.15116,0.390449
7.18023,0.391573
7.20930,0.388764
7.23837,0.384270
7.26744,0.387079
7.29651,0.383146
7.32558,0.383708
7.35465,0.383708
7.38372,0.385955
7.41279,0.411798
7.44186,0.429775
7.47093,0.434270
7.50000,0.424719
7.52907,0.435393
7.55814,0.441011
7.58721,0.473596
7.61628,0.473596
7.64535,0.430337
7.67442,0.471348
7.70349,0.456742
7.73256,0.365730
7.76163,0.388202
7.79070,0.367978
7.81977,0.364045
7.84884,0.364045
7.87791,0.363483
7.90698,0.363483
7.93605,0.363483
7.96512,0.363483
7.99419,0.362921
8.02326,0.362921
8.05233,0.362921
8.08140,0.362921
8.11047,0.362921
8.13953,0.362360
8.16860,0.362360
8.19767,0.361798
8.22674,0.361798
8.25581,0.361798
8.28488,0.362360
8.31395,0.361798
8.34302,0.361798
8.37209,0.361798
8.40116,0.361798
8.43023,0.361798
8.45930,0.361798
8.48837,0.361798
8.51744,0.361798
8.54651,0.361798
8.57558,0.361798
8.60465,0.361798
8.63372,0.361798
8.66279,0.361798
8.69186,0.361798
8.72093,0.361798
8.75000,0.361798
8.77907,0.361798
8.80814,0.361798
8.83721,0.360674
8.86628,0.360674
8.89535,0.360674
8.92442,0.360674
8.95349,0.360674
8.98256,0.360674
9.01163,0.360674
9.04070,0.360674
9.06977,0.361236
9.09884,0.360674
9.12791,0.360674
9.15698,0.360674
9.18605,0.361236
9.21512,0.361236
9.24419,0.360674
9.27326,0.360674
9.30233,0.360674
9.33140,0.361236
9.36047,0.361236
9.38953,0.361236
9.41860,0.361236
9.44767,0.361236
9.47674,0.360674
9.50581,0.360674
9.53488,0.360674
9.56395,0.360674
9.59302,0.360674
9.62209,0.360674
9.65116,0.360674
9.68023,0.360674
9.70930,0.360674
9.73837,0.360674
9.76744,0.360674
9.79651,0.360674
9.82558,0.360674
9.85465,0.360674
9.88372,0.360674
9.91279,0.360674
9.94186,0.360674
9.97093,0.360674
10.00000,0.360674
10.02907,0.360674
10.05814,0.360674
10.08721,0.360112
10.11628,0.360112
10.14535,0.360112
10.17442,0.360112
10.20349,0.360674
10.23256,0.360674
10.26163,0.360674
10.29070,0.360674
10.31977,0.360674
10.34884,0.360674
10.37791,0.360674
10.40698,0.360674
10.43605,0.360674
10.46512,0.360112
10.49419,0.359551
10.52326,0.359551
10.55233,0.360112
10.58140,0.360674
10.61047,0.360674
10.63953,0.360112
10.66860,0.360112
10.69767,0.360112
10.72674,0.360112
10.75581,0.360112
10.78488,0.360112
10.81395,0.359551
10.84302,0.359551
10.87209,0.359551
10.90116,0.359551
10.93023,0.359551
10.95930,0.359551
10.98837,0.359551
11.01744,0.360112
11.04651,0.359551
11.07558,0.359551
11.10465,0.359551
11.13372,0.360112
11.16279,0.360674
11.19186,0.360674
11.22093,0.360112
11.25000,0.360112
11.27907,0.359551
11.30814,0.359551
11.33721,0.359551
11.36628,0.359551
11.39535,0.359551
11.42442,0.360112
11.45349,0.360674
11.48256,0.360674
11.51163,0.360674
11.54070,0.360112
11.56977,0.360112
11.59884,0.360112
11.62791,0.360674
11.65698,0.360674
11.68605,0.360674
11.71512,0.361236
11.74419,0.361236
11.77326,0.361798
11.80233,0.362360
11.83140,0.362360
11.86047,0.362921
11.88953,0.363483
11.91860,0.364607
11.94767,0.365169
11.97674,0.366292
12.00581,0.366292
12.03488,0.375843
12.06395,0.381461
12.09302,0.385955
12.12209,0.388202
12.15116,0.387079
12.18023,0.390449
12.20930,0.389326
12.23837,0.388202
12.26744,0.388202
12.29651,0.384270
12.32558,0.391573
12.35465,0.389326
12.38372,0.385955
12.41279,0.387079
12.44186,0.369101
12.47093,0.367416
12.50000,0.368539
12.52907,0.367978
12.55814,0.366854
12.58721,0.366292
12.61628,0.366292
12.64535,0.365730
12.67442,0.367978
12.70349,0.369663
12.73256,0.373034
12.76163,0.373596
12.79070,0.376404
12.81977,0.381461
12.84884,0.382584
12.87791,0.376404
12.90698,0.374157
12.93605,0.379213
12.96512,0.362921
12.99419,0.363483
13.02326,0.361236
13.05233,0.360674
13.08140,0.360674
13.11047,0.360674
13.13953,0.360674
13.16860,0.360674
13.19767,0.360674
13.22674,0.360112
13.25581,0.359551
13.28488,0.359551
13.31395,0.359551
13.34302,0.360112
13.37209,0.360112
13.40116,0.359551
13.43023,0.359551
13.45930,0.360112
13.48837,0.360112
13.51744,0.360112
13.54651,0.359551
13.57558,0.360112
13.60465,0.360674
13.63372,0.360674
13.66279,0.360674
13.69186,0.361236
13.72093,0.361236
13.75000,0.362360
13.77907,0.363483
13.80814,0.362921
13.83721,0.366292
13.86628,0.369663
13.89535,0.371910
13.92442,0.370225
13.95349,0.369663
13.98256,0.369101
14.01163,0.367978
14.04070,0.368539
14.06977,0.367978
14.09884,0.365169
14.12791,0.365730
14.15698,0.366292
14.18605,0.367978
14.21512,0.378090
14.24419,0.381461
14.27326,0.379775
14.30233,0.383146
14.33140,0.387079
14.36047,0.387079
14.38953,0.382022
14.41860,0.375281
14.44767,0.382584
14.47674,0.375843
14.50581,0.371910
14.53488,0.375281
14.56395,0.382022
14.59302,0.386517
14.62209,0.388202
14.65116,0.388202
14.68023,0.387079
14.70930,0.384270
14.73837,0.381461
14.76744,0.382584
14.79651,0.361798
14.82558,0.359551
14.85465,0.360674
14.88372,0.360112
14.91279,0.360674
14.94186,0.360674
14.97093,0.360674
15.00000,0.361236
15.02907,0.361798
15.05814,0.362360
15.08721,0.362360
15.11628,0.364045
15.14535,0.365730
15.17442,0.366854
15.20349,0.367978
15.23256,0.368539
15.26163,0.367978
15.29070,0.369101
15.31977,0.366292
15.34884,0.361798
15.37791,0.364607
15.40698,0.360112
15.43605,0.359551
15.46512,0.359551
15.49419,0.359551
15.52326,0.359551
15.55233,0.359551
15.58140,0.359551
15.61047,0.358989
15.63953,0.358989
15.66860,0.358989
15.69767,0.358989
15.72674,0.358989
15.75581,0.358989
15.78488,0.358989
15.81395,0.358427
15.84302,0.358989
15.87209,0.358989
15.90116,0.358989
15.93023,0.358989
15.95930,0.358989
15.98837,0.358989
16.01744,0.359551
16.04651,0.358989
16.07558,0.358989
16.10465,0.359551
16.13372,0.359551
16.16279,0.359551
16.19186,0.359551
16.22093,0.360112
16.25000,0.360674
16.27907,0.360674
16.30814,0.360674
16.33721,0.360674
16.36628,0.360674
16.39535,0.361236
16.42442,0.361798
16.45349,0.363483
16.48256,0.362921
16.51163,0.370225
16.54070,0.370225
16.56977,0.372472
16.59884,0.374719
16.62791,0.373596
16.65698,0.374719
16.68605,0.371348
16.71512,0.372472
16.74419,0.370225
16.77326,0.365730
16.80233,0.361236
16.83140,0.359551
16.86047,0.358989
16.88953,0.358989
16.91860,0.358989
16.94767,0.358989
16.97674,0.358989
17.00581,0.358989
17.03488,0.358989
17.06395,0.358989
17.09302,0.358989
17.12209,0.358989
17.15116,0.359551
17.18023,0.359551
17.20930,0.358989
17.23837,0.359551
17.26744,0.359551
17.29651,0.359551
17.32558,0.359551
17.35465,0.359551
17.38372,0.359551
17.41279,0.359551
17.44186,0.360112
17.47093,0.360674
17.50000,0.361798
17.52907,0.362921
17.55814,0.362921
17.58721,0.364045
17.61628,0.364607
17.64535,0.364607
17.67442,0.363483
17.70349,0.362360
17.73256,0.361798
17.76163,0.360674
17.79070,0.359551
17.81977,0.358989
17.84884,0.358989
17.87791,0.358989
17.90698,0.358989
17.93605,0.358989
17.96512,0.358427
17.99419,0.358427
18.02326,0.358427
18.05233,0.358989
18.08140,0.358989
18.11047,0.358989
18.13953,0.358427
18.16860,0.358989
18.19767,0.358989
18.22674,0.358989
18.25581,0.358989
18.28488,0.358989
18.31395,0.358989
18.34302,0.358989
18.37209,0.359551
18.40116,0.360112
18.43023,0.360112
18.45930,0.361236
18.48837,0.361798
18.51744,0.362360
18.54651,0.362360
18.57558,0.363483
18.60465,0.364045
18.63372,0.363483
18.66279,0.362360
18.69186,0.362360
18.72093,0.361236
18.75000,0.360674
18.77907,0.361798
18.80814,0.361798
18.83721,0.361798
18.86628,0.361798
18.89535,0.361798
18.92442,0.361236
18.95349,0.361236
18.98256,0.361798
19.01163,0.362360
19.04070,0.365730
19.06977,0.364045
19.09884,0.374719
19.12791,0.390449
19.15698,0.414045
19.18605,0.461236
19.21512,0.532022
19.24419,0.533146
19.27326,0.505618
19.30233,0.533146
19.33140,0.533146
19.36047,0.522472
19.38953,0.520225
19.41860,0.503371
19.44767,0.518539
19.47674,0.511798
19.50581,0.475843
19.53488,0.421910
19.56395,0.364045
19.59302,0.362921
19.62209,0.362921
19.65116,0.362360
19.68023,0.361798
19.70930,0.362360
19.73837,0.362360
19.76744,0.362921
19.79651,0.363483
19.82558,0.367978
19.85465,0.369101
19.88372,0.370787
19.91279,0.372472
19.94186,0.372472
19.97093,0.372472
20.00000,0.371910
20.02907,0.369101
20.05814,0.371348
20.08721,0.366854
20.11628,0.364607
20.14535,0.360674
20.17442,0.360112
20.20349,0.359551
20.23256,0.359551
20.26163,0.359551
20.29070,0.359551
20.31977,0.359551
20.34884,0.359551
20.37791,0.359551
20.40698,0.359551
20.43605,0.358989
20.46512,0.358989
20.49419,0.358989
20.52326,0.359551
20.55233,0.359551
20.58140,0.359551
20.61047,0.359551
20.63953,0.359551
20.66860,0.359551
20.69767,0.360674
20.72674,0.360674
20.75581,0.360112
20.78488,0.360112
20.81395,0.359551
20.84302,0.360112
20.87209,0.360112
20.90116,0.360674
20.93023,0.360674
20.95930,0.360674
20.98837,0.360112
21.01744,0.360112
21.04651,0.360112
21.07558,0.359551
21.10465,0.359551
21.13372,0.359551
21.16279,0.358989
21.19186,0.358989
21.22093,0.359551
21.25000,0.359551
21.27907,0.359551
21.30814,0.359551
21.33721,0.360112
21.36628,0.360112
21.39535,0.360674
21.42442,0.361236
21.45349,0.362360
21.48256,0.362360
21.51163,0.362921
21.54070,0.363483
21.56977,0.363483
21.59884,0.363483
21.62791,0.362360
21.65698,0.362360
21.68605,0.361236
21.71512,0.360112
21.74419,0.360112
21.77326,0.359551
21.80233,0.358989
21.83140,0.358989
21.86047,0.358989
21.88953,0.358427
21.91860,0.358427
21.94767,0.358427
21.97674,0.358427
22.00581,0.358427
22.03488,0.358427
22.06395,0.358427
22.09302,0.358427
22.12209,0.358989
22.15116,0.358989
22.18023,0.358989
22.20930,0.358989
22.23837,0.358989
22.26744,0.358989
22.29651,0.358989
22.32558,0.358989
22.35465,0.358989
22.38372,0.358989
22.41279,0.358989
22.44186,0.358989
22.47093,0.358427
22.50000,0.358427
22.52907,0.358427
22.55814,0.358427
22.58721,0.358427
22.61628,0.358427
22.64535,0.358989
22.67442,0.358427
22.70349,0.358427
22.73256,0.358427
22.76163,0.358427
22.79070,0.358989
22.81977,0.358989
22.84884,0.359551
22.87791,0.359551
22.90698,0.360112
22.93605,0.360674
22.96512,0.360674
22.99419,0.360674
23.02326,0.360112
23.05233,0.359551
23.08140,0.358989
23.11047,0.358989
23.13953,0.358427
23.16860,0.358427
23.19767,0.358427
23.22674,0.358427
23.25581,0.358427
23.28488,0.358989
23.31395,0.358989
23.34302,0.358427
23.37209,0.358427
23.40116,0.358989
23.43023,0.358989
23.45930,0.358989
23.48837,0.358427
23.51744,0.358427
23.54651,0.358989
23.57558,0.358989
23.60465,0.358989
23.63372,0.359551
23.66279,0.360112
23.69186,0.360674
23.72093,0.361236
23.75000,0.361798
23.77907,0.361798
23.80814,0.362360
23.83721,0.364045
23.86628,0.364607
23.89535,0.365169
23.92442,0.365169
23.95349,0.364045
23.98256,0.363483
24.01163,0.362921
24.04070,0.361798
24.06977,0.360674
24.09884,0.360112
24.12791,0.358989
24.15698,0.358989
24.18605,0.358427
24.21512,0.358427
24.24419,0.358427
24.27326,0.357865
24.30233,0.357865
24.33140,0.358427
24.36047,0.358989
24.38953,0.358989
24.41860,0.359551
