# paper: 10.1126%2Fsciadv.aaq1636
# figure: Unlabelled 1  panel: Unlabelled_1_0
# technique: gas_adsorption_isotherm  material: X-pcu-3-Zn-3i
# series: X-pcu-3-Zn-3i-β  (experimental)
# x:    y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
105.00000,0.521440
105.50000,0.521440
106.00000,0.521440
106.50000,0.521440
107.00000,0.520631
107.50000,0.520631
108.00000,0.493932
108.00000,0.502832
108.00000,0.521440
108.00000,0.540049
108.50000,0.540049
108.50000,0.521440
108.50000,0.502832
108.50000,0.493932
109.00000,0.521440
109.00000,0.540049
109.00000,0.499595
109.50000,0.521440
109.50000,0.540049
109.50000,0.499595
110.00000,0.499595
110.00000,0.531149
110.50000,0.531149
110.50000,0.499595
111.00000,0.520631
111.50000,0.520631
112.00000,0.532767
112.00000,0.501214
112.50000,0.532767
112.50000,0.501214
113.00000,0.521440
113.00000,0.542476
113.00000,0.507686
113.00000,0.494741
113.50000,0.494741
113.50000,0.507686
113.50000,0.542476
113.50000,0.521440
113.64381,0.471149
114.00000,0.494741
114.00000,0.542476
114.00000,0.520631
114.00000,0.507686
114.22598,0.732227
114.50000,0.542476
114.50000,0.520631
114.50000,0.507686
114.50000,0.494741
115.00000,0.541667
115.00000,0.520631
115.00000,0.507686
115.00000,0.494741
115.05070,0.644095
115.50000,0.520631
115.50000,0.541667
115.50000,0.507686
115.50000,0.494741
116.00000,0.494741
116.00000,0.540858
116.00000,0.520631
116.00000,0.507686
116.50000,0.540858
116.50000,0.520631
116.50000,0.507686
116.50000,0.494741
117.00000,0.540858
117.00000,0.520631
117.00000,0.507686
117.00000,0.494741
117.50000,0.494741
117.50000,0.520631
117.50000,0.507686
117.50000,0.540858
118.00000,0.533576
118.00000,0.501214
118.50000,0.533576
118.50000,0.501214
119.00000,0.533576
119.00000,0.501214
119.50000,0.501214
119.50000,0.533576
120.00000,0.534385
120.00000,0.500405
120.50000,0.534385
120.50000,0.500405
121.00000,0.541667
121.00000,0.523867
121.00000,0.499595
121.50000,0.541667
121.50000,0.523867
121.50000,0.499595
122.00000,0.542476
122.00000,0.525485
122.00000,0.498786
122.50000,0.498786
122.50000,0.542476
122.50000,0.525485
123.00000,0.494741
123.50000,0.494741
124.00000,0.494741
124.50000,0.494741
125.00000,0.494741
125.50000,0.494741
126.00000,0.494741
126.50000,0.494741
127.00000,0.493932
127.50000,0.493932
145.31494,0.584862
167.00000,0.220469
167.00000,0.947006
167.00000,0.856392
167.00000,0.765777
167.00000,0.493932
167.00000,0.585356
167.00000,0.675971
167.50000,0.585356
167.50000,0.220469
167.50000,0.493932
167.50000,0.856392
167.50000,0.765777
167.50000,0.947006
167.50000,0.675971
168.00000,0.221278
168.00000,0.947006
168.00000,0.855583
168.00000,0.764968
168.00000,0.675971
168.00000,0.585356
168.00000,0.494741
168.50000,0.675971
168.50000,0.947006
168.50000,0.855583
168.50000,0.764968
168.50000,0.494741
168.50000,0.221278
168.50000,0.585356
169.00000,0.947006
169.00000,0.855583
