# paper: 10.1126%2Fsciadv.aaq1636
# figure: Unlabelled 1  panel: Unlabelled_1_2
# technique: gas_adsorption_isotherm  material: X-pcu-3-Zn-3i
# series: X-pcu-3-Zn-3i-α (adsorption branch)  (experimental)
# x: Pressure (Pa)   y: arb. units, 0 = bottom axis, 1 = top of plot box
# read by: pixels
x,y
223.48490,0.612751
240.34515,0.648430
245.69531,0.628373
263.87413,0.677892
268.44931,0.656038
285.28780,0.699761
289.06799,0.676646
306.48770,0.719169
309.80435,0.695359
328.56083,0.736831
331.79878,0.713259
348.43333,0.750290
351.45030,0.726218
370.82769,0.763722
373.31348,0.739372
391.83546,0.775743
393.94024,0.751061
412.57215,0.785548
414.46169,0.760541
434.80658,0.795601
436.95255,0.770997
456.01429,0.803968
457.65430,0.778703
476.96196,0.812346
478.50366,0.787494
496.46848,0.819631
498.22049,0.794644
520.06291,0.827249
521.67066,0.801884
541.06293,0.834003
542.66954,0.808949
562.12121,0.840481
570.70286,0.816826
576.52407,0.844601
597.48756,0.849427
598.65625,0.823879
620.12562,0.840085
