# paper: 10.3184%2F030823410X12864689639476
# figure: Figure 3  panel: Figure_3_0
# technique: photoluminescence  material: [CuCl2(pyridine-3-carbonitrile)2]n, [CuCl2(pyridine-4-carbonitrile)2]n and [CoCl2(pyridine-4-carbonitrile)2]n
# series: [CuCl2(pyridine-3-carbonitrile)2]n (1) — emission  (experimental)
# x: (a)   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
325.90956,0.057661
334.45946,0.079901
347.43243,0.169357
360.33784,0.333114
369.08784,0.499176
371.14865,0.517628
375.20270,0.583526
453.19337,0.736487
454.39189,0.755001
457.21744,0.804553
459.32808,0.849716
463.00676,0.388797
463.04054,0.923394
468.50159,0.958814
470.43919,0.946458
476.64696,0.274918
479.47635,0.897446
493.55509,0.769104
496.72619,0.749784
499.49324,0.737232
500.16892,0.157331
501.67383,0.728995
505.80794,0.718427
510.58559,0.710324
