# paper: 10.3184%2F030823410X12864689639476
# figure: Figure 3  panel: Figure_3_1
# technique: photoluminescence  material: [CuCl2(pyridine-4-carbonitrile)2]n (complex 2)
# series: pyridine-4-carbonitrile (free ligand)  (reference)
# x: (b)   y: data units from y ticks
x,y
315.43445,9.594378
319.32598,18.918191
322.33820,28.104688
324.05653,34.282600
327.76904,46.369124
331.84930,55.427618
335.33304,61.853480
342.95132,81.661117
344.76806,89.111763
346.09603,95.795638
347.73016,105.765883
349.64424,118.285565
350.61620,128.217542
353.13581,142.126032
354.96570,154.074042
356.71420,165.935563
358.09051,176.380854
359.76466,189.407827
361.58664,201.977880
363.31453,214.667511
364.71816,223.144128
367.47987,240.001306
370.09120,253.326396
371.50795,260.729611
374.82033,272.760560
377.89562,282.533606
383.89915,287.942145
390.29228,282.014747
393.63257,272.079136
395.18129,265.979211
397.72343,256.190043
400.64335,242.475070
403.78210,226.926020
404.83798,220.805143
406.66388,212.918092
408.22547,205.455344
409.94259,198.424519
411.69102,192.842638
413.28749,185.207478
415.08699,179.420363
417.00658,172.447036
418.37161,167.755220
420.66806,160.441507
424.15386,151.087146
426.78199,145.360668
428.91800,139.613839
436.53994,121.472559
444.27627,103.047254
451.08250,88.694538
455.39727,80.331584
460.97193,68.828427
464.71816,61.775370
467.84969,57.018615
471.58221,50.995064
476.52848,44.210629
480.58455,39.696234
483.77961,36.132374
489.58057,30.463141
495.65066,26.172764
500.53840,22.555853
506.47717,19.379183
515.03132,15.360816
522.71708,12.506188
529.85386,10.165390
537.93319,8.196667
547.79145,6.243439
557.10615,4.730526
