# paper: 10.3184%2F174751917X14956302352017
# figure: Figure 3  panel: Figure_3_0
# technique: tga  material: 
# series: complex 2 (derivative/second trace)  (experimental)
# x: Temperature (*c)   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
112.33480,0.950769
112.77533,0.950769
113.21586,0.950769
113.65639,0.950769
115.85903,0.954615
116.29956,0.951538
116.74009,0.951538
117.18062,0.951538
117.62115,0.950769
125.11013,0.950769
125.55066,0.951538
125.99119,0.951538
126.43172,0.951538
126.87225,0.954615
225.55066,0.637692
225.99119,0.637692
226.43172,0.636923
226.87225,0.636923
227.31278,0.635385
227.75330,0.634615
233.03965,0.625385
233.48018,0.624615
233.92070,0.623077
234.36123,0.623077
234.80176,0.623077
235.24229,0.620769
240.96916,0.610769
241.40969,0.611538
241.85022,0.611538
242.29075,0.611538
244.05286,0.600769
244.49339,0.600000
244.93392,0.599231
245.37445,0.599231
245.81498,0.598462
246.25551,0.597692
249.77974,0.587692
250.22026,0.586154
250.66079,0.586154
251.10132,0.584615
251.54185,0.581538
251.98238,0.580000
252.42291,0.580000
252.86344,0.580000
253.30396,0.578462
253.74449,0.577692
256.82819,0.564615
257.26872,0.564615
297.79736,0.466154
298.23789,0.465385
298.67841,0.465385
299.11894,0.463846
302.64317,0.454615
303.08370,0.451538
303.52423,0.451538
303.96476,0.451538
304.40529,0.451538
304.84581,0.451538
307.92952,0.442308
308.37004,0.443077
311.89427,0.436154
312.33480,0.436923
317.18062,0.421538
317.62115,0.423846
359.47137,0.301538
359.91189,0.297692
360.35242,0.297692
360.79295,0.297692
361.23348,0.297692
361.67401,0.296923
362.11454,0.297692
362.55507,0.297692
362.99559,0.297692
367.40088,0.287692
367.84141,0.286154
368.28194,0.286154
368.72247,0.285385
372.68722,0.275385
373.12775,0.273077
373.56828,0.273077
374.00881,0.271538
374.44934,0.271538
380.17621,0.261538
380.61674,0.260769
381.05727,0.260769
381.49780,0.260000
383.25991,0.255385
383.70044,0.253077
384.14097,0.253077
384.58150,0.253077
385.02203,0.252308
385.46256,0.248462
385.90308,0.246923
386.34361,0.246923
386.78414,0.246923
387.22467,0.249231
390.74890,0.243846
391.18943,0.240769
391.62996,0.240769
392.07048,0.240769
392.51101,0.237692
392.95154,0.236923
393.39207,0.233846
393.83260,0.237692
394.27313,0.233846
394.71366,0.230000
397.79736,0.220769
398.23789,0.220769
398.67841,0.220000
399.11894,0.220000
399.55947,0.220000
400.00000,0.220000
400.44053,0.217692
412.77533,0.200000
413.21586,0.200000
436.56388,0.170769
437.00441,0.170000
437.44493,0.169231
437.88546,0.169231
438.32599,0.168462
438.76652,0.167692
443.61233,0.166154
444.05286,0.164615
444.49339,0.163846
444.93392,0.163846
445.37445,0.163846
445.81498,0.163077
446.25551,0.161538
447.57709,0.166923
448.01762,0.163846
448.45815,0.163846
448.89868,0.163846
449.33921,0.163846
449.77974,0.163077
450.22026,0.163077
450.66079,0.163077
451.10132,0.163077
451.54185,0.160769
454.62555,0.160769
455.06608,0.163077
455.50661,0.163846
455.94714,0.163846
456.38767,0.163846
456.82819,0.163077
457.26872,0.158462
457.70925,0.156923
458.14978,0.156923
458.59031,0.156923
459.03084,0.153846
460.35242,0.153846
460.79295,0.157692
461.23348,0.157692
461.67401,0.157692
462.11454,0.157692
462.55507,0.160769
467.84141,0.153077
468.28194,0.156154
468.72247,0.156154
469.16300,0.156154
469.60352,0.156154
470.04405,0.156154
470.48458,0.156154
470.92511,0.156154
471.36564,0.156923
477.09251,0.153077
478.85463,0.153077
479.29515,0.150769
479.73568,0.150769
480.17621,0.150769
480.61674,0.150000
482.81938,0.150000
483.25991,0.150769
483.70044,0.150769
484.14097,0.150769
484.58150,0.153077
485.90308,0.153077
495.59471,0.150000
496.03524,0.150769
496.47577,0.150769
496.91630,0.150769
