# paper: 10.3184%2F174751917X14956302352017
# figure: Figure 3  panel: Figure_3_0
# technique: tga  material: CuII tetrachloroterephthalate coordination polymers 1 and 2
# series: Complex 1 (CuII/BDC–Cl4 coordination polymer)  (experimental)
# x: Temperature (*c)   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
85.68282,0.937363
89.20705,0.942769
92.07048,0.784403
98.40732,0.784379
98.45815,0.573846
102.10098,0.585799
107.65842,0.387456
109.20705,0.292000
109.21721,0.470296
114.53744,0.958462
114.97797,0.958462
115.41850,0.958462
115.85903,0.958462
116.29956,0.958462
116.74009,0.958462
117.18062,0.958462
117.62115,0.957692
118.06167,0.957692
118.50220,0.957692
118.94273,0.958462
119.38326,0.957692
119.82379,0.957692
120.26432,0.958462
120.70485,0.958462
121.14537,0.958462
121.58590,0.958462
122.02643,0.958462
122.46696,0.958462
122.90749,0.957692
123.34802,0.958462
123.78855,0.958462
124.22907,0.957692
124.66960,0.957692
125.11013,0.957692
125.55066,0.958462
125.99119,0.958462
126.43172,0.958462
126.87225,0.958462
127.31278,0.958462
127.75330,0.958462
128.19383,0.958462
128.63436,0.958462
129.07489,0.958462
129.51542,0.958462
129.95595,0.958462
130.39648,0.958462
130.83700,0.958462
131.27753,0.958462
131.71806,0.958462
132.15859,0.958462
132.59912,0.942308
133.03965,0.943077
133.48018,0.943077
133.92070,0.943077
134.36123,0.936923
134.80176,0.936923
135.24229,0.936923
135.68282,0.936154
136.12335,0.937692
136.56388,0.937692
137.00441,0.937692
137.44493,0.937692
142.69457,0.944231
144.14097,0.919846
147.97757,0.926014
151.58190,0.886294
155.46656,0.887552
160.66338,0.835837
164.64758,0.836795
167.88146,0.803217
173.60833,0.777063
173.96876,0.798322
177.13256,0.758601
177.49299,0.778322
182.63059,0.726264
186.74409,0.727552
191.66142,0.674725
198.67841,0.652308
199.11894,0.652308
199.39928,0.669371
199.55947,0.652308
200.00000,0.652308
200.44053,0.656154
200.88106,0.655385
201.32159,0.655385
201.76211,0.655385
202.20264,0.650769
202.64317,0.649231
203.08370,0.650000
203.52423,0.650000
206.47836,0.643529
220.28347,0.643211
221.42571,0.657063
224.80176,0.632923
228.74449,0.629769
234.03084,0.617051
237.55507,0.610897
239.80306,0.617828
245.33440,0.606014
248.01762,0.579231
248.45815,0.578462
248.89868,0.578462
249.33921,0.576923
249.77974,0.573077
250.22026,0.572308
250.66079,0.572308
251.10132,0.570769
251.54185,0.566923
251.98238,0.566154
252.42291,0.566154
252.86344,0.566154
253.30396,0.565385
253.74449,0.560769
254.18502,0.560769
254.58884,0.579615
254.62555,0.560000
255.06608,0.558462
259.81023,0.567337
266.86365,0.543227
269.23642,0.528590
270.52129,0.508077
277.53304,0.505385
281.53451,0.483462
289.14698,0.484755
290.74890,0.478462
291.18943,0.478462
291.62996,0.478462
292.07048,0.481538
292.51101,0.481538
292.95154,0.481538
293.39207,0.480769
293.83260,0.473846
294.27313,0.471538
294.71366,0.471538
295.15419,0.472308
298.54075,0.471442
304.66560,0.455664
309.44383,0.445673
313.10573,0.439872
315.71743,0.415440
322.15600,0.393394
323.87665,0.399846
327.21488,0.386667
331.27753,0.373846
332.59912,0.362308
333.03965,0.362308
333.44013,0.387552
333.48018,0.362308
333.92070,0.362308
334.36123,0.355385
334.80176,0.355385
335.24229,0.354615
335.68282,0.353846
336.61894,0.361731
342.47955,0.362967
344.19971,0.341197
352.56975,0.333276
356.86824,0.303217
367.87078,0.271897
371.58590,0.280308
376.90371,0.252418
377.16593,0.266410
378.95629,0.860355
380.17621,0.982308
380.61674,0.982308
381.05727,0.982308
381.49780,0.982308
