# paper: 10.3184%2F174751917X14956302352017
# figure: Figure 4  panel: Figure_4_0
# technique: photoluminescence  material: 
# series: Complex 1  (unknown)
# x: Wavelength (nm)   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
448.07622,0.494444
448.17006,0.495238
448.26390,0.495238
448.35774,0.495238
448.45158,0.383333
448.54543,0.384127
448.63927,0.384127
448.73311,0.385714
448.82695,0.336508
448.92079,0.335714
449.01463,0.335714
449.10848,0.336508
449.20232,0.336508
449.29616,0.336508
449.39000,0.336508
449.48384,0.336508
449.57768,0.336508
449.67153,0.336508
449.76537,0.336508
449.85921,0.336508
449.95305,0.336508
450.04689,0.481746
450.14073,0.481746
450.23458,0.481746
450.32842,0.481746
450.42226,0.336508
450.51610,0.336508
450.60994,0.336508
450.70379,0.336508
450.79763,0.536508
450.89147,0.534921
450.98531,0.534127
451.07915,0.534127
451.17299,0.529365
451.26684,0.528571
451.36068,0.527778
451.45452,0.527778
451.54836,0.527778
453.14367,0.184921
453.23751,0.184127
453.33135,0.184127
453.42519,0.183333
453.51904,0.206349
453.61288,0.207143
453.70672,0.207937
453.80056,0.207937
453.89440,0.207143
453.98824,0.224603
454.08209,0.224603
454.17593,0.224603
454.26977,0.224603
454.36361,0.183333
454.45745,0.184127
454.55129,0.184127
454.64514,0.184921
454.73898,0.220635
454.83282,0.219048
454.92666,0.219048
455.02050,0.219841
455.11434,0.184921
455.20819,0.184921
455.30203,0.184921
455.39587,0.184921
455.48971,0.182540
455.58355,0.224603
455.67739,0.224603
455.77124,0.224603
455.86508,0.622222
455.95892,0.620635
456.05276,0.620635
456.14660,0.620635
456.24044,0.619841
456.33429,0.189683
456.42813,0.190476
456.52197,0.190476
456.61581,0.189683
456.70965,0.184921
456.80349,0.184921
456.89734,0.184127
456.99118,0.183333
457.08502,0.224603
457.17886,0.203175
457.27270,0.203175
457.36654,0.202381
457.46039,0.584127
457.55423,0.586508
457.64807,0.586508
457.74191,0.587302
458.68033,0.203968
458.77417,0.203968
458.86801,0.204762
458.96185,0.205556
459.05569,0.099206
459.14954,0.099206
459.24338,0.099206
459.33722,0.096825
459.43106,0.105556
459.52490,0.106349
459.61874,0.106349
460.27564,0.276190
460.36948,0.276984
460.46332,0.276984
460.55716,0.276984
460.65100,0.276984
460.74484,0.276984
460.83869,0.276984
460.93253,0.276984
461.02637,0.276984
461.12021,0.276984
461.21405,0.276984
461.30789,0.276984
461.40174,0.408730
461.49558,0.375397
461.58942,0.376190
461.68326,0.376190
461.77710,0.435714
461.87094,0.436508
461.96479,0.436508
462.15247,0.289683
462.24631,0.289683
462.34015,0.290476
462.43399,0.290476
462.52784,0.289683
462.62168,0.289683
462.71552,0.290476
462.80936,0.291270
462.90320,0.515079
462.99704,0.474603
463.09089,0.474603
463.18473,0.475397
463.27857,0.281746
463.37241,0.282540
463.46625,0.283333
463.56009,0.283333
463.65394,0.283333
463.74778,0.282540
463.84162,0.282540
463.93546,0.283333
464.02930,0.283333
464.12314,0.594444
464.21699,0.594444
464.31083,0.595238
464.49851,0.296825
464.59235,0.296825
464.68619,0.297619
464.78004,0.298413
464.87388,0.646825
464.96772,0.606349
465.06156,0.606349
465.15540,0.607143
465.24924,0.673016
465.34309,0.632540
465.43693,0.633333
465.53077,0.633333
465.62461,0.699206
465.71845,0.658730
465.81229,0.659524
465.90614,0.659524
465.99998,0.659524
466.09382,0.310317
466.18766,0.310317
466.28150,0.311111
466.37534,0.311905
466.46919,0.303175
466.56303,0.303968
466.65687,0.303968
466.75071,0.303968
466.84455,0.316667
466.93839,0.316667
467.03224,0.316667
467.12608,0.317460
467.21992,0.778571
467.31376,0.779365
467.40760,0.779365
467.68913,0.765079
467.78297,0.765079
467.87681,0.765873
467.97065,0.329365
468.06449,0.329365
468.15834,0.329365
468.25218,0.329365
468.34602,0.330159
468.43986,0.336508
468.53370,0.336508
468.62754,0.336508
