# paper: 10.1039%2FC3CE41975D
# figure: Figure 11  panel: Figure_11_0
# technique: magnetic_susceptibility  material: [NiSr2(pydc)3(H2O)8]n·2nH2O (6)
# series: [NiSr2(pydc)3(H2O)8]n·2nH2O (6) — inset χM−1 vs. T  (experimental)
# x: T/K   y: data units from y ticks
x,y
-2.67199,0.011379
-2.36486,0.011379
-2.05774,0.009884
-1.75061,0.106312
-1.44349,0.008638
-1.13636,0.008638
-0.82924,0.008140
-0.52211,0.008140
-0.21499,0.008140
0.09214,0.038538
0.39926,0.038787
0.70639,0.056977
1.01351,0.006146
1.32064,0.006146
1.62776,0.005897
1.93489,0.016611
2.24201,0.016860
2.54914,0.027326
2.85627,0.023837
3.16339,0.023339
3.47052,0.003904
3.77764,0.003904
4.08477,0.003904
4.39189,0.003904
4.69902,0.003904
5.00614,0.003904
5.31327,0.009136
5.62039,0.008887
5.92752,0.108056
6.23464,0.107558
6.54177,0.115033
6.84889,0.114784
7.15602,0.112292
7.46314,0.112043
7.77027,0.106063
8.07740,0.106063
8.38452,0.101827
8.69165,0.101827
8.99877,0.098339
9.30590,0.097591
9.61302,0.160382
9.92015,0.160631
10.22727,0.150664
10.53440,0.150415
10.84152,0.084884
11.14865,0.084884
11.45577,0.132226
11.76290,0.132226
12.07002,0.123256
12.37715,0.123256
12.68428,0.074169
12.99140,0.073671
13.29853,0.109302
13.60565,0.109801
13.91278,0.252076
14.21990,0.252575
14.52703,0.100083
14.83415,0.099585
15.75553,0.093605
16.06265,0.093106
17.29115,0.275249
17.59828,0.083140
17.90541,0.082890
18.21253,0.079651
18.51966,0.079153
19.44103,0.074668
19.74816,0.074668
20.05528,0.274003
20.36241,0.273754
20.66953,0.070681
20.97666,0.070183
21.28378,0.272010
21.59091,0.297924
21.89803,0.044269
22.20516,0.043771
22.51229,0.064203
22.81941,0.063953
23.74079,0.040033
24.04791,0.040033
24.35504,0.039784
26.19779,0.286960
26.50491,0.286462
27.42629,0.261794
27.73342,0.261794
28.04054,0.261545
28.34767,0.261545
28.65479,0.261296
28.96192,0.261047
29.26904,0.260797
29.57617,0.260797
29.88329,0.275997
30.19042,0.275997
30.49754,0.275997
30.80467,0.275997
32.95455,0.258804
33.26167,0.259053
33.56880,0.258804
33.87592,0.259053
34.18305,0.258804
34.49017,0.258804
35.10442,0.258804
35.41155,0.258804
35.71867,0.259053
36.02580,0.259053
36.33292,0.259053
36.64005,0.259053
36.94717,0.258804
37.25430,0.258804
37.86855,0.258804
38.17568,0.258804
38.48280,0.259053
38.78993,0.259053
39.09705,0.259053
39.40418,0.259053
40.93980,0.259801
41.24693,0.259801
41.55405,0.260050
41.86118,0.260050
42.16830,0.260050
42.47543,0.259801
43.08968,0.275249
43.39681,0.275249
43.70393,0.275000
44.01106,0.275498
44.31818,0.275498
44.62531,0.275000
44.93243,0.275000
45.23956,0.275000
45.54668,0.275000
45.85381,0.275748
46.16093,0.275748
46.46806,0.261296
46.77518,0.261296
47.08231,0.261545
47.38943,0.261296
47.69656,0.262043
48.00369,0.262043
48.31081,0.262043
48.61794,0.262043
48.92506,0.262043
49.23219,0.262043
49.53931,0.262043
49.84644,0.262043
50.15356,0.262043
50.46069,0.262043
50.76781,0.262043
51.07494,0.262043
51.38206,0.262043
51.68919,0.262043
51.99631,0.262043
52.30344,0.262043
52.61057,0.261794
52.91769,0.261794
53.22482,0.276993
53.53194,0.276993
53.83907,0.276993
54.14619,0.276993
54.45332,0.027076
54.76044,0.015615
55.06757,0.015864
55.37469,0.015864
55.68182,0.015615
55.98894,0.015615
56.29607,0.261794
56.91032,0.026080
57.21744,0.026080
57.52457,0.025831
57.83170,0.026080
58.13882,0.026080
59.67445,0.025083
59.98157,0.024834
60.28870,0.025083
60.59582,0.025083
62.13145,0.013621
62.43857,0.013621
62.74570,0.013870
63.05283,0.013621
63.35995,0.024086
63.66708,0.023837
63.97420,0.024086
64.28133,0.024086
64.58845,0.281229
64.89558,0.280980
65.20270,0.280980
65.50983,0.280980
65.81695,0.023090
66.12408,0.012625
66.43120,0.012874
66.73833,0.012625
67.04545,0.012625
67.35258,0.023090
68.58108,0.011877
68.88821,0.011877
69.19533,0.011628
69.50246,0.011877
69.80958,0.011628
70.11671,0.011877
70.42383,0.011628
70.73096,0.011877
71.03808,0.011628
71.34521,0.267774
71.65233,0.268771
71.95946,0.268771
72.26658,0.269020
72.57371,0.269020
72.88084,0.268771
73.80221,0.010631
74.10934,0.010631
74.41646,0.010880
74.72359,0.010631
75.03071,0.010880
75.33784,0.010880
75.64496,0.021096
75.95209,0.021096
77.79484,0.009884
78.10197,0.009884
78.40909,0.009884
78.71622,0.009884
79.02334,0.009884
79.33047,0.009884
79.63759,0.009884
79.94472,0.009884
80.25184,0.009635
80.55897,0.009884
80.86609,0.009635
81.17322,0.009884
81.48034,0.009635
81.78747,0.265781
82.09459,0.265781
82.40172,0.266030
82.70885,0.266030
83.01597,0.266030
83.32310,0.008887
83.63022,0.008887
83.93735,0.008887
84.24447,0.008887
84.55160,0.008887
84.85872,0.008887
85.16585,0.008638
85.47297,0.008887
85.78010,0.008638
86.08722,0.008887
86.39435,0.008887
86.70147,0.008887
87.00860,0.008887
87.31572,0.008887
87.62285,0.008887
87.92998,0.008887
88.23710,0.008887
88.54423,0.008887
88.85135,0.008887
90.38698,0.007641
90.69410,0.007641
91.00123,0.007890
91.30835,0.007890
91.61548,0.007890
91.92260,0.007890
92.22973,0.007890
92.53686,0.007890
92.84398,0.007890
93.15111,0.007641
93.45823,0.007890
93.76536,0.007641
96.83661,0.006894
97.14373,0.006894
97.45086,0.006894
97.75799,0.006894
98.06511,0.006894
98.37224,0.006894
98.67936,0.006894
98.98649,0.006894
99.29361,0.006645
99.60074,0.006894
99.90786,0.006645
100.21499,0.006894
100.52211,0.006645
100.82924,0.006894
101.13636,0.006645
101.44349,0.006894
101.75061,0.006645
102.05774,0.006894
102.36486,0.006645
102.67199,0.017110
102.97912,0.005648
103.28624,0.005897
103.59337,0.005897
103.90049,0.005897
104.20762,0.005897
104.51474,0.005897
104.82187,0.005897
105.12899,0.005897
105.43612,0.005897
105.74324,0.005897
106.05037,0.005897
106.35749,0.005897
106.66462,0.005648
106.97174,0.005897
107.27887,0.005648
107.58600,0.005897
107.89312,0.005897
108.20025,0.005897
108.50737,0.005897
108.81450,0.015864
109.12162,0.015864
109.42875,0.016113
109.73587,0.015864
110.04300,0.016113
110.35012,0.015864
110.65725,0.015864
110.96437,0.015864
111.27150,0.016113
111.57862,0.276744
111.88575,0.276744
113.72850,0.293189
114.03563,0.293189
114.34275,0.292940
114.64988,0.278738
114.95700,0.278738
115.26413,0.278987
115.57125,0.278987
115.87838,0.004651
116.18550,0.004900
116.49263,0.004900
116.79975,0.004900
117.10688,0.004900
117.41400,0.004900
117.72113,0.004900
118.02826,0.004900
118.33538,0.004900
118.64251,0.004900
118.94963,0.004651
119.25676,0.004900
119.56388,0.004651
119.87101,0.004900
120.17813,0.004900
120.48526,0.280980
120.79238,0.280731
121.09951,0.280731
122.94226,0.282724
123.24939,0.282973
123.55651,0.282973
123.86364,0.282724
124.17076,0.297924
124.47789,0.298173
124.78501,0.298173
126.62776,0.299169
126.93489,0.298920
127.24201,0.298920
127.54914,0.298920
128.16339,0.229153
128.47052,0.229153
128.77764,0.150914
129.08477,0.150914
129.39189,0.003654
129.69902,0.003904
130.00614,0.003654
130.31327,0.003904
130.62039,0.003904
130.92752,0.003904
131.23464,0.003904
131.54177,0.003904
131.84889,0.003904
132.15602,0.003904
132.46314,0.003904
132.77027,0.003904
133.07740,0.003904
133.38452,0.003904
133.69165,0.003904
133.99877,0.003904
134.30590,0.003904
134.61302,0.003904
134.92015,0.003904
