# paper: 10.1039%2FC3CE41975D
# figure: Figure 9  panel: Figure_9_0
# technique: magnetic_susceptibility  material: [CuSr(pydc)2(H2O)4]n (2)
# series: [CuSr(pydc)2(H2O)4]n (2)  (experimental)
# x: TIK   y: data units from y ticks
x,y
9.73192,0.020881
13.08042,0.049740
14.33991,0.042316
18.75569,0.046350
150.53111,0.055552
151.79176,0.047492
155.56399,0.047250
167.88523,0.099260
167.90008,0.081851
167.93121,0.064068
167.99559,0.046667
206.34294,0.018915
230.62215,0.018915
303.45979,0.018915
304.92482,0.160021
