# paper: 10.1126%2Fsciadv.aaq1636
# figure: Figure S3  panel: Figure_S3_0
# technique: gas_adsorption_isotherm  material: X-pcu-3-Zn-3i
# series: X-pcu-3-Zn-3i-γ  (experimental)
# x: RelativePressure(p/p°)   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
425.00000,0.695392
426.00000,0.712457
427.00000,0.095563
428.00000,0.730375
431.00000,0.095563
438.00000,0.136519
438.00000,0.200512
438.00000,0.055461
438.00000,0.362628
438.00000,0.444539
438.00000,0.281570
440.00000,0.563993
441.00000,0.604949
443.00000,0.666382
445.00000,0.712457
536.00000,0.789249
573.00000,0.794369
575.00000,0.795222
614.00000,0.796928
616.00000,0.798635
665.00000,0.800341
688.00000,0.802901
689.00000,0.802048
732.00000,0.805461
733.00000,0.805461
753.00000,0.808020
754.00000,0.805461
773.00000,0.808874
774.00000,0.812287
795.00000,0.812287
836.00000,0.812287
863.00000,0.805461
865.00000,0.809727
868.00000,0.806314
894.00000,0.813140
895.00000,0.810580
896.00000,0.816553
916.00000,0.813140
917.00000,0.815700
918.00000,0.814846
923.00000,0.813993
1020.00000,0.817406
1021.00000,0.817406
1022.00000,0.819113
1076.00000,0.823379
