# paper: 10.1126%2Fsciadv.aaq1636
# figure: Figure S3  panel: Figure_S3_0
# technique: gas_adsorption_isotherm  material: X-pcu-3-Zn-3i
# series: X-pcu-3-Zn-3i-γ  (experimental)
# x: RelativePressure(p/p°)   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
5.00000,0.694539
16.00000,0.695392
39.00000,0.711604
40.00000,0.710751
57.00000,0.705631
58.00000,0.706485
104.00000,0.724403
112.00000,0.744881
113.00000,0.744881
114.00000,0.744881
115.00000,0.744881
131.00000,0.732935
132.00000,0.736348
140.00000,0.750000
141.00000,0.750000
142.00000,0.750000
150.00000,0.736348
331.00000,0.424061
331.00000,0.499147
331.00000,0.484642
331.00000,0.351536
332.00000,0.499147
332.00000,0.484642
332.00000,0.424061
332.00000,0.350683
333.00000,0.498294
333.00000,0.351536
333.00000,0.423208
333.00000,0.484642
334.00000,0.498294
334.00000,0.484642
334.00000,0.423208
334.00000,0.351536
335.00000,0.496587
335.00000,0.481229
335.00000,0.453925
335.00000,0.424915
335.00000,0.390785
335.00000,0.366894
335.00000,0.348123
335.00000,0.320819
336.00000,0.421502
336.00000,0.479522
336.00000,0.453925
336.00000,0.496587
336.00000,0.390785
336.00000,0.367747
336.00000,0.346416
336.00000,0.320819
337.00000,0.355802
337.00000,0.423208
337.00000,0.390785
337.00000,0.483788
337.00000,0.453925
337.00000,0.320819
338.00000,0.355802
338.00000,0.320819
338.00000,0.423208
338.00000,0.453925
338.00000,0.391638
338.00000,0.482935
339.00000,0.405290
340.00000,0.360922
340.00000,0.384812
340.00000,0.326792
340.00000,0.465870
340.00000,0.488908
340.00000,0.443686
340.00000,0.411263
341.00000,0.489761
341.00000,0.453925
341.00000,0.424061
341.00000,0.403584
341.00000,0.383106
341.00000,0.360068
341.00000,0.326792
342.00000,0.325939
342.00000,0.489761
342.00000,0.453925
342.00000,0.424061
342.00000,0.404437
342.00000,0.366894
343.00000,0.489761
343.00000,0.453925
343.00000,0.424061
343.00000,0.404437
343.00000,0.372867
343.00000,0.351536
343.00000,0.325939
343.53642,0.592484
344.00000,0.325085
344.00000,0.351536
344.00000,0.375427
344.00000,0.404437
344.00000,0.447952
344.00000,0.469283
344.00000,0.489761
344.00000,0.424061
345.00000,0.325939
345.00000,0.403584
345.00000,0.367747
345.00000,0.442833
345.00000,0.465870
345.00000,0.488908
345.00000,0.424061
346.00000,0.482935
346.00000,0.441126
346.00000,0.361775
347.00000,0.483788
347.00000,0.453925
347.00000,0.390785
347.00000,0.343857
347.00000,0.408703
347.00000,0.430034
348.00000,0.408703
348.00000,0.344710
348.00000,0.366894
348.00000,0.321672
348.00000,0.483788
348.00000,0.453925
348.00000,0.390785
348.00000,0.429181
349.00000,0.321672
349.00000,0.496587
349.00000,0.478669
349.00000,0.453925
349.00000,0.429181
349.00000,0.408703
349.00000,0.390785
349.00000,0.345563
349.00000,0.367747
350.00000,0.496587
351.00000,0.497440
352.00000,0.498294
353.00000,0.499147
354.00000,0.499147
410.00000,0.162116
410.00000,0.488055
410.00000,0.651024
410.00000,0.813993
410.00000,0.324232
411.00000,0.813993
411.00000,0.651024
411.00000,0.488055
411.00000,0.162116
411.00000,0.325085
412.00000,0.161263
412.00000,0.813993
412.00000,0.651024
412.00000,0.487201
412.00000,0.325085
413.00000,0.651024
413.00000,0.488055
413.00000,0.325085
413.00000,0.161263
413.00000,0.814846
414.00000,0.161263
414.00000,0.814846
414.00000,0.651024
414.00000,0.488055
414.00000,0.325085
415.00000,0.651024
415.00000,0.488055
415.00000,0.325085
415.00000,0.161263
415.00000,0.814846
416.00000,0.814846
416.00000,0.651024
416.00000,0.488055
416.00000,0.325085
416.00000,0.161263
417.00000,0.325085
417.00000,0.651024
417.00000,0.488055
417.00000,0.161263
417.00000,0.814846
418.00000,0.651024
418.00000,0.814846
418.00000,0.161263
418.00000,0.325085
418.00000,0.488055
419.00000,0.161263
419.00000,0.651024
419.00000,0.488055
419.00000,0.325085
419.00000,0.814846
420.00000,0.443686
420.00000,0.362628
420.00000,0.325085
420.00000,0.054608
420.00000,0.199659
420.00000,0.487201
420.00000,0.014505
420.00000,0.281570
420.00000,0.542662
420.00000,0.162116
420.00000,0.136519
420.00000,0.650171
420.00000,0.583618
420.00000,0.813993
425.00000,0.017065
425.00000,0.695392
426.00000,0.010239
426.00000,0.712457
427.00000,0.095563
428.00000,0.730375
431.00000,0.095563
438.00000,0.281570
438.00000,0.200512
438.00000,0.136519
438.00000,0.055461
438.00000,0.362628
438.00000,0.444539
440.00000,0.583618
440.00000,0.563993
441.00000,0.604949
442.00000,0.666382
443.00000,0.666382
445.00000,0.712457
535.00000,0.805461
536.00000,0.805461
536.00000,0.789249
536.00000,0.778157
537.00000,0.778157
538.00000,0.778157
539.00000,0.804608
539.00000,0.779010
540.00000,0.802901
541.00000,0.802048
541.00000,0.780717
542.00000,0.799488
542.00000,0.783276
571.00000,0.795222
572.00000,0.806314
572.00000,0.784130
572.00000,0.794369
573.00000,0.794369
573.00000,0.808020
573.00000,0.784130
574.00000,0.782423
574.00000,0.808020
575.00000,0.795222
575.00000,0.808874
576.00000,0.808874
613.00000,0.793515
614.00000,0.796928
615.00000,0.811433
615.00000,0.787543
616.00000,0.798635
616.00000,0.786689
617.00000,0.794369
654.00000,0.810580
655.00000,0.795222
656.00000,0.790102
657.00000,0.814846
