# paper: 10.1126%2Fsciadv.aaq1636
# figure: Figure S3  panel: Figure_S3_0
# technique: gas_adsorption_isotherm  material: X-pcu-3-Zn-3i
# series: X-pcu-3-Zn-3i-γ  (experimental)
# x: RelativePressure(p/p°)   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
16.00000,0.695392
331.00000,0.484642
331.00000,0.499147
331.00000,0.351536
331.00000,0.424061
332.00000,0.499147
332.00000,0.484642
335.00000,0.366894
335.00000,0.481229
335.00000,0.453925
335.00000,0.424915
335.00000,0.390785
335.00000,0.348123
335.00000,0.320819
336.00000,0.453925
336.00000,0.421502
336.00000,0.390785
336.00000,0.367747
336.00000,0.320819
349.00000,0.390785
349.00000,0.478669
349.00000,0.453925
349.00000,0.429181
349.00000,0.367747
349.00000,0.345563
349.00000,0.321672
349.00000,0.408703
353.00000,0.499147
354.00000,0.499147
410.00000,0.813993
410.00000,0.651024
410.00000,0.488055
410.00000,0.324232
410.00000,0.162116
411.00000,0.488055
411.00000,0.651024
411.00000,0.325085
411.00000,0.162116
420.00000,0.011945
420.00000,0.054608
420.00000,0.542662
420.00000,0.443686
420.00000,0.362628
420.00000,0.281570
420.00000,0.199659
420.00000,0.162116
420.00000,0.136519
420.00000,0.583618
848.49558,0.927240
868.17536,0.923661
896.07258,0.925217
924.93133,0.925764
955.05442,0.925484
