# paper: 10.1126%2Fsciadv.aaq1636
# figure: Figure S4  panel: Figure_S4_0
# technique: gas_adsorption_isotherm  material: X-pcu-3-Zn-3i-γ (shape-memory phase)
# series: X-pcu-3-Zn-3i-γ  (experimental)
# x:    y: data units from y ticks
x,y
166.00000,-5.056180
236.00000,-4.044944
305.00000,-5.056180
375.00000,-4.044944
444.00000,-5.056180
445.00000,-5.056180
514.00000,-4.044944
584.00000,-5.056180
653.00000,-4.213483
722.00000,-5.056180
723.00000,-5.056180
792.00000,-4.044944
861.00000,-5.056180
