# paper: 10.1126%2Fsciadv.aaq1636
# figure: Figure S4  panel: Figure_S4_1
# technique: gas_adsorption_isotherm  material: X-pcu-3-Zn-3i-γ (shape-memory phase)
# series: X-pcu-3-Zn-3i-γ (shape-memory phase)  (experimental)
# x: Pressure (kPa)   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
-62.75986,0.847561
-62.61649,0.839721
-60.32258,0.846690
-60.17921,0.847561
-60.03584,0.849303
-57.59857,0.848432
-57.45520,0.849303
-57.31183,0.850174
-57.16846,0.852787
-57.02509,0.853659
-54.73118,0.863240
-54.58781,0.855401
-52.43728,0.858014
-52.29391,0.868467
-50.00000,0.859756
-49.85663,0.860627
-49.71326,0.861498
-47.27599,0.861498
-47.13262,0.860627
-46.98925,0.861498
-46.84588,0.862369
-46.70251,0.864983
-46.55914,0.864983
-44.40860,0.875436
-44.40860,0.856272
-44.26523,0.866725
-42.11470,0.869338
-39.67742,0.870209
-39.53405,0.871080
-39.39068,0.871951
-36.95341,0.872822
-36.66667,0.874564
-36.52330,0.874564
-36.23656,0.876307
-35.08961,0.891115
-34.80287,0.891115
-33.79928,0.877178
-31.93548,0.877178
-31.79211,0.877178
