# paper: 10.1126%2Fsciadv.aaq1636
# figure: Figure S5  panel: Figure_S5_0
# technique: gas_adsorption_isotherm  material: X-pcu-3-Zn-3i
# series: X-pcu-3-Zn-3i  (experimental)
# x: P (bar)   y: data units from y ticks
x,y
0.15756,40.983982
0.18908,41.075515
0.22059,41.350114
0.25210,41.441648
0.28361,41.441648
0.31513,41.441648
0.34664,41.624714
0.37815,41.624714
0.40966,42.265446
0.44118,42.173913
0.47269,41.716247
0.50420,41.807780
0.53571,41.716247
0.56723,41.716247
0.59874,41.716247
0.63025,41.716247
0.66176,44.004577
0.66176,41.716247
0.69328,44.645309
0.69328,41.716247
0.72479,45.102975
0.72479,41.716247
0.75630,45.560641
0.75630,41.624714
0.78782,41.533181
0.78782,45.926773
0.81933,46.842105
0.85084,47.757437
0.88235,48.306636
0.91387,49.221968
0.94538,50.045767
0.97689,50.869565
1.00840,51.235698
1.03992,52.242563
1.07143,53.157895
1.10294,54.164760
1.13445,54.164760
1.16597,55.263158
1.19748,55.995423
1.22899,56.727689
1.26050,57.643021
1.29202,58.466819
1.32353,59.290618
1.35504,59.931350
1.38655,60.663616
1.41807,61.578947
1.44958,62.585812
1.48109,63.043478
1.51261,64.141876
1.54412,64.691076
1.57563,65.697941
1.60714,66.064073
1.63866,67.437071
1.92227,73.203661
2.03548,77.286486
4.01160,92.204807
7.15413,103.615701
9.15548,107.224598
11.14035,110.038592
15.14231,115.222685
17.14252,117.769796
19.10459,119.262778
20.92689,121.252385
23.01219,122.487583
28.77241,125.732633
30.66243,126.379738
