# paper: 10.1126%2Fsciadv.aaq1636
# figure: Figure S6  panel: Figure_S6_0
# technique: pxrd  material: X-pcu-3-Zn-3i
# series: X-pcu-3-Zn-3i-α  (experimental)
# x: 2θ (theta)   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
5.06116,0.103082
5.09174,0.103082
5.12232,0.103082
5.15291,0.103082
5.18349,0.103082
5.21407,0.103082
5.24465,0.103082
5.27523,0.011690
5.30581,0.011690
5.33639,0.011690
5.36697,0.011690
5.39755,0.011690
5.42813,0.011690
5.45872,0.011690
5.48930,0.011690
5.51988,0.011690
5.55046,0.011690
5.58104,0.011690
5.61162,0.011690
5.64220,0.011690
5.67278,0.011690
5.70336,0.011690
5.73394,0.011690
5.76453,0.011690
5.79511,0.011690
5.82569,0.011690
5.85627,0.011690
5.88685,0.015409
5.91743,0.019660
5.94801,0.034538
5.97859,0.050478
6.00917,0.052604
6.03976,0.052604
6.07034,0.052604
6.10092,0.052604
6.13150,0.051541
6.16208,0.046227
6.19266,0.031350
6.22324,0.017535
6.25382,0.013284
6.28440,0.011158
6.31498,0.010096
6.34557,0.010096
6.37615,0.010096
6.40673,0.010096
6.43731,0.010096
6.46789,0.010096
6.49847,0.011158
6.52905,0.013284
6.55963,0.014346
6.59021,0.023911
6.62080,0.037726
6.65138,0.053666
6.68196,0.082359
6.71254,0.084485
6.74312,0.085547
6.77370,0.085547
6.80428,0.085547
6.83486,0.084485
6.86544,0.075983
6.89602,0.051541
6.92661,0.022848
6.95719,0.019660
6.98777,0.013284
7.01835,0.012221
7.04893,0.011158
7.07951,0.010096
7.11009,0.010096
7.14067,0.010096
7.17125,0.010096
7.20183,0.010096
7.23242,0.009033
7.26300,0.009033
7.29358,0.009033
7.32416,0.009033
7.35474,0.009033
7.38532,0.009033
7.41590,0.009033
7.44648,0.010096
7.47706,0.010096
7.50765,0.010096
7.53823,0.010096
7.56881,0.010096
7.59939,0.010096
7.62997,0.010096
7.66055,0.010096
7.69113,0.012221
7.72171,0.012221
7.75229,0.015409
7.78287,0.027099
7.81346,0.034538
7.84404,0.051541
7.87462,0.053666
7.90520,0.053666
7.93578,0.055792
7.96636,0.067481
7.99694,0.068544
8.02752,0.070670
8.05810,0.070670
8.08869,0.070670
8.11927,0.069607
8.14985,0.063231
8.18043,0.033475
8.21101,0.026036
8.24159,0.016472
8.27217,0.012221
8.30275,0.012221
8.33333,0.011158
8.36391,0.011158
8.39450,0.011158
8.42508,0.011158
8.45566,0.010096
8.48624,0.010096
8.51682,0.009033
8.54740,0.009033
8.57798,0.009033
8.60856,0.009033
8.63914,0.009033
8.66972,0.010096
8.70031,0.010096
8.73089,0.011158
8.76147,0.012221
8.79205,0.012221
8.82263,0.012221
8.85321,0.012221
8.88379,0.012221
8.91437,0.011158
8.94495,0.010096
8.97554,0.009033
9.00612,0.009033
9.03670,0.009033
9.06728,0.009033
9.09786,0.009033
9.12844,0.009033
9.15902,0.009033
9.18960,0.009033
9.22018,0.009033
9.25076,0.009033
9.28135,0.009033
9.31193,0.009033
9.34251,0.009033
9.37309,0.010096
9.40367,0.011158
9.43425,0.012221
9.46483,0.012221
9.49541,0.012221
9.52599,0.010096
9.55657,0.010096
9.58716,0.009033
9.61774,0.009033
9.64832,0.009033
9.67890,0.007970
9.70948,0.007970
9.74006,0.007970
9.77064,0.007970
