# paper: 10.1126%2Fsciadv.aaq1636
# figure: Figure S7  panel: Figure_S7_0
# technique: pxrd  material: X-pcu-3-Zn-3i
# series: X-pcu-3-Zn-3i-β  (calculated)
# x: 2θ (theta)   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
5.06645,0.340211
5.09136,0.340211
5.11628,0.340211
5.14120,0.340211
5.16611,0.340211
5.19103,0.340211
5.21595,0.340211
5.24086,0.340211
5.26578,0.340211
5.29070,0.340211
5.31561,0.340211
5.34053,0.340211
5.36545,0.340211
5.39037,0.340211
5.41528,0.340211
5.44020,0.340211
5.46512,0.340211
5.49003,0.340211
5.51495,0.340211
5.53987,0.340211
5.56478,0.340211
5.58970,0.340211
5.61462,0.340211
5.63953,0.340211
5.66445,0.340211
5.68937,0.340211
5.71429,0.340211
5.73920,0.340211
5.76412,0.340211
5.78904,0.340211
5.81395,0.340211
5.83887,0.340211
5.86379,0.340211
5.88870,0.340211
5.91362,0.340211
5.93854,0.340211
5.96346,0.340211
5.98837,0.340211
6.01329,0.340211
6.03821,0.340211
6.06312,0.340211
6.08804,0.340211
6.11296,0.340211
6.13787,0.340211
6.16279,0.340211
6.18771,0.340211
6.21262,0.340211
6.23754,0.340211
6.26246,0.340211
6.28738,0.340211
6.31229,0.340211
6.33721,0.340211
6.36213,0.340211
6.38704,0.340211
6.41196,0.340211
6.43688,0.340211
6.46179,0.340211
6.48671,0.340211
6.51163,0.340211
6.53654,0.340211
6.56146,0.340211
6.58638,0.340211
6.61130,0.340211
6.63621,0.340211
6.66113,0.340211
6.68605,0.340211
6.71096,0.340211
6.73588,0.340211
6.76080,0.340211
6.78571,0.340211
6.81063,0.340211
6.83555,0.340211
6.86047,0.340211
6.88538,0.340211
6.91030,0.340691
6.93522,0.340691
6.96013,0.341171
6.98505,0.341171
7.00997,0.341171
7.03488,0.341171
7.05980,0.341171
7.08472,0.341171
7.10963,0.341171
7.13455,0.341171
7.15947,0.341171
7.18439,0.341171
7.20930,0.341171
7.23422,0.341171
7.25914,0.341171
7.28405,0.341651
7.30897,0.341651
7.33389,0.342131
7.35880,0.342131
7.38372,0.342131
7.40864,0.342610
7.43355,0.342610
7.45847,0.342610
7.48339,0.343090
7.50831,0.343570
7.53322,0.343570
7.55814,0.345010
7.58306,0.345489
7.60797,0.346449
7.63289,0.345969
7.65781,0.353167
7.68272,0.360845
7.70764,0.370441
7.73256,0.385797
7.75748,0.417466
7.78239,0.502879
7.80731,0.545106
