# paper: 10.1126%2Fsciadv.aaq1636
# figure: Figure S7  panel: Figure_S7_0
# technique: pxrd  material: X-pcu-3-Zn-3i
# series: X-pcu-3-Zn-3i-α  (experimental)
# x: 2θ (theta)   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
5.31561,0.219770
5.34053,0.219770
5.36545,0.219770
5.39037,0.219770
5.41528,0.219770
5.44020,0.219770
5.46512,0.219770
5.49003,0.219770
5.51495,0.219770
5.53987,0.219770
5.56478,0.219770
5.58970,0.219770
5.61462,0.219770
5.63953,0.221689
5.66445,0.221689
5.68937,0.222649
5.71429,0.225528
5.73920,0.227447
5.76412,0.228407
5.78904,0.237044
5.81395,0.244722
5.83887,0.250480
5.86379,0.255278
5.88870,0.255278
5.91362,0.256238
5.93854,0.256238
5.96346,0.255278
5.98837,0.255278
6.01329,0.254319
6.03821,0.253359
6.06312,0.251440
6.08804,0.249520
6.11296,0.243762
6.13787,0.239923
6.16279,0.233205
6.18771,0.229367
6.21262,0.223608
6.23754,0.221689
6.26246,0.219770
6.28738,0.219770
6.31229,0.219770
6.33721,0.219770
6.36213,0.220729
6.38704,0.220729
6.41196,0.220729
6.43688,0.220729
6.46179,0.220729
6.48671,0.220729
6.51163,0.222649
6.53654,0.223608
6.56146,0.223608
6.58638,0.224568
6.61130,0.225528
6.63621,0.227447
6.66113,0.234165
6.68605,0.237044
6.71096,0.242802
6.73588,0.244722
6.76080,0.256238
6.78571,0.270633
6.81063,0.279271
6.83555,0.285029
6.86047,0.298464
6.88538,0.301344
6.91030,0.308061
6.93522,0.309981
6.96013,0.309981
6.98505,0.309981
7.00997,0.309981
7.03488,0.308061
7.05980,0.304223
7.08472,0.291747
7.10963,0.275432
7.13455,0.261036
7.15947,0.243762
7.18439,0.232246
7.20930,0.228407
7.23422,0.220729
7.25914,0.220729
7.28405,0.220729
7.30897,0.221689
7.33389,0.222649
7.35880,0.224568
7.38372,0.225528
7.40864,0.227447
7.43355,0.231286
7.45847,0.232246
7.48339,0.234165
7.50831,0.243762
7.53322,0.248560
7.55814,0.260077
7.58306,0.263916
7.60797,0.270633
7.63289,0.286948
7.65781,0.294626
7.68272,0.304223
7.70764,0.312860
7.73256,0.313820
7.75748,0.314779
7.78239,0.314779
7.80731,0.314779
7.83223,0.313820
7.85714,0.309021
7.88206,0.295585
7.90698,0.285988
7.93189,0.261036
7.95681,0.244722
7.98173,0.238964
8.00664,0.230326
8.03156,0.229367
8.05648,0.226488
8.08140,0.223608
8.10631,0.222649
8.13123,0.217850
8.15615,0.215931
8.18106,0.214971
8.20598,0.213052
8.23090,0.213052
8.25581,0.213052
8.28073,0.213052
8.30565,0.213052
8.33056,0.213052
8.35548,0.213052
8.38040,0.213052
8.40532,0.214012
8.43023,0.214012
8.45515,0.214012
8.48007,0.214012
8.50498,0.214012
8.52990,0.214012
8.55482,0.214012
8.57973,0.214012
8.60465,0.214012
8.62957,0.214012
8.65449,0.213052
8.67940,0.213052
8.70432,0.213052
8.72924,0.212092
8.75415,0.212092
8.77907,0.212092
8.80399,0.212092
8.82890,0.212092
8.85382,0.213052
8.87874,0.213052
8.90365,0.214012
8.92857,0.214012
8.95349,0.214971
8.97841,0.214971
9.00332,0.214971
9.02824,0.214971
9.05316,0.214971
9.07807,0.214971
9.10299,0.214012
9.12791,0.214012
9.15282,0.214012
9.17774,0.213052
9.20266,0.213052
9.22757,0.212092
9.25249,0.210173
9.27741,0.210173
9.30233,0.210173
9.32724,0.210173
9.35216,0.210173
9.37708,0.210173
9.40199,0.210173
9.42691,0.210173
9.45183,0.212092
9.47674,0.212092
9.50166,0.211132
9.52658,0.211132
9.55150,0.211132
9.57641,0.210173
9.60133,0.211132
9.62625,0.211132
9.65116,0.211132
9.67608,0.212092
9.70100,0.212092
9.72591,0.213052
9.75083,0.214971
9.77575,0.215931
9.80066,0.215931
9.82558,0.217850
9.85050,0.217850
9.87542,0.219770
9.90033,0.219770
9.92525,0.220729
9.95017,0.220729
9.97508,0.220729
10.00000,0.220729
10.02492,0.220729
10.04983,0.220729
10.07475,0.219770
10.09967,0.219770
10.12458,0.216891
10.14950,0.215931
10.17442,0.214971
10.19934,0.213052
10.22425,0.212092
10.24917,0.212092
10.27409,0.211132
10.29900,0.210173
10.32392,0.210173
10.34884,0.210173
10.37375,0.210173
10.39867,0.210173
10.42359,0.210173
10.44850,0.209213
10.47342,0.209213
10.49834,0.210173
10.52326,0.211132
10.54817,0.212092
10.57309,0.212092
10.59801,0.212092
10.62292,0.211132
10.64784,0.210173
10.67276,0.210173
10.69767,0.210173
10.72259,0.211132
10.74751,0.212092
10.77243,0.211132
10.79734,0.211132
10.82226,0.210173
10.84718,0.210173
10.87209,0.210173
10.89701,0.210173
10.92193,0.210173
10.94684,0.213052
10.97176,0.214012
10.99668,0.215931
11.02159,0.220729
11.04651,0.221689
11.07143,0.222649
11.09635,0.222649
11.12126,0.222649
11.14618,0.221689
11.17110,0.220729
11.19601,0.219770
11.22093,0.218810
11.24585,0.216891
11.27076,0.215931
11.29568,0.215931
11.32060,0.214971
11.34551,0.211132
11.37043,0.210173
11.39535,0.209213
11.42027,0.209213
11.44518,0.208253
11.47010,0.208253
11.49502,0.209213
11.51993,0.209213
11.54485,0.209213
11.56977,0.209213
11.59468,0.209213
11.61960,0.210173
11.64452,0.213052
11.66944,0.214012
11.69435,0.214971
11.71927,0.216891
11.74419,0.217850
11.76910,0.219770
11.79402,0.220729
11.81894,0.221689
11.84385,0.225528
11.86877,0.230326
11.89369,0.232246
11.91860,0.238964
11.94352,0.244722
11.96844,0.245681
11.99336,0.248560
12.01827,0.250480
12.04319,0.251440
12.06811,0.251440
12.09302,0.251440
12.11794,0.250480
12.14286,0.248560
12.16777,0.246641
12.19269,0.240883
12.21761,0.238964
12.24252,0.232246
12.26744,0.234165
12.29236,0.243762
12.31728,0.245681
12.34219,0.250480
12.36711,0.252399
12.39203,0.253359
12.41694,0.254319
12.44186,0.256238
12.46678,0.257198
12.49169,0.258157
12.51661,0.258157
12.54153,0.257198
12.56645,0.256238
12.59136,0.253359
12.61628,0.249520
12.64120,0.243762
12.66611,0.239923
12.69103,0.236084
12.71595,0.234165
12.74086,0.230326
12.76578,0.228407
12.79070,0.227447
12.81561,0.217850
12.84053,0.215931
12.86545,0.212092
12.89037,0.209213
12.91528,0.209213
12.94020,0.208253
12.96512,0.207294
12.99003,0.207294
13.01495,0.208253
13.03987,0.207294
13.06478,0.207294
13.08970,0.207294
13.11462,0.206334
13.13953,0.206334
13.16445,0.205374
13.18937,0.205374
13.21429,0.205374
13.23920,0.205374
13.26412,0.205374
13.28904,0.204415
13.31395,0.204415
13.33887,0.204415
13.36379,0.205374
13.38870,0.205374
13.41362,0.205374
13.43854,0.205374
13.46346,0.204415
13.48837,0.204415
13.51329,0.204415
13.53821,0.205374
13.56312,0.205374
13.58804,0.206334
13.61296,0.206334
13.63787,0.206334
13.66279,0.207294
13.68771,0.207294
13.71262,0.208253
13.73754,0.208253
13.76246,0.211132
13.78738,0.213052
13.81229,0.215931
13.83721,0.220729
13.86213,0.224568
13.88704,0.227447
13.91196,0.231286
13.93688,0.233205
13.96179,0.236084
13.98671,0.237044
14.01163,0.237044
14.03654,0.237044
14.06146,0.237044
14.08638,0.235125
14.11130,0.234165
14.13621,0.234165
14.16113,0.232246
14.18605,0.232246
14.21096,0.231286
14.23588,0.230326
14.26080,0.229367
14.28571,0.228407
14.31063,0.227447
14.33555,0.226488
14.36047,0.224568
14.38538,0.223608
14.41030,0.222649
14.43522,0.220729
14.46013,0.220729
14.48505,0.219770
14.50997,0.218810
14.53488,0.217850
14.55980,0.216891
14.58472,0.215931
14.60963,0.215931
14.63455,0.215931
14.65947,0.215931
14.68439,0.218810
14.70930,0.220729
14.73422,0.224568
14.75914,0.231286
14.78405,0.232246
14.80897,0.239923
14.83389,0.239923
14.85880,0.239923
14.88372,0.239923
14.90864,0.239923
14.93355,0.238964
14.95847,0.238004
14.98339,0.236084
15.00831,0.231286
15.03322,0.228407
15.05814,0.223608
15.08306,0.222649
15.10797,0.221689
15.13289,0.218810
15.15781,0.214971
15.18272,0.211132
15.20764,0.207294
15.23256,0.206334
15.25748,0.205374
15.28239,0.206334
15.30731,0.206334
15.33223,0.206334
15.35714,0.206334
15.38206,0.207294
15.40698,0.209213
15.43189,0.210173
15.45681,0.212092
15.48173,0.214012
15.50664,0.217850
15.53156,0.222649
15.55648,0.223608
15.58140,0.223608
15.60631,0.223608
15.63123,0.223608
15.65615,0.222649
15.68106,0.221689
15.70598,0.220729
15.73090,0.219770
15.75581,0.216891
15.78073,0.211132
15.80565,0.210173
15.83056,0.207294
15.85548,0.206334
15.88040,0.206334
15.90532,0.207294
15.93023,0.207294
15.95515,0.208253
15.98007,0.209213
16.00498,0.210173
16.02990,0.210173
16.05482,0.210173
16.07973,0.210173
16.10465,0.210173
16.12957,0.209213
16.15449,0.209213
16.17940,0.208253
16.20432,0.206334
16.22924,0.205374
16.25415,0.203455
16.27907,0.202495
16.30399,0.202495
16.32890,0.201536
16.35382,0.201536
16.37874,0.202495
16.40365,0.202495
16.42857,0.202495
16.45349,0.201536
16.47841,0.201536
16.50332,0.201536
16.52824,0.202495
16.55316,0.202495
16.57807,0.201536
16.60299,0.201536
16.62791,0.201536
16.65282,0.201536
16.67774,0.201536
16.70266,0.201536
16.72757,0.201536
16.75249,0.201536
16.77741,0.202495
16.80233,0.202495
16.82724,0.202495
16.85216,0.201536
16.87708,0.202495
16.90199,0.203455
16.92691,0.204415
16.95183,0.205374
16.97674,0.205374
17.00166,0.206334
17.02658,0.206334
17.05150,0.207294
17.07641,0.208253
17.10133,0.209213
17.12625,0.209213
17.15116,0.210173
17.17608,0.210173
17.20100,0.210173
17.22591,0.210173
17.25083,0.209213
17.27575,0.207294
17.30066,0.207294
17.32558,0.207294
17.35050,0.207294
17.37542,0.207294
17.40033,0.207294
17.42525,0.207294
17.45017,0.209213
17.47508,0.210173
17.50000,0.240883
17.52492,0.264875
17.54983,0.265835
17.57475,0.266795
17.59967,0.266795
17.62458,0.274472
17.64950,0.284069
17.67442,0.285029
17.69934,0.285988
17.72425,0.285988
17.74917,0.285988
17.77409,0.285029
17.79900,0.285029
17.82392,0.284069
17.84884,0.283109
17.87375,0.281190
17.89867,0.273512
17.92359,0.266795
17.94850,0.253359
17.97342,0.234165
17.99834,0.229367
