# paper: 10.1126%2Fsciadv.aaq1636
# figure: Figure S9  panel: Figure_S9_0
# technique: pxrd  material: X-pcu-3-Zn-3i
# series: X-pcu-3-Zn-3i-γ soaked in DMF (converted to α)  (experimental)
# x: 2θ (theta)   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
5.26163,0.701124
5.29070,0.701685
5.31977,0.701685
5.34884,0.701124
5.37791,0.702247
5.40698,0.702809
5.43605,0.702809
5.46512,0.702247
5.49419,0.701685
5.52326,0.702247
5.55233,0.702809
5.58140,0.702809
5.61047,0.703371
5.63953,0.706742
5.66860,0.705618
5.69767,0.706742
5.72674,0.705618
5.75581,0.713483
5.78488,0.715730
5.81395,0.719101
5.84302,0.717978
5.87209,0.724719
5.90116,0.721348
5.93023,0.725843
5.95930,0.719663
5.98837,0.723596
6.01744,0.722472
6.04651,0.720225
6.07558,0.704494
6.10465,0.708989
6.13372,0.701124
6.16279,0.701685
6.19186,0.701685
6.22093,0.702247
6.25000,0.702247
6.27907,0.702809
6.30814,0.703371
6.33721,0.703371
6.36628,0.703933
6.39535,0.703371
6.42442,0.702247
6.45349,0.708989
6.48256,0.708989
6.51163,0.708427
6.54070,0.708427
6.56977,0.714607
6.59884,0.709551
6.62791,0.717978
6.65698,0.722472
6.68605,0.729213
6.71512,0.731461
6.74419,0.738202
6.77326,0.744944
6.80233,0.749438
6.83140,0.739326
6.86047,0.750562
6.88953,0.750562
6.91860,0.749438
6.94767,0.739326
6.97674,0.743820
7.00581,0.710112
7.03488,0.730337
7.06395,0.707865
7.09302,0.706742
7.12209,0.706742
7.15116,0.707865
7.18023,0.706180
7.20930,0.706180
7.23837,0.706180
7.26744,0.706180
7.29651,0.705056
7.32558,0.704494
7.35465,0.704494
7.38372,0.705056
7.41279,0.706180
7.44186,0.707303
7.47093,0.707303
7.50000,0.710112
7.52907,0.711236
7.55814,0.715730
7.58721,0.716854
7.61628,0.720225
7.64535,0.722472
7.67442,0.725843
7.70349,0.730337
7.73256,0.739326
7.76163,0.741573
7.79070,0.747191
7.81977,0.738202
7.84884,0.749438
7.87791,0.741011
7.90698,0.748315
7.93605,0.734270
7.96512,0.738202
7.99419,0.730899
8.02326,0.735955
8.05233,0.737640
8.08140,0.735955
8.11047,0.732584
8.13953,0.733708
8.16860,0.732584
8.19767,0.726966
8.22674,0.714607
8.25581,0.711236
8.28488,0.705618
8.31395,0.703933
8.34302,0.703933
8.37209,0.704494
8.40116,0.704494
8.43023,0.705056
8.45930,0.705618
8.48837,0.706742
8.51744,0.710112
8.54651,0.710112
8.57558,0.710112
8.60465,0.708989
8.63372,0.706742
8.66279,0.703371
8.69186,0.703933
8.72093,0.702247
8.75000,0.701685
8.77907,0.701685
8.80814,0.701685
8.83721,0.701685
8.86628,0.702247
8.89535,0.701124
8.92442,0.700562
8.95349,0.700000
8.98256,0.700000
9.01163,0.700000
9.04070,0.701124
9.06977,0.702247
9.09884,0.702247
9.12791,0.700562
9.15698,0.701124
9.18605,0.700000
9.21512,0.696629
9.24419,0.700000
9.27326,0.699438
9.30233,0.700562
9.33140,0.701124
9.36047,0.701124
9.38953,0.701124
9.41860,0.701124
9.44767,0.700562
9.47674,0.701124
9.50581,0.701124
9.53488,0.702247
9.56395,0.696629
9.59302,0.703371
9.62209,0.704494
9.65116,0.703371
9.68023,0.702247
9.70930,0.698876
9.73837,0.699438
9.76744,0.698876
9.79651,0.698876
9.82558,0.698876
9.85465,0.698876
9.88372,0.698315
9.91279,0.698315
9.94186,0.699438
9.97093,0.700000
10.00000,0.701124
10.02907,0.701685
10.05814,0.702247
10.08721,0.703371
