# paper: 10.3184%2F030823410X12864689639476
# figure: Figure 3  panel: Figure_3_0
# technique: photoluminescence  material: [CuCl2(pyridine-3-carbonitrile)2]n, [CuCl2(pyridine-4-carbonitrile)2]n and [CoCl2(pyridine-4-carbonitrile)2]n
# series: [CuCl2(pyridine-4-carbonitrile)2]n (2) — emission  (experimental)
# x: (a)   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
331.05856,0.065568
339.43541,0.098316
343.10100,0.122084
345.31853,0.143050
348.47973,0.175453
348.64865,0.186161
348.98649,0.186161
349.32432,0.191104
349.66216,0.190280
350.00000,0.196870
350.33784,0.196870
350.67568,0.203460
351.01351,0.203460
351.35135,0.210873
351.68919,0.210873
352.02703,0.227348
352.36486,0.227348
352.70270,0.232290
353.04054,0.232290
353.37838,0.241351
353.71622,0.241351
354.05405,0.249588
354.39189,0.249588
354.72973,0.259473
355.06757,0.259473
355.40541,0.261944
355.74324,0.261944
356.08108,0.266886
356.41892,0.266886
356.77553,0.283269
357.90165,0.300567
359.56695,0.327243
360.36840,0.342041
361.99324,0.369852
363.36873,0.392496
364.62047,0.414105
366.04730,0.439044
366.21622,0.456343
366.55405,0.456343
366.89189,0.460461
367.22973,0.462932
367.56757,0.467875
367.90541,0.467875
368.24324,0.467875
368.58108,0.482702
368.91892,0.484349
369.25676,0.484349
369.59459,0.490939
369.93243,0.490939
369.94543,0.505703
371.35618,0.529772
372.80405,0.550329
374.04279,0.570108
375.47695,0.597490
376.97876,0.622499
377.70270,0.640857
378.04054,0.640857
378.37838,0.645799
378.71622,0.645799
379.05405,0.656507
379.39189,0.656507
379.72973,0.659802
380.06757,0.673806
380.40541,0.674629
380.74324,0.674629
381.08108,0.682867
381.41892,0.682867
381.75676,0.682867
382.09459,0.682867
382.31320,0.696191
383.10811,0.713344
383.44595,0.713344
383.78378,0.716639
384.12162,0.716639
384.45946,0.718287
384.79730,0.718287
385.13514,0.727348
385.47297,0.727348
385.81081,0.732290
386.14865,0.732290
386.48649,0.737232
386.82432,0.737232
387.16216,0.743822
387.50000,0.743822
387.83784,0.748764
388.17568,0.748764
388.51351,0.752059
388.85135,0.752059
389.18919,0.754530
389.52703,0.754530
389.86486,0.754530
390.20270,0.756178
391.21622,0.757166
392.48311,0.756590
396.64149,0.756856
402.71522,0.729392
404.05405,0.716639
404.39189,0.716639
404.72973,0.713344
405.06757,0.713344
405.40541,0.712521
405.74324,0.713344
406.08108,0.711697
406.41892,0.710873
406.75676,0.702636
407.09459,0.702636
407.43243,0.699341
407.77027,0.698517
408.10811,0.696046
408.44595,0.696046
408.78378,0.694399
409.12162,0.695222
410.13514,0.684514
410.47297,0.685338
410.81081,0.685338
411.14865,0.684514
411.48649,0.677924
411.82432,0.677924
412.16216,0.676277
412.50000,0.676277
412.83784,0.672982
413.17568,0.672982
413.51351,0.669687
413.85135,0.669687
414.18919,0.668040
414.52703,0.668040
414.86486,0.666392
415.20270,0.666392
415.54054,0.664745
415.87838,0.664745
416.21622,0.659802
416.55405,0.659802
416.89189,0.658155
417.22973,0.658155
417.56757,0.658155
417.90541,0.658155
418.24324,0.656507
420.27027,0.647446
420.60811,0.648270
420.94595,0.646623
421.28378,0.646623
421.62162,0.643328
421.95946,0.643328
422.29730,0.640033
422.63514,0.640033
422.97297,0.638386
423.31081,0.638386
423.64865,0.635091
423.98649,0.635091
424.32432,0.633443
424.66216,0.633443
425.00000,0.631796
425.33784,0.632619
425.67568,0.631796
426.01351,0.631796
426.35135,0.630148
426.68919,0.630148
427.02703,0.626853
427.36486,0.626853
427.70270,0.626030
428.04054,0.626030
428.37838,0.626030
428.71622,0.625206
429.05405,0.623558
429.39189,0.623558
429.72973,0.623558
430.06757,0.623558
430.40541,0.623558
430.74324,0.623558
431.08108,0.611203
431.41892,0.612026
431.75676,0.610379
432.09459,0.610379
432.43243,0.608731
432.77027,0.612026
433.10811,0.610379
433.44595,0.607084
433.78378,0.600494
434.12162,0.599671
434.45946,0.597199
434.79730,0.597199
435.13514,0.598023
435.47297,0.598023
435.81081,0.593904
436.14865,0.593904
436.48649,0.592257
436.82432,0.593081
437.16216,0.585667
437.50000,0.585667
437.83784,0.582372
438.17568,0.582372
438.51351,0.577430
438.85135,0.577430
439.18919,0.572488
439.52703,0.572488
439.86486,0.567545
440.20270,0.567545
440.54054,0.562603
440.87838,0.562603
441.21622,0.556013
441.55405,0.556013
441.89189,0.552718
442.22973,0.552718
442.56757,0.546129
442.90541,0.546129
443.24324,0.542834
443.58108,0.542834
443.91892,0.539539
444.25676,0.539539
444.59459,0.535420
444.93243,0.531301
445.27027,0.529654
445.60811,0.529654
445.94595,0.523064
446.28378,0.523064
446.62162,0.518122
446.95946,0.518122
447.29730,0.511532
447.63514,0.511532
447.97297,0.506590
448.31081,0.506590
448.64865,0.500000
448.98649,0.500000
449.32432,0.493410
449.66216,0.493410
450.00000,0.490115
450.33784,0.490115
450.67568,0.485997
451.01351,0.485997
451.35135,0.484349
451.68919,0.484349
452.55955,0.469885
456.46499,0.437397
459.82711,0.411522
462.79425,0.383483
465.49324,0.363591
468.02703,0.345832
470.18581,0.326812
472.33953,0.312706
473.83205,0.298517
475.86486,0.284020
477.36486,0.273476
477.70270,0.270181
478.04054,0.271005
478.37838,0.267710
478.71622,0.267710
479.05405,0.262768
479.39189,0.262768
479.72973,0.257825
480.06757,0.257825
480.40541,0.252883
480.74324,0.252883
481.08108,0.249588
481.41892,0.249588
481.75676,0.244646
482.09459,0.244646
482.43243,0.242998
482.77027,0.242998
483.10811,0.239703
483.44595,0.239703
483.78378,0.234761
484.12162,0.234761
484.45946,0.231466
484.79730,0.231466
485.13514,0.228171
485.47297,0.228171
485.81081,0.224876
486.14865,0.224876
486.48649,0.221582
486.82432,0.221582
487.16216,0.216639
487.50000,0.216639
487.83784,0.213344
488.17568,0.213344
488.51351,0.209226
488.85135,0.208402
489.18919,0.207578
489.52703,0.206755
489.86486,0.201812
490.20270,0.202636
490.54054,0.197694
490.87838,0.198517
491.21622,0.196046
491.55405,0.193575
491.89189,0.191928
492.22973,0.191928
492.56757,0.188633
492.90541,0.188633
493.24324,0.185338
493.58108,0.185338
493.91892,0.182043
494.25676,0.182043
494.59459,0.178748
494.93243,0.178748
495.27027,0.175453
495.60811,0.175453
495.94595,0.172158
496.28378,0.172158
496.62162,0.168863
496.95946,0.168863
497.29730,0.171334
497.63514,0.171334
498.93680,0.159899
