# paper: 10.3184%2F174751917X14956302352017
# figure: Figure 3  panel: Figure_3_0
# technique: tga  material: 
# series:   (unknown)
# x: Temperature (*c)   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
113.06902,0.950769
116.74009,0.951538
125.99119,0.951538
245.15419,0.599231
257.04846,0.564615
303.65476,0.451681
308.07636,0.442564
312.04112,0.436410
317.47430,0.423077
412.99559,0.200000
449.48899,0.163538
461.56767,0.157454
469.60352,0.156154
477.09251,0.153077
479.69163,0.150769
483.74449,0.150769
485.90308,0.153077
496.37212,0.150679
